region,SU35_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,1.3291335105895996,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,1.1365845203399658,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,1.95890474319458,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,1.8410649299621582,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,2.9642210006713867,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,2.7567543983459473,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,2.2722015380859375,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,2.912503242492676,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,2.3356075286865234,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,3.7830138206481934,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,1.1867027282714844,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,1.5980498790740967,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,3.3109290599823,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,1.7320955991744995,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,2.0784647464752197,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,1.3341832160949707,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,3.0245254039764404,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,2.9276063442230225,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,3.4875903129577637,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,3.667283296585083,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,4.98073673248291,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,5.321800708770752,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,4.238646507263184,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,5.041271209716797,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,4.8553996086120605,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,4.951508045196533,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,4.866451740264893,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,2.4219446182250977,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,4.799899101257324,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,3.9585518836975098,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,5.267726898193359,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,5.082058906555176,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,3.7108688354492188,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,4.711334228515625,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,4.054818630218506,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,4.1304097175598145,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,4.401856422424316,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,3.7188987731933594,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),4.475276470184326,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,4.255674362182617,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,4.527097225189209,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,2.9637088775634766,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,4.001707553863525,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,5.091574668884277,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,4.661945343017578,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,3.7103071212768555,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),3.955763816833496,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,4.1417436599731445,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,3.314164876937866,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,4.504886150360107,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,4.457638740539551,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,3.6603844165802,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,4.066323280334473,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_03452_03457_Region_um_Emden,1.8000319004058838,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,1.4279890060424805,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),3.095207452774048,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
