region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.07821109890937805,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,-0.19968202710151672,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,-0.06441041827201843,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,-0.07878276705741882,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.0598878338932991,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,-0.07061222195625305,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.06455278396606445,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,-0.18009626865386963,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,-0.1470586061477661,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,-0.09276868402957916,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,-0.07437500357627869,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,-0.083214670419693,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,-0.1788211166858673,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,-0.06671720743179321,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,-0.08771674335002899,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,-0.07502532005310059,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,-0.10692572593688965,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,-0.1788959801197052,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,-0.07278326153755188,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,-0.11501598358154297,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.1092948466539383,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,-0.10877776145935059,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.10675078630447388,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,-0.09942147880792618,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,-0.11369654536247253,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,-0.13516946136951447,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,-0.11600694060325623,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,-0.23279793560504913,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,-0.10166652500629425,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,-0.2533833682537079,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,-0.09247985482215881,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,-0.10990983992815018,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,-0.2290465235710144,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,-0.07866422832012177,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,-0.19080829620361328,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,-0.2798338532447815,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,-0.15543466806411743,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,-0.28806325793266296,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),-0.13386386632919312,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,-0.20422756671905518,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,-0.18571597337722778,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,-0.1875905692577362,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,-0.17992809414863586,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,-0.317427396774292,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,-0.14147090911865234,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,-0.14500078558921814,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),-0.20108428597450256,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,-0.1493498682975769,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,-0.17589473724365234,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,-0.15469074249267578,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,-0.09652206301689148,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.2111949622631073,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,-0.22242408990859985,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_03452_03457_Region_um_Emden,-0.20427143573760986,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,-0.1705796718597412,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.2244633436203003,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),-0.27958106994628906,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_03459_05566_Region_um_Osnabrück,-0.23334109783172607,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,-0.155342698097229,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_03455_Region_um_Wilhelmshaven,-0.1649022102355957,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,-0.12835822999477386,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,-0.2254430651664734,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,-0.19334176182746887,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,-0.3058353066444397,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,-0.22509291768074036,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,-0.1713399887084961,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,-0.15193021297454834,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,-0.2211955487728119,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,-0.27055948972702026,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,-0.25308001041412354,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,-0.31501299142837524,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,-0.20730963349342346,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,-0.18500465154647827,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.17550712823867798,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,-0.1547279953956604,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_03352_03461_Region_um_Bremerhaven,-0.19394460320472717,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,-0.2867003083229065,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,-0.09281957149505615,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,-0.1175348162651062,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-0.13292160630226135,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,-0.14658212661743164,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,-0.10776323080062866,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,-0.10846033692359924,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,-0.05279769003391266,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,-0.03333333134651184,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,-0.03779323026537895,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,-0.03334135562181473,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,-0.14073708653450012,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,-0.19563254714012146,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,-0.14262309670448303,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,-0.1999187171459198,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,-0.28494367003440857,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,-0.31919172406196594,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,-0.17219510674476624,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,-0.2555408775806427,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-0.2591207027435303,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,-0.3775184154510498,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,-0.07693374156951904,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,-0.13020721077919006,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,-0.03601252660155296,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,-0.03838782012462616,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,-0.14010263979434967,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_05382_Region_um_Bonn,-0.0653015524148941,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,-0.09548580646514893,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,-0.06459613144397736,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_05315_05378_05158_Region_um_Leverkusen,-0.08153603971004486,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,-0.13333332538604736,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,-0.18711397051811218,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,-0.12029337882995605,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,-0.03188549354672432,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,-0.16957800090312958,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,-0.20605045557022095,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,-0.3040158748626709,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-0.2113591730594635,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,-0.061519935727119446,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-0.12663686275482178,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,-0.13733673095703125,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-0.09994843602180481,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,-0.09757651388645172,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_05566_05558_05570_Region_um_Münster,-0.15493744611740112,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,-0.10673409700393677,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,-0.1453704833984375,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,-0.19733834266662598,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05562_Recklinghausen,-0.11178004741668701,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05566_Steinfurt,-0.2154209315776825,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,-0.06666667014360428,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.03658442199230194,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,-0.04528540000319481,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,-0.06235438957810402,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,-0.050608038902282715,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,-0.19888514280319214,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,-0.23720914125442505,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,-0.10986557602882385,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,-0.16065511107444763,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.08097320795059204,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,-0.06671179831027985,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.07931369543075562,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,-0.06666667014360428,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,-0.04533660411834717,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,-0.26088234782218933,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.060936689376831055,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,-0.06666667014360428,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_05513_05562_05911_Region_um_Herne,-0.09465715289115906,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_Herne,-0.12454723566770554,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-0.3610980808734894,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,-0.20898346602916718,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,-0.27711430191993713,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,-0.23365314304828644,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,-0.20734010636806488,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,-0.059452176094055176,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,-0.08383285999298096,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_06432_06438_Region_um_Darmstadt,-0.02151542901992798,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,-0.007913559675216675,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,-0.050894808024168015,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,-0.11161778122186661,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,-0.057002145797014236,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,-0.08673472702503204,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,-0.016760684549808502,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,-0.04187379032373428,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,-0.03366689011454582,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,-0.040354542434215546,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,-0.021746061742305756,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,-0.06472498178482056,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,-0.09726113080978394,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,-0.032240480184555054,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,-0.061890944838523865,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,-0.28589141368865967,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,-0.04555339366197586,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,-0.02902112901210785,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,-0.19508369266986847,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,-0.10191136598587036,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,-0.10004380345344543,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,-0.1969096064567566,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,-0.20549605786800385,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,-0.11917030811309814,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,-0.25575271248817444,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_06633_03159_Region_um_Kassel,-0.2059786319732666,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,-0.19274555146694183,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,-0.29194819927215576,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,-0.2775695323944092,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,-0.1826513409614563,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,-0.24269427359104156,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,-0.21771124005317688,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,-0.20857805013656616,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_07137_07141_07143_Region_um_Koblenz,-0.19344457983970642,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,-0.12585261464118958,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,-0.23672056198120117,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
