region,SU35_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.42751139402389526,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.3336661458015442,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,0.5897961854934692,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.6183521151542664,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.9873722791671753,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,1.0164257287979126,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.6924886107444763,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.8576856851577759,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.5676374435424805,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,1.4579026699066162,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.318176805973053,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.4584503173828125,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,1.2553789615631104,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.5064989924430847,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.6296886205673218,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.4273674488067627,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,0.9597181677818298,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.8610250949859619,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,1.2351291179656982,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,1.7961819171905518,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,2.1393890380859375,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,2.3430733680725098,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.7488808631896973,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,2.1842432022094727,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,2.1310951709747314,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,2.1663978099823,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,2.1281955242156982,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,0.9565002918243408,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,2.0681815147399902,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,1.6766278743743896,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,2.234579086303711,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,2.1999456882476807,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,1.538402795791626,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,2.199397087097168,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,1.4429500102996826,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,1.572388768196106,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,1.755895972251892,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,1.453454852104187,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),1.9854096174240112,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,1.5578606128692627,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,2.1071348190307617,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,0.7224224805831909,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,1.6786696910858154,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,2.4102916717529297,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,2.10617733001709,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,1.0111334323883057,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),1.2872366905212402,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,1.734102487564087,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,1.0884367227554321,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,2.116830587387085,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,1.4772593975067139,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.2200965881347656,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,1.200199842453003,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_03452_03457_Region_um_Emden,0.7102124691009521,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,0.6475315093994141,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.8663598299026489,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),0.9315823316574097,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_03459_05566_Region_um_Osnabrück,1.9266738891601562,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,1.9050350189208984,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_03455_Region_um_Wilhelmshaven,0.5928573608398438,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.41019704937934875,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
