region,SU35_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,3.105755567550659,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,2.7725186347961426,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,4.223028182983398,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,4.318917274475098,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,6.19775390625,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,5.84882926940918,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,4.766139030456543,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,5.691036224365234,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,4.397686004638672,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,7.717942237854004,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,2.8462090492248535,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,3.7567954063415527,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,6.247236728668213,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,3.996039390563965,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,4.330726146697998,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,3.114495038986206,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,6.081491947174072,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,5.370730876922607,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,7.102955341339111,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,7.389631271362305,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,11.416661262512207,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,11.877142906188965,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,10.003326416015625,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,11.788850784301758,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,11.12929630279541,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,11.377012252807617,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,11.060834884643555,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,6.145700454711914,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,11.212509155273438,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,9.409613609313965,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,12.053424835205078,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,11.679266929626465,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,8.898077964782715,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,11.10867977142334,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,9.529752731323242,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,9.768857955932617,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,10.532958030700684,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,8.724156379699707,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),10.425025939941406,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
