region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.014687786810100079,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.0,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,0.03765210136771202,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.03333333507180214,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.10382897406816483,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,0.09198436141014099,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.045841287821531296,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.09642885625362396,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.04128788411617279,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,0.17616888880729675,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.008035926148295403,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.03453570231795311,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,0.14543001353740692,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.033980563282966614,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.05060011148452759,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.01507299579679966,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,0.12569144368171692,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.09293536841869354,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,0.11480151116847992,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,0.19703935086727142,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.1791672706604004,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,0.2639181911945343,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.14786756038665771,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,0.17738628387451172,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,0.19225087761878967,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,0.20014919340610504,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,0.21941889822483063,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,0.04107694327831268,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,0.2181939333677292,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,0.08692361414432526,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,0.2476358413696289,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,0.16672369837760925,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,0.07598287612199783,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,0.2258116751909256,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,0.20090964436531067,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,0.11219477653503418,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,0.13132521510124207,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
