region,SU35_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,3.3397727012634277,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,3.6048824787139893,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,4.4721269607543945,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,4.640894412994385,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,6.7627482414245605,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,6.584379196166992,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,5.095144271850586,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,6.570199966430664,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,4.753967761993408,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,8.80400562286377,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,3.0149693489074707,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,3.883639097213745,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,7.2922563552856445,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,4.191997051239014,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,4.602218151092529,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,3.339545249938965,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,6.967024803161621,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,6.23337984085083,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,7.962350368499756,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,8.256013870239258,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,11.682414054870605,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,12.213994979858398,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,10.382296562194824,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,11.749489784240723,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,11.58240795135498,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,11.848933219909668,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,11.674614906311035,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,7.1522393226623535,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,11.40092658996582,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,10.367938995361328,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,12.107654571533203,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,11.667814254760742,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,10.020965576171875,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,11.490720748901367,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,9.589706420898438,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,9.64075756072998,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,10.873821258544922,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,9.46393871307373,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),10.724982261657715,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,10.149609565734863,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,11.347060203552246,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,5.758622169494629,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,9.517244338989258,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,11.592365264892578,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,10.568618774414062,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,7.36384916305542,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),8.570184707641602,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,10.289395332336426,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,6.913694858551025,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,10.786328315734863,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,9.504295349121094,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,8.466142654418945,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,8.931561470031738,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_03452_03457_Region_um_Emden,4.68573522567749,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,4.910006523132324,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),7.009888648986816,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),7.4416046142578125,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_03459_05566_Region_um_Osnabrück,10.287221908569336,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,9.468221664428711,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_03455_Region_um_Wilhelmshaven,4.546567916870117,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,3.9396705627441406,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,6.307808876037598,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,4.114473342895508,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,7.859155654907227,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,8.614689826965332,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,4.653481483459473,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,10.355911254882812,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,5.3622355461120605,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,8.389784812927246,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
