region,SU35_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.026014726608991623,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,-0.03651350736618042,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,-0.06689782440662384,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,-0.08493971079587936,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.05748727172613144,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,-0.1293988823890686,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.09255234897136688,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,-0.22159582376480103,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.0,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,-0.1021055355668068,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.0,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,-0.04969952628016472,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,-0.036321982741355896,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,-0.046911612153053284,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,-0.07584387809038162,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,-0.026679541915655136,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,-0.14953309297561646,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,-0.07191380858421326,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,-0.1177346408367157,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,-0.05560990422964096,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.11164131760597229,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,-0.09122223407030106,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.05606808885931969,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,-0.09114780277013779,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,-0.15256795287132263,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,-0.16046704351902008,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,-0.1749638170003891,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,-0.02583504468202591,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,-0.09785526990890503,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,-0.028603099286556244,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,-0.07204417884349823,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,-0.10275246948003769,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,-0.035015642642974854,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,-0.03044603392481804,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,-0.09548242390155792,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,-0.022763952612876892,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,-0.032717928290367126,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,-0.021603822708129883,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
