region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_1.5C_rcp85_ensemble-robustness
03153_Goslar,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03154_Helmstedt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03155_Northeim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03157_Peine,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03158_Wolfenbüttel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03159_Göttingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03241_Region Hannover,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03251_Diepholz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03252_Hameln-Pyrmont,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03254_Hildesheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03255_Holzminden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03256_Nienburg (Weser),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03257_Schaumburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03351_Celle,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03352_Cuxhaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03353_Harburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03354_Lüchow-Dannenberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03355_Lüneburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03356_Osterholz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03357_Rotenburg (Wümme),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03358_Heidekreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03359_Stade,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03360_Uelzen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03361_Verden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03401_03458_04011_03251_03461_Region_um_Delmenhorst,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03401_Delmenhorst,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03402_03452_03457_Region_um_Emden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03402_Emden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03403_Oldenburg (Oldb),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
03404_03459_05566_Region_um_Osnabrück,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03404_Osnabrück,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03405_03455_Region_um_Wilhelmshaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
03405_Wilhelmshaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
03451_Ammerland,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03452_Aurich,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
03453_Cloppenburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03454_Emsland,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03455_Friesland,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
03456_Grafschaft Bentheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03457_Leer,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03458_Oldenburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03459_Osnabrück,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03460_Vechta,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03461_Wesermarsch,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
03462_Wittmund,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
04011_Bremen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
04012_03352_03461_Region_um_Bremerhaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
04012_Bremerhaven,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
05111_05162_05158_05112_Region_um_Düsseldorf,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05111_Düsseldorf,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05112_Duisburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05113_Essen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05114_05112_05162_05166_05170_Region_um_Krefeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05114_Krefeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05116_05370_05166_05162_Region_um_Mönchengladbach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05116_Mönchengladbach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05117_Mülheim an der Ruhr,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05119_Oberhausen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05120_05124_05122_05378_05374_Region_um_Remscheid,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05120_Remscheid,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05122_05158_05124_05378_05120_Region_um_Solingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05122_Solingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05124_Wuppertal,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05154_Kleve,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05158_Mettmann,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05162_Rhein-Kreis Neuss,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05166_Viersen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05170_Wesel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05314_05382_Region_um_Bonn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05314_Bonn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05315_Köln,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05316_05315_05378_05158_Region_um_Leverkusen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05316_Leverkusen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05334_Städteregion Aachen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05358_Düren,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05362_Rhein-Erft-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05366_Euskirchen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05370_Heinsberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05374_Oberbergischer Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05378_Rheinisch-Bergischer Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05382_Rhein-Sieg-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05512_Bottrop,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05513_Gelsenkirchen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05515_05566_05558_05570_Region_um_Münster,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05515_Münster,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05554_Borken,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05558_Coesfeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05562_Recklinghausen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05566_Steinfurt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05570_Warendorf,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05711_05754_05758_05766_Region_um_Bielefeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05711_Bielefeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05754_Gütersloh,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05758_Herford,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05762_Höxter,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05766_Lippe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05770_Minden-Lübbecke,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05774_Paderborn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
