region,SU35_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.13312625885009766,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.10000000149011612,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,0.20755285024642944,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.1769624650478363,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.3614025413990021,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,0.3440297544002533,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.2912684679031372,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.332290381193161,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.17691591382026672,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,0.5621063709259033,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.08799289166927338,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.1450980305671692,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,0.4558803141117096,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.15115684270858765,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.2538563907146454,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.13757538795471191,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,0.3996361196041107,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.3054601848125458,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,0.4624042510986328,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,0.626785397529602,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.0981196165084839,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,1.0739829540252686,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.892736554145813,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,1.036677598953247,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,1.0618385076522827,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,0.9739907383918762,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,1.0121381282806396,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,0.37581387162208557,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,1.0047494173049927,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,0.6013808846473694,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,1.0685092210769653,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,1.038718581199646,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,0.5867696404457092,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,1.063641905784607,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,0.6853265762329102,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,0.6716107726097107,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,0.9125605821609497,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,0.4951544404029846,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),0.9251829385757446,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,0.7811660766601562,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,0.9788419604301453,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,0.29445943236351013,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,0.49978920817375183,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,0.8783586621284485,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,0.6981112360954285,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,0.48793959617614746,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),0.5168476104736328,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,0.7231582999229431,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,0.42027485370635986,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,0.6914100050926208,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
