region,SU35_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
03453_Cloppenburg,2.4118192,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,2.5689545,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,1.2331805,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,2.9228964,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,1.7169021,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,2.47927,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,3.0202653,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,2.8900764,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,1.7030551,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,1.1017573,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,2.3004408,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,2.5947084,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_03352_03461_Region_um_Bremerhaven,1.674333,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,1.6136365,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,4.884774,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,5.167238,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,4.5508904,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,5.0339637,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,4.1345816,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,4.1765265,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,4.653455,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,4.893304,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,4.686585,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,4.5264564,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,4.529672,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,4.538393,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,4.4607344,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,4.867353,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,3.0983422,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,2.594491,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,3.8742425,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,3.8673563,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,3.0883462,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,2.9416914,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,4.0604076,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,4.354807,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,5.0950737,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,4.5984263,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,4.3236504,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_05382_Region_um_Bonn,4.3377666,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,4.864678,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,5.7780356,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
