realization,region,HSx3_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_HSx3,03359_Stade,0.92880553,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03360_Uelzen,1.4806939,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03361_Verden,1.83943,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.3542762,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03401_Delmenhorst,1.2257819,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03402_03452_03457_Region_um_Emden,0.5777461,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03402_Emden,0.58012855,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.97799474,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03403_Oldenburg (Oldb),1.3002354,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03404_03459_05566_Region_um_Osnabrück,1.6180178,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03404_Osnabrück,1.3185215,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03405_03455_Region_um_Wilhelmshaven,0.35095963,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03405_Wilhelmshaven,0.16665258,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03451_Ammerland,0.9112417,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03452_Aurich,0.40058237,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03453_Cloppenburg,1.1958561,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03454_Emsland,1.2503637,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03455_Friesland,0.3742115,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03456_Grafschaft Bentheim,1.5069236,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03457_Leer,0.7859877,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03458_Oldenburg,1.2944096,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03459_Osnabrück,1.544239,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03460_Vechta,1.5317453,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03461_Wesermarsch,0.57391745,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,03462_Wittmund,0.2846103,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,1.1253458,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,04011_Bremen,1.172419,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,04012_03352_03461_Region_um_Bremerhaven,0.5495506,HSx3,year,hot_spell_duration,days,7
