region,LFD_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-12.838105201721191,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-13.848079681396484,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-12.792000770568848,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-13.367719650268555,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-11.285852432250977,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-13.580562591552734,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-9.612140655517578,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-11.768431663513184,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-12.508334159851074,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-12.68308162689209,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-12.629867553710938,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-13.482419967651367,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-13.390243530273438,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-13.370014190673828,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-11.334633827209473,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-12.041963577270508,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-11.524617195129395,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-11.89923095703125,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-12.297016143798828,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-11.973885536193848,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-12.098248481750488,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-12.180624961853027,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-11.855058670043945,LFD,year,days_with_air_temperature_below_threshold,days,7
