region,LFD_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.5814282894134521,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-0.4474283456802368,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-0.6158977150917053,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-0.6821038126945496,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-0.3033156394958496,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-0.6629019379615784,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-0.2750861644744873,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-0.351626992225647,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-0.4333290755748749,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-0.4554668664932251,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-0.4101213216781616,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-0.7022693157196045,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-0.3433990180492401,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-0.7255854606628418,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-0.6266553997993469,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-0.6545493602752686,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-0.9320129156112671,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-0.9188731908798218,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-0.6905970573425293,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-1.3355458974838257,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-2.1725900173187256,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-1.0045008659362793,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-1.1317052841186523,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-0.6539449691772461,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-0.9240165948867798,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-0.670084536075592,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-0.6571365594863892,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-1.0445114374160767,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-1.080744743347168,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-1.2480347156524658,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-0.460970401763916,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-0.5474941730499268,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-1.0805062055587769,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-0.6423685550689697,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-0.3991444706916809,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-0.7594448328018188,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-0.6500654220581055,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-0.6831666231155396,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-0.42955482006073,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-0.6153974533081055,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-0.6823468804359436,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-0.5667740106582642,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-0.7641612887382507,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-0.5287730097770691,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-0.5181636810302734,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-0.11738483607769012,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-0.4115223288536072,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-0.7375932931900024,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-0.03333333134651184,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-0.3287786841392517,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-0.21822616457939148,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-0.45887160301208496,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-0.3349732458591461,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-0.29065966606140137,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-0.3888401985168457,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-0.26976048946380615,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-0.5563552379608154,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-0.6513346433639526,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-0.48790085315704346,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-0.27371764183044434,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-0.22704759240150452,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-0.4398823380470276,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-0.30496543645858765,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-0.14522409439086914,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-0.11464214324951172,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-0.19384604692459106,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-0.1599070429801941,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-0.3490847945213318,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-0.2989416718482971,LFD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-0.039289847016334534,LFD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-0.9560045003890991,LFD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-0.540825605392456,LFD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-0.8059099912643433,LFD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-0.27243518829345703,LFD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-0.3188510537147522,LFD,year,days_with_air_temperature_below_threshold,days,7
