region,LFD_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-4.569121360778809,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-3.746370792388916,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-4.2035980224609375,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-4.6787309646606445,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-3.3637847900390625,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-4.468832969665527,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-3.099114418029785,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-3.176248073577881,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-4.0157365798950195,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-4.174592018127441,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-4.125208854675293,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-4.655428886413574,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-4.033946990966797,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-4.583115577697754,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-3.764470100402832,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-3.5336151123046875,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-3.761061191558838,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-4.34226131439209,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-4.325126647949219,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-5.316397666931152,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-6.958971977233887,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-4.1095051765441895,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-5.020373344421387,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-3.6184868812561035,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-3.9731860160827637,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-3.8996691703796387,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-3.8473401069641113,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-4.471802711486816,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-4.165710926055908,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-4.938070297241211,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-4.178232192993164,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-3.7413387298583984,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-4.0516886711120605,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-4.504812240600586,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-3.366788387298584,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-4.602651119232178,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-4.440242767333984,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-4.599914073944092,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-3.7827577590942383,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-4.250530242919922,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-4.6050872802734375,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-3.7649433612823486,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-4.760891914367676,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-3.8987512588500977,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-3.552159309387207,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-1.9951947927474976,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-3.513378381729126,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-3.5239615440368652,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-1.5591785907745361,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-3.605194568634033,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-2.2563533782958984,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-3.8831164836883545,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-3.3374390602111816,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-2.526658773422241,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-3.004826068878174,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-3.502918243408203,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-3.7618274688720703,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-3.833538293838501,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-3.9326136112213135,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-3.272280216217041,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-2.435108184814453,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-3.3398680686950684,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-2.9570741653442383,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-1.967893362045288,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-1.981358528137207,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-2.469820976257324,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-1.8230483531951904,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-1.9255290031433105,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-2.3665099143981934,LFD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-2.259341239929199,LFD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-3.221620559692383,LFD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-2.343672037124634,LFD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-3.0422537326812744,LFD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-2.307960033416748,LFD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-2.4117612838745117,LFD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-1.8606069087982178,LFD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-1.9759364128112793,LFD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-2.4178030490875244,LFD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-2.320755958557129,LFD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-1.9435813426971436,LFD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-2.145817756652832,LFD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-4.382327079772949,LFD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-2.789093494415283,LFD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-1.974719524383545,LFD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-4.982028961181641,LFD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-2.0543692111968994,LFD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-3.780149221420288,LFD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-2.7197213172912598,LFD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-2.8673198223114014,LFD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-2.4132187366485596,LFD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-2.2202160358428955,LFD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-3.0402839183807373,LFD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-2.9342169761657715,LFD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-3.007943630218506,LFD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-2.7411036491394043,LFD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-3.110724449157715,LFD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-2.9171957969665527,LFD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-3.656766891479492,LFD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-3.3013975620269775,LFD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-3.4521214962005615,LFD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-4.85145378112793,LFD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-4.367523193359375,LFD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-3.7473623752593994,LFD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-4.436073303222656,LFD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-2.606027126312256,LFD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-2.7115044593811035,LFD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-4.20892858505249,LFD,year,days_with_air_temperature_below_threshold,days,7
