region,LFD_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.3395041227340698,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-0.34129598736763,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-0.4670095443725586,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-0.5131677389144897,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-0.14111626148223877,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-0.5728345513343811,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-0.08449026942253113,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-0.23312020301818848,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-0.3165116310119629,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-0.28893592953681946,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-0.22366109490394592,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-0.5480350852012634,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-0.21020889282226562,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-0.5878996849060059,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-0.5079374313354492,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-0.34074723720550537,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-0.3668544292449951,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-0.34014832973480225,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-0.27690649032592773,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-0.7639021873474121,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-1.2385971546173096,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-0.46166789531707764,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-0.6578829288482666,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-0.24080467224121094,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-0.40328550338745117,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-0.3873574137687683,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-0.3717172145843506,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-0.5152305364608765,LFD,year,days_with_air_temperature_below_threshold,days,7
