region,LFD_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-18.43556022644043,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-19.166919708251953,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-17.631301879882812,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-18.565196990966797,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-15.39934253692627,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-18.281108856201172,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-12.98794937133789,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-15.83268928527832,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-17.29462432861328,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-17.879989624023438,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-17.609560012817383,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-18.289310455322266,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-18.172704696655273,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-17.789047241210938,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-15.256153106689453,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-15.85211181640625,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-14.916108131408691,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-16.131065368652344,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-16.601150512695312,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-16.805171966552734,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-15.306640625,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-16.16949462890625,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-17.261178970336914,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-16.27041244506836,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-15.291248321533203,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-16.071372985839844,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-16.597251892089844,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-16.995513916015625,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-16.232772827148438,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-16.36042022705078,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-16.953641891479492,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-16.866199493408203,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-15.78304672241211,LFD,year,days_with_air_temperature_below_threshold,days,7
