region,LFD_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-4.724949,LFD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-4.3034043,LFD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-4.5534286,LFD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-4.873817,LFD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-3.9078147,LFD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-4.883193,LFD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-3.4918432,LFD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-3.7590013,LFD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-4.329239,LFD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-4.6518292,LFD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-4.5126557,LFD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-4.9927387,LFD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-4.4809685,LFD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-4.8795915,LFD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-4.0819354,LFD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-3.9024203,LFD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-3.9457955,LFD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-4.289762,LFD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-4.4754124,LFD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-5.2758923,LFD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-6.007064,LFD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-4.298003,LFD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-4.8737483,LFD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-3.923192,LFD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-4.1132617,LFD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-4.010394,LFD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-4.0602994,LFD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-4.5356383,LFD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-4.274297,LFD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-4.9109335,LFD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-4.3406553,LFD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-4.020155,LFD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-4.1653395,LFD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-4.565331,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-3.9903173,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-4.734209,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-4.657471,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-4.7073364,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-4.2773376,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-4.4642,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-4.636874,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-4.3062186,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-4.783968,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-4.179808,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-3.8928087,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-2.7918143,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-3.9380062,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-3.7630002,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-2.5240242,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-4.1255627,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-3.0314586,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-3.9408844,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-3.5913382,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-3.405771,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-3.4614584,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-3.794368,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-4.0417233,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-3.87844,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-3.8947203,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-3.7270982,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-3.2340038,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-3.652661,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-3.5341427,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-2.106726,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-2.1482332,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-2.5161757,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-2.2214134,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-2.3973765,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-2.4967167,LFD,year,days_with_air_temperature_below_threshold,days,7
