region,DSf_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05362_Rhein-Erft-Kreis,2.2547178268432617,DSf,year,dry_spell_frequency,,7
05366_Euskirchen,2.2076616287231445,DSf,year,dry_spell_frequency,,7
05370_Heinsberg,2.1720809936523438,DSf,year,dry_spell_frequency,,7
05374_Oberbergischer Kreis,1.6641769409179688,DSf,year,dry_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,2.133040428161621,DSf,year,dry_spell_frequency,,7
05382_Rhein-Sieg-Kreis,1.4739770889282227,DSf,year,dry_spell_frequency,,7
05512_Bottrop,1.7857131958007812,DSf,year,dry_spell_frequency,,7
05513_Gelsenkirchen,1.893869400024414,DSf,year,dry_spell_frequency,,7
05515_Münster,1.6044921875,DSf,year,dry_spell_frequency,,7
05554_Borken,1.7726926803588867,DSf,year,dry_spell_frequency,,7
05558_Coesfeld,1.642298698425293,DSf,year,dry_spell_frequency,,7
05562_Recklinghausen,1.7025108337402344,DSf,year,dry_spell_frequency,,7
05566_Steinfurt,1.8602714538574219,DSf,year,dry_spell_frequency,,7
05570_Warendorf,1.9255075454711914,DSf,year,dry_spell_frequency,,7
05711_Bielefeld,2.4294490814208984,DSf,year,dry_spell_frequency,,7
05754_Gütersloh,2.0721435546875,DSf,year,dry_spell_frequency,,7
05758_Herford,1.8200149536132812,DSf,year,dry_spell_frequency,,7
05762_Höxter,1.916834831237793,DSf,year,dry_spell_frequency,,7
05766_Lippe,2.118405342102051,DSf,year,dry_spell_frequency,,7
05770_Minden-Lübbecke,1.8962373733520508,DSf,year,dry_spell_frequency,,7
05774_Paderborn,2.248790740966797,DSf,year,dry_spell_frequency,,7
05911_Bochum,2.4398651123046875,DSf,year,dry_spell_frequency,,7
05913_Dortmund,2.1062803268432617,DSf,year,dry_spell_frequency,,7
05914_Hagen,2.498629570007324,DSf,year,dry_spell_frequency,,7
05915_Hamm,2.0514726638793945,DSf,year,dry_spell_frequency,,7
05916_Herne,2.2490034103393555,DSf,year,dry_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,2.2155656814575195,DSf,year,dry_spell_frequency,,7
05958_Hochsauerlandkreis,1.9070415496826172,DSf,year,dry_spell_frequency,,7
05962_Märkischer Kreis,2.017867088317871,DSf,year,dry_spell_frequency,,7
05966_Olpe,1.698822021484375,DSf,year,dry_spell_frequency,,7
05970_Siegen-Wittgenstein,1.852980613708496,DSf,year,dry_spell_frequency,,7
05974_Soest,2.343499183654785,DSf,year,dry_spell_frequency,,7
05978_Unna,1.8598747253417969,DSf,year,dry_spell_frequency,,7
06411_Darmstadt,1.5182571411132812,DSf,year,dry_spell_frequency,,7
06412_Frankfurt am Main,1.761739730834961,DSf,year,dry_spell_frequency,,7
06413_Offenbach am Main,1.4002008438110352,DSf,year,dry_spell_frequency,,7
06414_Wiesbaden,2.098947525024414,DSf,year,dry_spell_frequency,,7
06431_Bergstraße,1.626028060913086,DSf,year,dry_spell_frequency,,7
06432_Darmstadt-Dieburg,1.4384574890136719,DSf,year,dry_spell_frequency,,7
06433_Groß-Gerau,1.5810279846191406,DSf,year,dry_spell_frequency,,7
06434_Hochtaunuskreis,1.8364124298095703,DSf,year,dry_spell_frequency,,7
06435_Main-Kinzig-Kreis,1.6543540954589844,DSf,year,dry_spell_frequency,,7
06436_Main-Taunus-Kreis,1.9040813446044922,DSf,year,dry_spell_frequency,,7
06437_Odenwaldkreis,1.997802734375,DSf,year,dry_spell_frequency,,7
06438_Offenbach,1.3156538009643555,DSf,year,dry_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,2.307692527770996,DSf,year,dry_spell_frequency,,7
06440_Wetteraukreis,1.455092430114746,DSf,year,dry_spell_frequency,,7
06531_Gießen,1.2472238540649414,DSf,year,dry_spell_frequency,,7
06532_Lahn-Dill-Kreis,1.7880144119262695,DSf,year,dry_spell_frequency,,7
06533_Limburg-Weilburg,1.4584236145019531,DSf,year,dry_spell_frequency,,7
06534_Marburg-Biedenkopf,1.9493370056152344,DSf,year,dry_spell_frequency,,7
06535_Vogelsbergkreis,1.9213619232177734,DSf,year,dry_spell_frequency,,7
06611_Kassel,1.9523124694824219,DSf,year,dry_spell_frequency,,7
06631_Fulda,1.7906064987182617,DSf,year,dry_spell_frequency,,7
06632_Hersfeld-Rotenburg,2.052525520324707,DSf,year,dry_spell_frequency,,7
06633_Kassel,1.7978534698486328,DSf,year,dry_spell_frequency,,7
06634_Schwalm-Eder-Kreis,2.0472936630249023,DSf,year,dry_spell_frequency,,7
06635_Waldeck-Frankenberg,1.8703784942626953,DSf,year,dry_spell_frequency,,7
06636_Werra-Meißner-Kreis,1.8862667083740234,DSf,year,dry_spell_frequency,,7
07111_Koblenz,1.8521041870117188,DSf,year,dry_spell_frequency,,7
07131_Ahrweiler,1.8851261138916016,DSf,year,dry_spell_frequency,,7
07132_Altenkirchen (Westerwald),1.5211677551269531,DSf,year,dry_spell_frequency,,7
07133_Bad Kreuznach,2.2076492309570312,DSf,year,dry_spell_frequency,,7
07134_Birkenfeld,2.2140111923217773,DSf,year,dry_spell_frequency,,7
07135_Cochem-Zell,2.6051626205444336,DSf,year,dry_spell_frequency,,7
07137_Mayen-Koblenz,1.9247121810913086,DSf,year,dry_spell_frequency,,7
07138_Neuwied,1.383967399597168,DSf,year,dry_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,2.285480499267578,DSf,year,dry_spell_frequency,,7
07141_Rhein-Lahn-Kreis,1.696990966796875,DSf,year,dry_spell_frequency,,7
07143_Westerwaldkreis,1.6544580459594727,DSf,year,dry_spell_frequency,,7
07211_Trier,2.285040855407715,DSf,year,dry_spell_frequency,,7
07231_Bernkastel-Wittlich,2.6487340927124023,DSf,year,dry_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,2.8230981826782227,DSf,year,dry_spell_frequency,,7
07233_Vulkaneifel,2.5724544525146484,DSf,year,dry_spell_frequency,,7
07235_Trier-Saarburg,2.203244209289551,DSf,year,dry_spell_frequency,,7
07311_Frankenthal (Pfalz),2.9250011444091797,DSf,year,dry_spell_frequency,,7
07312_Kaiserslautern,2.3443641662597656,DSf,year,dry_spell_frequency,,7
07313_Landau in der Pfalz,1.8181896209716797,DSf,year,dry_spell_frequency,,7
07314_Ludwigshafen am Rhein,2.4347972869873047,DSf,year,dry_spell_frequency,,7
07315_Mainz,1.790694236755371,DSf,year,dry_spell_frequency,,7
07316_Neustadt an der Weinstraße,1.9909086227416992,DSf,year,dry_spell_frequency,,7
07317_Pirmasens,2.0571517944335938,DSf,year,dry_spell_frequency,,7
07318_Speyer,2.031709671020508,DSf,year,dry_spell_frequency,,7
07319_Worms,2.2641754150390625,DSf,year,dry_spell_frequency,,7
07320_Zweibrücken,2.6501283645629883,DSf,year,dry_spell_frequency,,7
07331_Alzey-Worms,2.0596046447753906,DSf,year,dry_spell_frequency,,7
07332_Bad Dürkheim,2.179769515991211,DSf,year,dry_spell_frequency,,7
07333_Donnersbergkreis,2.4070682525634766,DSf,year,dry_spell_frequency,,7
07334_Germersheim,1.7488040924072266,DSf,year,dry_spell_frequency,,7
07335_Kaiserslautern,2.416031837463379,DSf,year,dry_spell_frequency,,7
07336_Kusel,2.314833641052246,DSf,year,dry_spell_frequency,,7
07337_Südliche Weinstraße,1.8807315826416016,DSf,year,dry_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,2.2269935607910156,DSf,year,dry_spell_frequency,,7
07339_Mainz-Bingen,2.028158187866211,DSf,year,dry_spell_frequency,,7
07340_Südwestpfalz,2.2528762817382812,DSf,year,dry_spell_frequency,,7
08111_Stuttgart,1.7629127502441406,DSf,year,dry_spell_frequency,,7
08115_Böblingen,2.0804738998413086,DSf,year,dry_spell_frequency,,7
08116_Esslingen,1.5046110153198242,DSf,year,dry_spell_frequency,,7
08117_Göppingen,1.8522272109985352,DSf,year,dry_spell_frequency,,7
08118_Ludwigsburg,1.5845069885253906,DSf,year,dry_spell_frequency,,7
08119_Rems-Murr-Kreis,1.3774147033691406,DSf,year,dry_spell_frequency,,7
08121_Heilbronn,1.333064079284668,DSf,year,dry_spell_frequency,,7
08125_Heilbronn,1.2897815704345703,DSf,year,dry_spell_frequency,,7
08126_Hohenlohekreis,1.5856428146362305,DSf,year,dry_spell_frequency,,7
08127_Schwäbisch Hall,1.3013973236083984,DSf,year,dry_spell_frequency,,7
08128_Main-Tauber-Kreis,1.362030029296875,DSf,year,dry_spell_frequency,,7
08135_Heidenheim,1.9200019836425781,DSf,year,dry_spell_frequency,,7
08136_Ostalbkreis,1.5590391159057617,DSf,year,dry_spell_frequency,,7
08211_Baden-Baden,1.6773576736450195,DSf,year,dry_spell_frequency,,7
08212_Karlsruhe,1.5090131759643555,DSf,year,dry_spell_frequency,,7
08215_Karlsruhe,1.4285049438476562,DSf,year,dry_spell_frequency,,7
08216_Rastatt,1.6370248794555664,DSf,year,dry_spell_frequency,,7
08221_Heidelberg,1.6598644256591797,DSf,year,dry_spell_frequency,,7
08222_Mannheim,1.8031482696533203,DSf,year,dry_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,1.692835807800293,DSf,year,dry_spell_frequency,,7
08226_Rhein-Neckar-Kreis,1.718557357788086,DSf,year,dry_spell_frequency,,7
08231_Pforzheim,1.689767837524414,DSf,year,dry_spell_frequency,,7
08235_Calw,1.9528388977050781,DSf,year,dry_spell_frequency,,7
08236_Enzkreis,1.4698400497436523,DSf,year,dry_spell_frequency,,7
08237_Freudenstadt,2.0144729614257812,DSf,year,dry_spell_frequency,,7
08311_Freiburg im Breisgau,2.012429714202881,DSf,year,dry_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,1.8918743133544922,DSf,year,dry_spell_frequency,,7
08316_Emmendingen,2.2721076011657715,DSf,year,dry_spell_frequency,,7
08317_Ortenaukreis,1.8934478759765625,DSf,year,dry_spell_frequency,,7
08325_Rottweil,2.0754337310791016,DSf,year,dry_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,1.979456901550293,DSf,year,dry_spell_frequency,,7
08327_Tuttlingen,2.061542510986328,DSf,year,dry_spell_frequency,,7
08335_Konstanz,1.7309064865112305,DSf,year,dry_spell_frequency,,7
08336_Lörrach,2.1284523010253906,DSf,year,dry_spell_frequency,,7
08337_Waldshut,1.7999000549316406,DSf,year,dry_spell_frequency,,7
08415_Reutlingen,2.0334577560424805,DSf,year,dry_spell_frequency,,7
08416_Tübingen,2.0222854614257812,DSf,year,dry_spell_frequency,,7
08417_Zollernalbkreis,2.2304153442382812,DSf,year,dry_spell_frequency,,7
