region,DSf_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,3.796006202697754,DSf,year,dry_spell_frequency,,7
01002_Kiel,3.000922203063965,DSf,year,dry_spell_frequency,,7
01003_Lübeck,2.3905210494995117,DSf,year,dry_spell_frequency,,7
01004_Neumünster,2.987276077270508,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,2.9502668380737305,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,2.6193246841430664,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,2.436020851135254,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,2.4187698364257812,DSf,year,dry_spell_frequency,,7
01057_Plön,2.5784177780151367,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,3.1332321166992188,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,3.0232934951782227,DSf,year,dry_spell_frequency,,7
01060_Segeberg,2.6553564071655273,DSf,year,dry_spell_frequency,,7
01061_Steinburg,2.743227005004883,DSf,year,dry_spell_frequency,,7
01062_Stormarn,2.6019420623779297,DSf,year,dry_spell_frequency,,7
02000_Hamburg,2.4609289169311523,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,1.857100486755371,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,2.272101402282715,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,2.3049697875976562,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,2.5459699630737305,DSf,year,dry_spell_frequency,,7
03159_Göttingen,2.4197940826416016,DSf,year,dry_spell_frequency,,7
03153_Goslar,2.515364646911621,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,2.159912109375,DSf,year,dry_spell_frequency,,7
03155_Northeim,2.660700798034668,DSf,year,dry_spell_frequency,,7
03157_Peine,1.9544572830200195,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,2.090153694152832,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,2.4604549407958984,DSf,year,dry_spell_frequency,,7
03251_Diepholz,2.60196590423584,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,2.9996843338012695,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,2.632817268371582,DSf,year,dry_spell_frequency,,7
03255_Holzminden,3.141010284423828,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,2.478877067565918,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),2.6394662857055664,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,2.9964704513549805,DSf,year,dry_spell_frequency,,7
03351_Celle,2.454803466796875,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,2.4269371032714844,DSf,year,dry_spell_frequency,,7
03353_Harburg,2.5496177673339844,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,2.870889663696289,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,2.2797670364379883,DSf,year,dry_spell_frequency,,7
03356_Osterholz,2.811676025390625,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),2.480792999267578,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,2.5088987350463867,DSf,year,dry_spell_frequency,,7
03359_Stade,2.5183963775634766,DSf,year,dry_spell_frequency,,7
03360_Uelzen,2.5755615234375,DSf,year,dry_spell_frequency,,7
03361_Verden,2.7209949493408203,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,2.65582275390625,DSf,year,dry_spell_frequency,,7
03402_Emden,2.6314897537231445,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),2.5749549865722656,DSf,year,dry_spell_frequency,,7
03404_Osnabrück,2.8714914321899414,DSf,year,dry_spell_frequency,,7
03405_Wilhelmshaven,2.4224061965942383,DSf,year,dry_spell_frequency,,7
03451_Ammerland,2.4387502670288086,DSf,year,dry_spell_frequency,,7
03452_Aurich,2.749347686767578,DSf,year,dry_spell_frequency,,7
03453_Cloppenburg,2.715076446533203,DSf,year,dry_spell_frequency,,7
03454_Emsland,2.712553024291992,DSf,year,dry_spell_frequency,,7
