region,DSf_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.41256189346313477,DSf,year,dry_spell_frequency,,7
01002_Kiel,0.45355892181396484,DSf,year,dry_spell_frequency,,7
01003_Lübeck,0.19485950469970703,DSf,year,dry_spell_frequency,,7
01004_Neumünster,0.25006628036499023,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,0.31735801696777344,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,0.11643028259277344,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,0.20081377029418945,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,0.25038576126098633,DSf,year,dry_spell_frequency,,7
01057_Plön,0.3057231903076172,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.36006927490234375,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,0.39518117904663086,DSf,year,dry_spell_frequency,,7
01060_Segeberg,0.32669591903686523,DSf,year,dry_spell_frequency,,7
01061_Steinburg,0.22380733489990234,DSf,year,dry_spell_frequency,,7
01062_Stormarn,0.22001314163208008,DSf,year,dry_spell_frequency,,7
02000_Hamburg,0.39270877838134766,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,0.19702720642089844,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,0.07235431671142578,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,0.3406548500061035,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,0.42569398880004883,DSf,year,dry_spell_frequency,,7
03159_Göttingen,0.5166258811950684,DSf,year,dry_spell_frequency,,7
03153_Goslar,0.36550092697143555,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,0.3943204879760742,DSf,year,dry_spell_frequency,,7
03155_Northeim,0.34728026390075684,DSf,year,dry_spell_frequency,,7
03157_Peine,0.27350711822509766,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,0.05491495132446289,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,0.26797032356262207,DSf,year,dry_spell_frequency,,7
03251_Diepholz,0.33255434036254883,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,0.22361230850219727,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,0.22303485870361328,DSf,year,dry_spell_frequency,,7
03255_Holzminden,0.26221585273742676,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,0.2859311103820801,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),0.3520655632019043,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,0.34560060501098633,DSf,year,dry_spell_frequency,,7
03351_Celle,0.5535726547241211,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,0.2234025001525879,DSf,year,dry_spell_frequency,,7
03353_Harburg,0.2990117073059082,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,0.5647592544555664,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,0.24448633193969727,DSf,year,dry_spell_frequency,,7
03356_Osterholz,0.26969003677368164,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),0.2856717109680176,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,0.25723838806152344,DSf,year,dry_spell_frequency,,7
03359_Stade,0.26186370849609375,DSf,year,dry_spell_frequency,,7
03360_Uelzen,0.5663762092590332,DSf,year,dry_spell_frequency,,7
03361_Verden,0.380277156829834,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,0.31160593032836914,DSf,year,dry_spell_frequency,,7
