region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05382_Rhein-Sieg-Kreis,0.2574432,DSf,year,dry_spell_frequency,,7
05512_Bottrop,0.30033952,DSf,year,dry_spell_frequency,,7
05513_Gelsenkirchen,0.28843555,DSf,year,dry_spell_frequency,,7
05515_Münster,0.24717204,DSf,year,dry_spell_frequency,,7
05554_Borken,0.21914496,DSf,year,dry_spell_frequency,,7
05558_Coesfeld,0.23916632,DSf,year,dry_spell_frequency,,7
05562_Recklinghausen,0.27265134,DSf,year,dry_spell_frequency,,7
05566_Steinfurt,0.17454356,DSf,year,dry_spell_frequency,,7
05570_Warendorf,0.23260131,DSf,year,dry_spell_frequency,,7
05711_Bielefeld,0.16004431,DSf,year,dry_spell_frequency,,7
05754_Gütersloh,0.19905058,DSf,year,dry_spell_frequency,,7
05758_Herford,0.16561605,DSf,year,dry_spell_frequency,,7
05762_Höxter,0.13349165,DSf,year,dry_spell_frequency,,7
05766_Lippe,0.09840957,DSf,year,dry_spell_frequency,,7
05770_Minden-Lübbecke,0.12182122,DSf,year,dry_spell_frequency,,7
05774_Paderborn,0.1909058,DSf,year,dry_spell_frequency,,7
05911_Bochum,0.29955727,DSf,year,dry_spell_frequency,,7
05913_Dortmund,0.2622227,DSf,year,dry_spell_frequency,,7
05914_Hagen,0.29024893,DSf,year,dry_spell_frequency,,7
05915_Hamm,0.22957084,DSf,year,dry_spell_frequency,,7
05916_Herne,0.30090111,DSf,year,dry_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,0.30749545,DSf,year,dry_spell_frequency,,7
05958_Hochsauerlandkreis,0.24494867,DSf,year,dry_spell_frequency,,7
05962_Märkischer Kreis,0.2854536,DSf,year,dry_spell_frequency,,7
05966_Olpe,0.3178373,DSf,year,dry_spell_frequency,,7
05970_Siegen-Wittgenstein,0.25557333,DSf,year,dry_spell_frequency,,7
05974_Soest,0.21639115,DSf,year,dry_spell_frequency,,7
05978_Unna,0.22113924,DSf,year,dry_spell_frequency,,7
06411_Darmstadt,0.2995809,DSf,year,dry_spell_frequency,,7
06412_Frankfurt am Main,0.304554,DSf,year,dry_spell_frequency,,7
06413_Offenbach am Main,0.2207056,DSf,year,dry_spell_frequency,,7
06414_Wiesbaden,0.34960234,DSf,year,dry_spell_frequency,,7
06431_Bergstraße,0.30443272,DSf,year,dry_spell_frequency,,7
06432_Darmstadt-Dieburg,0.30025616,DSf,year,dry_spell_frequency,,7
06433_Groß-Gerau,0.2719713,DSf,year,dry_spell_frequency,,7
06434_Hochtaunuskreis,0.26375058,DSf,year,dry_spell_frequency,,7
06435_Main-Kinzig-Kreis,0.28474328,DSf,year,dry_spell_frequency,,7
06436_Main-Taunus-Kreis,0.3215359,DSf,year,dry_spell_frequency,,7
06437_Odenwaldkreis,0.32401946,DSf,year,dry_spell_frequency,,7
06438_Offenbach,0.25371948,DSf,year,dry_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,0.27401778,DSf,year,dry_spell_frequency,,7
06440_Wetteraukreis,0.2526957,DSf,year,dry_spell_frequency,,7
06531_Gießen,0.27132767,DSf,year,dry_spell_frequency,,7
06532_Lahn-Dill-Kreis,0.20880836,DSf,year,dry_spell_frequency,,7
06533_Limburg-Weilburg,0.20782132,DSf,year,dry_spell_frequency,,7
06534_Marburg-Biedenkopf,0.21723653,DSf,year,dry_spell_frequency,,7
06535_Vogelsbergkreis,0.30102932,DSf,year,dry_spell_frequency,,7
06611_Kassel,0.09754503,DSf,year,dry_spell_frequency,,7
06631_Fulda,0.27499098,DSf,year,dry_spell_frequency,,7
06632_Hersfeld-Rotenburg,0.16845332,DSf,year,dry_spell_frequency,,7
06633_Kassel,0.13310927,DSf,year,dry_spell_frequency,,7
06634_Schwalm-Eder-Kreis,0.22656447,DSf,year,dry_spell_frequency,,7
06635_Waldeck-Frankenberg,0.18607761,DSf,year,dry_spell_frequency,,7
06636_Werra-Meißner-Kreis,0.15592735,DSf,year,dry_spell_frequency,,7
07111_Koblenz,0.22243868,DSf,year,dry_spell_frequency,,7
07131_Ahrweiler,0.2528355,DSf,year,dry_spell_frequency,,7
07132_Altenkirchen (Westerwald),0.25465867,DSf,year,dry_spell_frequency,,7
07133_Bad Kreuznach,0.24681777,DSf,year,dry_spell_frequency,,7
07134_Birkenfeld,0.35250995,DSf,year,dry_spell_frequency,,7
07135_Cochem-Zell,0.3085531,DSf,year,dry_spell_frequency,,7
07137_Mayen-Koblenz,0.2604644,DSf,year,dry_spell_frequency,,7
07138_Neuwied,0.22256295,DSf,year,dry_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,0.30660594,DSf,year,dry_spell_frequency,,7
07141_Rhein-Lahn-Kreis,0.2566297,DSf,year,dry_spell_frequency,,7
07143_Westerwaldkreis,0.27999994,DSf,year,dry_spell_frequency,,7
07211_Trier,0.42909956,DSf,year,dry_spell_frequency,,7
07231_Bernkastel-Wittlich,0.35628536,DSf,year,dry_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,0.40441927,DSf,year,dry_spell_frequency,,7
07233_Vulkaneifel,0.37615433,DSf,year,dry_spell_frequency,,7
07235_Trier-Saarburg,0.44431084,DSf,year,dry_spell_frequency,,7
07311_Frankenthal (Pfalz),0.22410594,DSf,year,dry_spell_frequency,,7
07312_Kaiserslautern,0.4426307,DSf,year,dry_spell_frequency,,7
07313_Landau in der Pfalz,0.32719675,DSf,year,dry_spell_frequency,,7
07314_Ludwigshafen am Rhein,0.22255634,DSf,year,dry_spell_frequency,,7
07315_Mainz,0.31996846,DSf,year,dry_spell_frequency,,7
07316_Neustadt an der Weinstraße,0.27333724,DSf,year,dry_spell_frequency,,7
07317_Pirmasens,0.4124201,DSf,year,dry_spell_frequency,,7
07318_Speyer,0.27647635,DSf,year,dry_spell_frequency,,7
07319_Worms,0.24693143,DSf,year,dry_spell_frequency,,7
07320_Zweibrücken,0.46401304,DSf,year,dry_spell_frequency,,7
07331_Alzey-Worms,0.20963602,DSf,year,dry_spell_frequency,,7
07332_Bad Dürkheim,0.25609538,DSf,year,dry_spell_frequency,,7
07333_Donnersbergkreis,0.30339,DSf,year,dry_spell_frequency,,7
07334_Germersheim,0.31839806,DSf,year,dry_spell_frequency,,7
07335_Kaiserslautern,0.42487168,DSf,year,dry_spell_frequency,,7
07336_Kusel,0.39155528,DSf,year,dry_spell_frequency,,7
07337_Südliche Weinstraße,0.31112155,DSf,year,dry_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,0.22298011,DSf,year,dry_spell_frequency,,7
07339_Mainz-Bingen,0.2400991,DSf,year,dry_spell_frequency,,7
07340_Südwestpfalz,0.40887016,DSf,year,dry_spell_frequency,,7
08111_Stuttgart,0.122675985,DSf,year,dry_spell_frequency,,7
08115_Böblingen,0.15426241,DSf,year,dry_spell_frequency,,7
08116_Esslingen,0.21418954,DSf,year,dry_spell_frequency,,7
08117_Göppingen,0.21892592,DSf,year,dry_spell_frequency,,7
08118_Ludwigsburg,0.2116993,DSf,year,dry_spell_frequency,,7
08119_Rems-Murr-Kreis,0.295463,DSf,year,dry_spell_frequency,,7
08121_Heilbronn,0.30243868,DSf,year,dry_spell_frequency,,7
08125_Heilbronn,0.32304415,DSf,year,dry_spell_frequency,,7
08126_Hohenlohekreis,0.25893527,DSf,year,dry_spell_frequency,,7
08127_Schwäbisch Hall,0.24642524,DSf,year,dry_spell_frequency,,7
08128_Main-Tauber-Kreis,0.20714593,DSf,year,dry_spell_frequency,,7
08135_Heidenheim,0.15896827,DSf,year,dry_spell_frequency,,7
08136_Ostalbkreis,0.24897426,DSf,year,dry_spell_frequency,,7
08211_Baden-Baden,0.36721647,DSf,year,dry_spell_frequency,,7
08212_Karlsruhe,0.2969489,DSf,year,dry_spell_frequency,,7
08215_Karlsruhe,0.3282264,DSf,year,dry_spell_frequency,,7
08216_Rastatt,0.34771556,DSf,year,dry_spell_frequency,,7
08221_Heidelberg,0.37808603,DSf,year,dry_spell_frequency,,7
08222_Mannheim,0.24968179,DSf,year,dry_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,0.28975335,DSf,year,dry_spell_frequency,,7
08226_Rhein-Neckar-Kreis,0.3367873,DSf,year,dry_spell_frequency,,7
08231_Pforzheim,0.20605977,DSf,year,dry_spell_frequency,,7
08235_Calw,0.22626476,DSf,year,dry_spell_frequency,,7
08236_Enzkreis,0.24512275,DSf,year,dry_spell_frequency,,7
08237_Freudenstadt,0.35803798,DSf,year,dry_spell_frequency,,7
08311_Freiburg im Breisgau,0.277581,DSf,year,dry_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,0.3409373,DSf,year,dry_spell_frequency,,7
08316_Emmendingen,0.36449853,DSf,year,dry_spell_frequency,,7
08317_Ortenaukreis,0.37281653,DSf,year,dry_spell_frequency,,7
08325_Rottweil,0.32887655,DSf,year,dry_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,0.25074643,DSf,year,dry_spell_frequency,,7
08327_Tuttlingen,0.24460715,DSf,year,dry_spell_frequency,,7
08335_Konstanz,0.23347136,DSf,year,dry_spell_frequency,,7
08336_Lörrach,0.3832861,DSf,year,dry_spell_frequency,,7
08337_Waldshut,0.2881933,DSf,year,dry_spell_frequency,,7
08415_Reutlingen,0.24703588,DSf,year,dry_spell_frequency,,7
08416_Tübingen,0.1952282,DSf,year,dry_spell_frequency,,7
08417_Zollernalbkreis,0.2168297,DSf,year,dry_spell_frequency,,7
08421_Ulm,0.09046763,DSf,year,dry_spell_frequency,,7
08425_Alb-Donau-Kreis,0.15256251,DSf,year,dry_spell_frequency,,7
08426_Biberach,0.19412452,DSf,year,dry_spell_frequency,,7
08435_Bodenseekreis,0.18495099,DSf,year,dry_spell_frequency,,7
08436_Ravensburg,0.22226141,DSf,year,dry_spell_frequency,,7
08437_Sigmaringen,0.25011414,DSf,year,dry_spell_frequency,,7
09161_Ingolstadt,0.13896698,DSf,year,dry_spell_frequency,,7
09162_München,0.12118952,DSf,year,dry_spell_frequency,,7
09163_Rosenheim,-0.03003429,DSf,year,dry_spell_frequency,,7
09171_Altötting,0.056201123,DSf,year,dry_spell_frequency,,7
09172_Berchtesgadener Land,0.057333235,DSf,year,dry_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,0.05331421,DSf,year,dry_spell_frequency,,7
09174_Dachau,0.19526272,DSf,year,dry_spell_frequency,,7
09175_Ebersberg,0.053846467,DSf,year,dry_spell_frequency,,7
09176_Eichstätt,0.1521037,DSf,year,dry_spell_frequency,,7
09177_Erding,0.14097385,DSf,year,dry_spell_frequency,,7
09178_Freising,0.17847607,DSf,year,dry_spell_frequency,,7
09179_Fürstenfeldbruck,0.16540985,DSf,year,dry_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.009226799,DSf,year,dry_spell_frequency,,7
09181_Landsberg am Lech,0.14697878,DSf,year,dry_spell_frequency,,7
09182_Miesbach,0.055576216,DSf,year,dry_spell_frequency,,7
09183_Mühldorf a. Inn,0.08487189,DSf,year,dry_spell_frequency,,7
09184_München,0.115808584,DSf,year,dry_spell_frequency,,7
09185_Neuburg-Schrobenhausen,0.16274586,DSf,year,dry_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,0.1906409,DSf,year,dry_spell_frequency,,7
09187_Rosenheim,0.01919007,DSf,year,dry_spell_frequency,,7
09188_Starnberg,0.11646473,DSf,year,dry_spell_frequency,,7
09189_Traunstein,0.07736238,DSf,year,dry_spell_frequency,,7
