region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05316_Leverkusen,-1.2374749183654785,DSf,year,dry_spell_frequency,,7
05334_Städteregion Aachen,-1.085484504699707,DSf,year,dry_spell_frequency,,7
05358_Düren,-1.019343376159668,DSf,year,dry_spell_frequency,,7
05362_Rhein-Erft-Kreis,-1.0020380020141602,DSf,year,dry_spell_frequency,,7
05366_Euskirchen,-1.1027555465698242,DSf,year,dry_spell_frequency,,7
05370_Heinsberg,-1.0468511581420898,DSf,year,dry_spell_frequency,,7
05374_Oberbergischer Kreis,-0.9210100173950195,DSf,year,dry_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,-1.0038886070251465,DSf,year,dry_spell_frequency,,7
05382_Rhein-Sieg-Kreis,-1.1731929779052734,DSf,year,dry_spell_frequency,,7
05512_Bottrop,-0.9921770095825195,DSf,year,dry_spell_frequency,,7
05513_Gelsenkirchen,-1.186141014099121,DSf,year,dry_spell_frequency,,7
05515_Münster,-1.2718191146850586,DSf,year,dry_spell_frequency,,7
05554_Borken,-1.169945240020752,DSf,year,dry_spell_frequency,,7
05558_Coesfeld,-1.084517002105713,DSf,year,dry_spell_frequency,,7
05562_Recklinghausen,-1.0552759170532227,DSf,year,dry_spell_frequency,,7
05566_Steinfurt,-1.346583366394043,DSf,year,dry_spell_frequency,,7
05570_Warendorf,-1.2582836151123047,DSf,year,dry_spell_frequency,,7
05711_Bielefeld,-1.2489714622497559,DSf,year,dry_spell_frequency,,7
05754_Gütersloh,-1.0747976303100586,DSf,year,dry_spell_frequency,,7
05758_Herford,-1.7316327095031738,DSf,year,dry_spell_frequency,,7
05762_Höxter,-1.3013896942138672,DSf,year,dry_spell_frequency,,7
05766_Lippe,-1.191246509552002,DSf,year,dry_spell_frequency,,7
05770_Minden-Lübbecke,-1.3794093132019043,DSf,year,dry_spell_frequency,,7
05774_Paderborn,-1.233382225036621,DSf,year,dry_spell_frequency,,7
05911_Bochum,-1.2327442169189453,DSf,year,dry_spell_frequency,,7
05913_Dortmund,-1.414078712463379,DSf,year,dry_spell_frequency,,7
05914_Hagen,-0.8559055328369141,DSf,year,dry_spell_frequency,,7
05915_Hamm,-1.2009944915771484,DSf,year,dry_spell_frequency,,7
05916_Herne,-1.611715316772461,DSf,year,dry_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,-0.9397478103637695,DSf,year,dry_spell_frequency,,7
05958_Hochsauerlandkreis,-1.1690311431884766,DSf,year,dry_spell_frequency,,7
05962_Märkischer Kreis,-0.8304910659790039,DSf,year,dry_spell_frequency,,7
05966_Olpe,-0.9072198867797852,DSf,year,dry_spell_frequency,,7
05970_Siegen-Wittgenstein,-1.0559463500976562,DSf,year,dry_spell_frequency,,7
05974_Soest,-1.2124824523925781,DSf,year,dry_spell_frequency,,7
05978_Unna,-1.2179069519042969,DSf,year,dry_spell_frequency,,7
06411_Darmstadt,-0.8972444534301758,DSf,year,dry_spell_frequency,,7
06412_Frankfurt am Main,-0.9840555191040039,DSf,year,dry_spell_frequency,,7
06413_Offenbach am Main,-1.3734703063964844,DSf,year,dry_spell_frequency,,7
06414_Wiesbaden,-1.212355613708496,DSf,year,dry_spell_frequency,,7
06431_Bergstraße,-0.6980104446411133,DSf,year,dry_spell_frequency,,7
06432_Darmstadt-Dieburg,-0.8442544937133789,DSf,year,dry_spell_frequency,,7
06433_Groß-Gerau,-1.1569080352783203,DSf,year,dry_spell_frequency,,7
06434_Hochtaunuskreis,-1.2243289947509766,DSf,year,dry_spell_frequency,,7
06435_Main-Kinzig-Kreis,-0.8443613052368164,DSf,year,dry_spell_frequency,,7
06436_Main-Taunus-Kreis,-1.2060041427612305,DSf,year,dry_spell_frequency,,7
06437_Odenwaldkreis,-0.9241447448730469,DSf,year,dry_spell_frequency,,7
06438_Offenbach,-0.9870128631591797,DSf,year,dry_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,-1.3664560317993164,DSf,year,dry_spell_frequency,,7
06440_Wetteraukreis,-0.974919319152832,DSf,year,dry_spell_frequency,,7
06531_Gießen,-0.8746824264526367,DSf,year,dry_spell_frequency,,7
06532_Lahn-Dill-Kreis,-1.0908784866333008,DSf,year,dry_spell_frequency,,7
06533_Limburg-Weilburg,-0.9378108978271484,DSf,year,dry_spell_frequency,,7
06534_Marburg-Biedenkopf,-1.1232357025146484,DSf,year,dry_spell_frequency,,7
06535_Vogelsbergkreis,-0.809596061706543,DSf,year,dry_spell_frequency,,7
06611_Kassel,-1.2556982040405273,DSf,year,dry_spell_frequency,,7
06631_Fulda,-0.8468170166015625,DSf,year,dry_spell_frequency,,7
06632_Hersfeld-Rotenburg,-0.9716672897338867,DSf,year,dry_spell_frequency,,7
06633_Kassel,-1.2395343780517578,DSf,year,dry_spell_frequency,,7
06634_Schwalm-Eder-Kreis,-0.9954671859741211,DSf,year,dry_spell_frequency,,7
06635_Waldeck-Frankenberg,-1.033334732055664,DSf,year,dry_spell_frequency,,7
06636_Werra-Meißner-Kreis,-1.4358577728271484,DSf,year,dry_spell_frequency,,7
07111_Koblenz,-1.1391820907592773,DSf,year,dry_spell_frequency,,7
07131_Ahrweiler,-1.268686294555664,DSf,year,dry_spell_frequency,,7
07132_Altenkirchen (Westerwald),-0.8559360504150391,DSf,year,dry_spell_frequency,,7
07133_Bad Kreuznach,-1.0737571716308594,DSf,year,dry_spell_frequency,,7
07134_Birkenfeld,-1.0476179122924805,DSf,year,dry_spell_frequency,,7
07135_Cochem-Zell,-0.8518819808959961,DSf,year,dry_spell_frequency,,7
07137_Mayen-Koblenz,-1.2230253219604492,DSf,year,dry_spell_frequency,,7
07138_Neuwied,-1.2380619049072266,DSf,year,dry_spell_frequency,,7
