region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05362_Rhein-Erft-Kreis,1.410079002380371,DSf,year,dry_spell_frequency,,7
05366_Euskirchen,1.4543304443359375,DSf,year,dry_spell_frequency,,7
05370_Heinsberg,1.5129928588867188,DSf,year,dry_spell_frequency,,7
05374_Oberbergischer Kreis,1.8522920608520508,DSf,year,dry_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,1.415450096130371,DSf,year,dry_spell_frequency,,7
05382_Rhein-Sieg-Kreis,1.586939811706543,DSf,year,dry_spell_frequency,,7
05512_Bottrop,1.8349294662475586,DSf,year,dry_spell_frequency,,7
05513_Gelsenkirchen,1.742523193359375,DSf,year,dry_spell_frequency,,7
05515_Münster,1.7586755752563477,DSf,year,dry_spell_frequency,,7
05554_Borken,1.715876579284668,DSf,year,dry_spell_frequency,,7
05558_Coesfeld,1.5239553451538086,DSf,year,dry_spell_frequency,,7
05562_Recklinghausen,1.5717172622680664,DSf,year,dry_spell_frequency,,7
05566_Steinfurt,1.4198627471923828,DSf,year,dry_spell_frequency,,7
05570_Warendorf,1.6746444702148438,DSf,year,dry_spell_frequency,,7
05711_Bielefeld,1.8136234283447266,DSf,year,dry_spell_frequency,,7
05754_Gütersloh,1.507298469543457,DSf,year,dry_spell_frequency,,7
05758_Herford,1.4578523635864258,DSf,year,dry_spell_frequency,,7
05762_Höxter,1.7190370559692383,DSf,year,dry_spell_frequency,,7
05766_Lippe,1.7860298156738281,DSf,year,dry_spell_frequency,,7
05770_Minden-Lübbecke,1.5421409606933594,DSf,year,dry_spell_frequency,,7
05774_Paderborn,1.5508451461791992,DSf,year,dry_spell_frequency,,7
05911_Bochum,1.660440444946289,DSf,year,dry_spell_frequency,,7
05913_Dortmund,1.4019250869750977,DSf,year,dry_spell_frequency,,7
05914_Hagen,1.6202096939086914,DSf,year,dry_spell_frequency,,7
05915_Hamm,1.7490406036376953,DSf,year,dry_spell_frequency,,7
05916_Herne,1.7735319137573242,DSf,year,dry_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,1.8114938735961914,DSf,year,dry_spell_frequency,,7
05958_Hochsauerlandkreis,1.5626296997070312,DSf,year,dry_spell_frequency,,7
05962_Märkischer Kreis,1.6437139511108398,DSf,year,dry_spell_frequency,,7
05966_Olpe,1.594919204711914,DSf,year,dry_spell_frequency,,7
05970_Siegen-Wittgenstein,1.2824153900146484,DSf,year,dry_spell_frequency,,7
05974_Soest,1.7754287719726562,DSf,year,dry_spell_frequency,,7
05978_Unna,1.383540153503418,DSf,year,dry_spell_frequency,,7
06411_Darmstadt,1.5543766021728516,DSf,year,dry_spell_frequency,,7
06412_Frankfurt am Main,1.9563512802124023,DSf,year,dry_spell_frequency,,7
06413_Offenbach am Main,1.980271339416504,DSf,year,dry_spell_frequency,,7
06414_Wiesbaden,1.8545951843261719,DSf,year,dry_spell_frequency,,7
06431_Bergstraße,1.8252019882202148,DSf,year,dry_spell_frequency,,7
06432_Darmstadt-Dieburg,1.7191343307495117,DSf,year,dry_spell_frequency,,7
06433_Groß-Gerau,1.9631471633911133,DSf,year,dry_spell_frequency,,7
06434_Hochtaunuskreis,1.400339126586914,DSf,year,dry_spell_frequency,,7
06435_Main-Kinzig-Kreis,1.917954444885254,DSf,year,dry_spell_frequency,,7
06436_Main-Taunus-Kreis,1.5811243057250977,DSf,year,dry_spell_frequency,,7
06437_Odenwaldkreis,1.8694133758544922,DSf,year,dry_spell_frequency,,7
06438_Offenbach,1.5080080032348633,DSf,year,dry_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,1.868821144104004,DSf,year,dry_spell_frequency,,7
06440_Wetteraukreis,1.6643495559692383,DSf,year,dry_spell_frequency,,7
06531_Gießen,1.5534648895263672,DSf,year,dry_spell_frequency,,7
06532_Lahn-Dill-Kreis,1.4871702194213867,DSf,year,dry_spell_frequency,,7
06533_Limburg-Weilburg,1.6932258605957031,DSf,year,dry_spell_frequency,,7
06534_Marburg-Biedenkopf,1.3754043579101562,DSf,year,dry_spell_frequency,,7
06535_Vogelsbergkreis,1.9687881469726562,DSf,year,dry_spell_frequency,,7
06611_Kassel,1.7263927459716797,DSf,year,dry_spell_frequency,,7
06631_Fulda,1.878371238708496,DSf,year,dry_spell_frequency,,7
06632_Hersfeld-Rotenburg,1.6091270446777344,DSf,year,dry_spell_frequency,,7
06633_Kassel,1.550429344177246,DSf,year,dry_spell_frequency,,7
06634_Schwalm-Eder-Kreis,1.4172697067260742,DSf,year,dry_spell_frequency,,7
06635_Waldeck-Frankenberg,1.1920928955078125,DSf,year,dry_spell_frequency,,7
06636_Werra-Meißner-Kreis,1.3805875778198242,DSf,year,dry_spell_frequency,,7
07111_Koblenz,1.4346656799316406,DSf,year,dry_spell_frequency,,7
07131_Ahrweiler,1.442479133605957,DSf,year,dry_spell_frequency,,7
07132_Altenkirchen (Westerwald),1.4292621612548828,DSf,year,dry_spell_frequency,,7
07133_Bad Kreuznach,2.1645050048828125,DSf,year,dry_spell_frequency,,7
07134_Birkenfeld,2.0895872116088867,DSf,year,dry_spell_frequency,,7
07135_Cochem-Zell,1.638838768005371,DSf,year,dry_spell_frequency,,7
07137_Mayen-Koblenz,1.501816749572754,DSf,year,dry_spell_frequency,,7
07138_Neuwied,1.2660980224609375,DSf,year,dry_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,1.7401561737060547,DSf,year,dry_spell_frequency,,7
07141_Rhein-Lahn-Kreis,1.4862728118896484,DSf,year,dry_spell_frequency,,7
07143_Westerwaldkreis,1.5650253295898438,DSf,year,dry_spell_frequency,,7
07211_Trier,1.9758892059326172,DSf,year,dry_spell_frequency,,7
07231_Bernkastel-Wittlich,1.7836894989013672,DSf,year,dry_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,1.7301750183105469,DSf,year,dry_spell_frequency,,7
07233_Vulkaneifel,1.92620849609375,DSf,year,dry_spell_frequency,,7
07235_Trier-Saarburg,1.9226570129394531,DSf,year,dry_spell_frequency,,7
07311_Frankenthal (Pfalz),2.1453609466552734,DSf,year,dry_spell_frequency,,7
07312_Kaiserslautern,2.3245067596435547,DSf,year,dry_spell_frequency,,7
07313_Landau in der Pfalz,2.2966861724853516,DSf,year,dry_spell_frequency,,7
07314_Ludwigshafen am Rhein,1.9208850860595703,DSf,year,dry_spell_frequency,,7
07315_Mainz,1.938929557800293,DSf,year,dry_spell_frequency,,7
07316_Neustadt an der Weinstraße,2.1889333724975586,DSf,year,dry_spell_frequency,,7
07317_Pirmasens,2.379828453063965,DSf,year,dry_spell_frequency,,7
07318_Speyer,2.2277374267578125,DSf,year,dry_spell_frequency,,7
07319_Worms,2.4536914825439453,DSf,year,dry_spell_frequency,,7
07320_Zweibrücken,2.2616405487060547,DSf,year,dry_spell_frequency,,7
07331_Alzey-Worms,2.0405120849609375,DSf,year,dry_spell_frequency,,7
07332_Bad Dürkheim,2.236872673034668,DSf,year,dry_spell_frequency,,7
07333_Donnersbergkreis,2.166921615600586,DSf,year,dry_spell_frequency,,7
07334_Germersheim,1.879007339477539,DSf,year,dry_spell_frequency,,7
07335_Kaiserslautern,2.308197021484375,DSf,year,dry_spell_frequency,,7
07336_Kusel,2.119927406311035,DSf,year,dry_spell_frequency,,7
07337_Südliche Weinstraße,2.18039608001709,DSf,year,dry_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,2.0986099243164062,DSf,year,dry_spell_frequency,,7
07339_Mainz-Bingen,1.934213638305664,DSf,year,dry_spell_frequency,,7
07340_Südwestpfalz,2.30812931060791,DSf,year,dry_spell_frequency,,7
08111_Stuttgart,1.8964595794677734,DSf,year,dry_spell_frequency,,7
08115_Böblingen,2.0421667098999023,DSf,year,dry_spell_frequency,,7
08116_Esslingen,2.142228126525879,DSf,year,dry_spell_frequency,,7
08117_Göppingen,2.22036075592041,DSf,year,dry_spell_frequency,,7
08118_Ludwigsburg,1.823399543762207,DSf,year,dry_spell_frequency,,7
08119_Rems-Murr-Kreis,1.9484214782714844,DSf,year,dry_spell_frequency,,7
08121_Heilbronn,2.0514039993286133,DSf,year,dry_spell_frequency,,7
08125_Heilbronn,2.057063102722168,DSf,year,dry_spell_frequency,,7
08126_Hohenlohekreis,1.7494783401489258,DSf,year,dry_spell_frequency,,7
08127_Schwäbisch Hall,1.663435935974121,DSf,year,dry_spell_frequency,,7
08128_Main-Tauber-Kreis,1.8255224227905273,DSf,year,dry_spell_frequency,,7
08135_Heidenheim,1.851881980895996,DSf,year,dry_spell_frequency,,7
08136_Ostalbkreis,1.7656526565551758,DSf,year,dry_spell_frequency,,7
08211_Baden-Baden,2.0883054733276367,DSf,year,dry_spell_frequency,,7
08212_Karlsruhe,1.8887052536010742,DSf,year,dry_spell_frequency,,7
08215_Karlsruhe,1.9743528366088867,DSf,year,dry_spell_frequency,,7
08216_Rastatt,2.061737060546875,DSf,year,dry_spell_frequency,,7
08221_Heidelberg,1.995452880859375,DSf,year,dry_spell_frequency,,7
08222_Mannheim,1.724503517150879,DSf,year,dry_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,1.6867876052856445,DSf,year,dry_spell_frequency,,7
08226_Rhein-Neckar-Kreis,1.860243797302246,DSf,year,dry_spell_frequency,,7
08231_Pforzheim,2.201016426086426,DSf,year,dry_spell_frequency,,7
08235_Calw,2.121657371520996,DSf,year,dry_spell_frequency,,7
08236_Enzkreis,2.00839900970459,DSf,year,dry_spell_frequency,,7
08237_Freudenstadt,2.0362958908081055,DSf,year,dry_spell_frequency,,7
08311_Freiburg im Breisgau,2.383824348449707,DSf,year,dry_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,2.133458137512207,DSf,year,dry_spell_frequency,,7
08316_Emmendingen,2.0662946701049805,DSf,year,dry_spell_frequency,,7
08317_Ortenaukreis,2.0419397354125977,DSf,year,dry_spell_frequency,,7
08325_Rottweil,2.345829963684082,DSf,year,dry_spell_frequency,,7
