region,DSf_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05334_Städteregion Aachen,0.4060192108154297,DSf,year,dry_spell_frequency,,7
05358_Düren,0.2408914566040039,DSf,year,dry_spell_frequency,,7
05362_Rhein-Erft-Kreis,0.27579593658447266,DSf,year,dry_spell_frequency,,7
05366_Euskirchen,0.3588294982910156,DSf,year,dry_spell_frequency,,7
05370_Heinsberg,0.5133724212646484,DSf,year,dry_spell_frequency,,7
05374_Oberbergischer Kreis,0.4189586639404297,DSf,year,dry_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,0.3582878112792969,DSf,year,dry_spell_frequency,,7
05382_Rhein-Sieg-Kreis,0.3789024353027344,DSf,year,dry_spell_frequency,,7
05512_Bottrop,0.45386600494384766,DSf,year,dry_spell_frequency,,7
05513_Gelsenkirchen,0.42989349365234375,DSf,year,dry_spell_frequency,,7
05515_Münster,0.3171110153198242,DSf,year,dry_spell_frequency,,7
05554_Borken,0.2907752990722656,DSf,year,dry_spell_frequency,,7
05558_Coesfeld,0.3400907516479492,DSf,year,dry_spell_frequency,,7
05562_Recklinghausen,0.4059715270996094,DSf,year,dry_spell_frequency,,7
05566_Steinfurt,0.14866924285888672,DSf,year,dry_spell_frequency,,7
05570_Warendorf,0.31013011932373047,DSf,year,dry_spell_frequency,,7
05711_Bielefeld,0.13918018341064453,DSf,year,dry_spell_frequency,,7
05754_Gütersloh,0.19499969482421875,DSf,year,dry_spell_frequency,,7
05758_Herford,0.2008495330810547,DSf,year,dry_spell_frequency,,7
05762_Höxter,0.06639671325683594,DSf,year,dry_spell_frequency,,7
05766_Lippe,0.19261646270751953,DSf,year,dry_spell_frequency,,7
05770_Minden-Lübbecke,0.22133541107177734,DSf,year,dry_spell_frequency,,7
05774_Paderborn,0.2388930320739746,DSf,year,dry_spell_frequency,,7
05911_Bochum,0.35797786712646484,DSf,year,dry_spell_frequency,,7
05913_Dortmund,0.3540477752685547,DSf,year,dry_spell_frequency,,7
05914_Hagen,0.3029651641845703,DSf,year,dry_spell_frequency,,7
05915_Hamm,0.3337593078613281,DSf,year,dry_spell_frequency,,7
05916_Herne,0.4140911102294922,DSf,year,dry_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,0.4215555191040039,DSf,year,dry_spell_frequency,,7
05958_Hochsauerlandkreis,0.2919178009033203,DSf,year,dry_spell_frequency,,7
05962_Märkischer Kreis,0.4134678840637207,DSf,year,dry_spell_frequency,,7
05966_Olpe,0.40307188034057617,DSf,year,dry_spell_frequency,,7
05970_Siegen-Wittgenstein,0.4120960235595703,DSf,year,dry_spell_frequency,,7
05974_Soest,0.1891031265258789,DSf,year,dry_spell_frequency,,7
05978_Unna,0.33390235900878906,DSf,year,dry_spell_frequency,,7
06411_Darmstadt,0.3599720001220703,DSf,year,dry_spell_frequency,,7
06412_Frankfurt am Main,0.5095748901367188,DSf,year,dry_spell_frequency,,7
06413_Offenbach am Main,0.29306697845458984,DSf,year,dry_spell_frequency,,7
06414_Wiesbaden,0.5173730850219727,DSf,year,dry_spell_frequency,,7
06431_Bergstraße,0.35241031646728516,DSf,year,dry_spell_frequency,,7
06432_Darmstadt-Dieburg,0.2800273895263672,DSf,year,dry_spell_frequency,,7
06433_Groß-Gerau,0.39513587951660156,DSf,year,dry_spell_frequency,,7
06434_Hochtaunuskreis,0.5512495040893555,DSf,year,dry_spell_frequency,,7
06435_Main-Kinzig-Kreis,0.39392948150634766,DSf,year,dry_spell_frequency,,7
06436_Main-Taunus-Kreis,0.5971717834472656,DSf,year,dry_spell_frequency,,7
06437_Odenwaldkreis,0.3654041290283203,DSf,year,dry_spell_frequency,,7
06438_Offenbach,0.3240165710449219,DSf,year,dry_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,0.6026058197021484,DSf,year,dry_spell_frequency,,7
06440_Wetteraukreis,0.310516357421875,DSf,year,dry_spell_frequency,,7
06531_Gießen,0.2514457702636719,DSf,year,dry_spell_frequency,,7
06532_Lahn-Dill-Kreis,0.37791919708251953,DSf,year,dry_spell_frequency,,7
06533_Limburg-Weilburg,0.29570960998535156,DSf,year,dry_spell_frequency,,7
06534_Marburg-Biedenkopf,0.25834083557128906,DSf,year,dry_spell_frequency,,7
06535_Vogelsbergkreis,0.3236808776855469,DSf,year,dry_spell_frequency,,7
06611_Kassel,0.09322643280029297,DSf,year,dry_spell_frequency,,7
06631_Fulda,0.27453041076660156,DSf,year,dry_spell_frequency,,7
06632_Hersfeld-Rotenburg,0.3198738098144531,DSf,year,dry_spell_frequency,,7
06633_Kassel,0.13643836975097656,DSf,year,dry_spell_frequency,,7
06634_Schwalm-Eder-Kreis,0.3217620849609375,DSf,year,dry_spell_frequency,,7
06635_Waldeck-Frankenberg,0.3708963394165039,DSf,year,dry_spell_frequency,,7
06636_Werra-Meißner-Kreis,0.14362716674804688,DSf,year,dry_spell_frequency,,7
07111_Koblenz,0.3694486618041992,DSf,year,dry_spell_frequency,,7
07131_Ahrweiler,0.3398017883300781,DSf,year,dry_spell_frequency,,7
07132_Altenkirchen (Westerwald),0.36864471435546875,DSf,year,dry_spell_frequency,,7
07133_Bad Kreuznach,0.3851909637451172,DSf,year,dry_spell_frequency,,7
07134_Birkenfeld,0.7267427444458008,DSf,year,dry_spell_frequency,,7
07135_Cochem-Zell,0.62091064453125,DSf,year,dry_spell_frequency,,7
07137_Mayen-Koblenz,0.5151596069335938,DSf,year,dry_spell_frequency,,7
07138_Neuwied,0.3686075210571289,DSf,year,dry_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,0.6263628005981445,DSf,year,dry_spell_frequency,,7
07141_Rhein-Lahn-Kreis,0.48770904541015625,DSf,year,dry_spell_frequency,,7
07143_Westerwaldkreis,0.42330074310302734,DSf,year,dry_spell_frequency,,7
07211_Trier,0.6329126358032227,DSf,year,dry_spell_frequency,,7
07231_Bernkastel-Wittlich,0.713810920715332,DSf,year,dry_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,0.6438522338867188,DSf,year,dry_spell_frequency,,7
07233_Vulkaneifel,0.6926975250244141,DSf,year,dry_spell_frequency,,7
07235_Trier-Saarburg,0.752197265625,DSf,year,dry_spell_frequency,,7
07311_Frankenthal (Pfalz),0.3346290588378906,DSf,year,dry_spell_frequency,,7
07312_Kaiserslautern,0.7339057922363281,DSf,year,dry_spell_frequency,,7
07313_Landau in der Pfalz,0.6634197235107422,DSf,year,dry_spell_frequency,,7
07314_Ludwigshafen am Rhein,0.3029766082763672,DSf,year,dry_spell_frequency,,7
07315_Mainz,0.5306873321533203,DSf,year,dry_spell_frequency,,7
07316_Neustadt an der Weinstraße,0.4089527130126953,DSf,year,dry_spell_frequency,,7
07317_Pirmasens,0.7429685592651367,DSf,year,dry_spell_frequency,,7
07318_Speyer,0.37777137756347656,DSf,year,dry_spell_frequency,,7
07319_Worms,0.46663761138916016,DSf,year,dry_spell_frequency,,7
07320_Zweibrücken,0.6153621673583984,DSf,year,dry_spell_frequency,,7
07331_Alzey-Worms,0.29541015625,DSf,year,dry_spell_frequency,,7
07332_Bad Dürkheim,0.4725685119628906,DSf,year,dry_spell_frequency,,7
07333_Donnersbergkreis,0.6235322952270508,DSf,year,dry_spell_frequency,,7
07334_Germersheim,0.44512462615966797,DSf,year,dry_spell_frequency,,7
07335_Kaiserslautern,0.6570911407470703,DSf,year,dry_spell_frequency,,7
07336_Kusel,0.6371736526489258,DSf,year,dry_spell_frequency,,7
07337_Südliche Weinstraße,0.5022411346435547,DSf,year,dry_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,0.28103160858154297,DSf,year,dry_spell_frequency,,7
07339_Mainz-Bingen,0.3345680236816406,DSf,year,dry_spell_frequency,,7
07340_Südwestpfalz,0.6985626220703125,DSf,year,dry_spell_frequency,,7
08111_Stuttgart,0.3359842300415039,DSf,year,dry_spell_frequency,,7
08115_Böblingen,0.24270248413085938,DSf,year,dry_spell_frequency,,7
08116_Esslingen,0.20456314086914062,DSf,year,dry_spell_frequency,,7
08117_Göppingen,0.2606620788574219,DSf,year,dry_spell_frequency,,7
08118_Ludwigsburg,0.3435964584350586,DSf,year,dry_spell_frequency,,7
08119_Rems-Murr-Kreis,0.43474340438842773,DSf,year,dry_spell_frequency,,7
08121_Heilbronn,0.4366607666015625,DSf,year,dry_spell_frequency,,7
08125_Heilbronn,0.4226846694946289,DSf,year,dry_spell_frequency,,7
08126_Hohenlohekreis,0.39277172088623047,DSf,year,dry_spell_frequency,,7
08127_Schwäbisch Hall,0.3962745666503906,DSf,year,dry_spell_frequency,,7
08128_Main-Tauber-Kreis,0.2543621063232422,DSf,year,dry_spell_frequency,,7
08135_Heidenheim,0.24184894561767578,DSf,year,dry_spell_frequency,,7
08136_Ostalbkreis,0.4343576431274414,DSf,year,dry_spell_frequency,,7
08211_Baden-Baden,0.4864673614501953,DSf,year,dry_spell_frequency,,7
08212_Karlsruhe,0.3896799087524414,DSf,year,dry_spell_frequency,,7
08215_Karlsruhe,0.37485790252685547,DSf,year,dry_spell_frequency,,7
08216_Rastatt,0.5642509460449219,DSf,year,dry_spell_frequency,,7
08221_Heidelberg,0.514765739440918,DSf,year,dry_spell_frequency,,7
08222_Mannheim,0.27663707733154297,DSf,year,dry_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,0.35269641876220703,DSf,year,dry_spell_frequency,,7
08226_Rhein-Neckar-Kreis,0.4098014831542969,DSf,year,dry_spell_frequency,,7
08231_Pforzheim,0.3879880905151367,DSf,year,dry_spell_frequency,,7
08235_Calw,0.3876476287841797,DSf,year,dry_spell_frequency,,7
08236_Enzkreis,0.34620189666748047,DSf,year,dry_spell_frequency,,7
08237_Freudenstadt,0.6470432281494141,DSf,year,dry_spell_frequency,,7
08311_Freiburg im Breisgau,0.5157546997070312,DSf,year,dry_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,0.6581621170043945,DSf,year,dry_spell_frequency,,7
08316_Emmendingen,0.6005134582519531,DSf,year,dry_spell_frequency,,7
08317_Ortenaukreis,0.6111316680908203,DSf,year,dry_spell_frequency,,7
08325_Rottweil,0.45089054107666016,DSf,year,dry_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,0.4197225570678711,DSf,year,dry_spell_frequency,,7
08327_Tuttlingen,0.4239683151245117,DSf,year,dry_spell_frequency,,7
08335_Konstanz,0.28238677978515625,DSf,year,dry_spell_frequency,,7
08336_Lörrach,0.7699089050292969,DSf,year,dry_spell_frequency,,7
08337_Waldshut,0.5286102294921875,DSf,year,dry_spell_frequency,,7
08415_Reutlingen,0.4023122787475586,DSf,year,dry_spell_frequency,,7
08416_Tübingen,0.1618795394897461,DSf,year,dry_spell_frequency,,7
08417_Zollernalbkreis,0.4015464782714844,DSf,year,dry_spell_frequency,,7
08421_Ulm,0.14321136474609375,DSf,year,dry_spell_frequency,,7
08425_Alb-Donau-Kreis,0.26961421966552734,DSf,year,dry_spell_frequency,,7
08426_Biberach,0.32163238525390625,DSf,year,dry_spell_frequency,,7
08435_Bodenseekreis,0.2793588638305664,DSf,year,dry_spell_frequency,,7
08436_Ravensburg,0.4269390106201172,DSf,year,dry_spell_frequency,,7
08437_Sigmaringen,0.3272590637207031,DSf,year,dry_spell_frequency,,7
09161_Ingolstadt,0.07077217102050781,DSf,year,dry_spell_frequency,,7
09162_München,0.035262107849121094,DSf,year,dry_spell_frequency,,7
09163_Rosenheim,-0.0358428955078125,DSf,year,dry_spell_frequency,,7
09171_Altötting,0.002170562744140625,DSf,year,dry_spell_frequency,,7
09172_Berchtesgadener Land,0.021846294403076172,DSf,year,dry_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,0.23809432983398438,DSf,year,dry_spell_frequency,,7
09174_Dachau,0.09744930267333984,DSf,year,dry_spell_frequency,,7
09175_Ebersberg,0.12099742889404297,DSf,year,dry_spell_frequency,,7
09176_Eichstätt,0.13690471649169922,DSf,year,dry_spell_frequency,,7
09177_Erding,0.17748069763183594,DSf,year,dry_spell_frequency,,7
09178_Freising,0.1898517608642578,DSf,year,dry_spell_frequency,,7
09179_Fürstenfeldbruck,0.08877372741699219,DSf,year,dry_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.05539512634277344,DSf,year,dry_spell_frequency,,7
09181_Landsberg am Lech,0.2629995346069336,DSf,year,dry_spell_frequency,,7
09182_Miesbach,0.28240013122558594,DSf,year,dry_spell_frequency,,7
09183_Mühldorf a. Inn,0.05340862274169922,DSf,year,dry_spell_frequency,,7
09184_München,0.23856353759765625,DSf,year,dry_spell_frequency,,7
09185_Neuburg-Schrobenhausen,0.09704971313476562,DSf,year,dry_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,0.19846057891845703,DSf,year,dry_spell_frequency,,7
09187_Rosenheim,0.02850627899169922,DSf,year,dry_spell_frequency,,7
09188_Starnberg,0.2714118957519531,DSf,year,dry_spell_frequency,,7
09189_Traunstein,0.16096782684326172,DSf,year,dry_spell_frequency,,7
09190_Weilheim-Schongau,0.04035758972167969,DSf,year,dry_spell_frequency,,7
09261_Landshut,-0.00025463104248046875,DSf,year,dry_spell_frequency,,7
09262_Passau,0.050930023193359375,DSf,year,dry_spell_frequency,,7
09263_Straubing,-0.09550189971923828,DSf,year,dry_spell_frequency,,7
09271_Deggendorf,-0.09042739868164062,DSf,year,dry_spell_frequency,,7
09272_Freyung-Grafenau,-0.0037441253662109375,DSf,year,dry_spell_frequency,,7
09273_Kelheim,0.059600830078125,DSf,year,dry_spell_frequency,,7
09274_Landshut,0.05733299255371094,DSf,year,dry_spell_frequency,,7
09275_Passau,0.042560577392578125,DSf,year,dry_spell_frequency,,7
09276_Regen,0.16446304321289062,DSf,year,dry_spell_frequency,,7
09277_Rottal-Inn,0.023935317993164062,DSf,year,dry_spell_frequency,,7
09278_Straubing-Bogen,-0.0875692367553711,DSf,year,dry_spell_frequency,,7
09279_Dingolfing-Landau,-0.05507946014404297,DSf,year,dry_spell_frequency,,7
09361_Amberg,0.027368545532226562,DSf,year,dry_spell_frequency,,7
09362_Regensburg,-0.03722095489501953,DSf,year,dry_spell_frequency,,7
09363_Weiden i.d. OPf.,-0.014893531799316406,DSf,year,dry_spell_frequency,,7
09371_Amberg-Sulzbach,0.15461063385009766,DSf,year,dry_spell_frequency,,7
09372_Cham,0.044251441955566406,DSf,year,dry_spell_frequency,,7
09373_Neumarkt i.d. OPf.,0.07358264923095703,DSf,year,dry_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,0.12457275390625,DSf,year,dry_spell_frequency,,7
09375_Regensburg,0.0029506683349609375,DSf,year,dry_spell_frequency,,7
09376_Schwandorf,0.03143787384033203,DSf,year,dry_spell_frequency,,7
09377_Tirschenreuth,0.22726917266845703,DSf,year,dry_spell_frequency,,7
09461_Bamberg,0.17966461181640625,DSf,year,dry_spell_frequency,,7
09462_Bayreuth,0.15680408477783203,DSf,year,dry_spell_frequency,,7
09463_Coburg,0.25298404693603516,DSf,year,dry_spell_frequency,,7
09464_Hof,-0.020845413208007812,DSf,year,dry_spell_frequency,,7
09471_Bamberg,0.16440582275390625,DSf,year,dry_spell_frequency,,7
09472_Bayreuth,0.2672080993652344,DSf,year,dry_spell_frequency,,7
09473_Coburg,0.22783946990966797,DSf,year,dry_spell_frequency,,7
09474_Forchheim,0.2472219467163086,DSf,year,dry_spell_frequency,,7
09475_Hof,0.12298870086669922,DSf,year,dry_spell_frequency,,7
09476_Kronach,0.38913822174072266,DSf,year,dry_spell_frequency,,7
09477_Kulmbach,0.222991943359375,DSf,year,dry_spell_frequency,,7
09478_Lichtenfels,0.2561807632446289,DSf,year,dry_spell_frequency,,7
09479_Wunsiedel i. Fichtelgebirge,0.057562828063964844,DSf,year,dry_spell_frequency,,7
09561_Ansbach,0.21321773529052734,DSf,year,dry_spell_frequency,,7
09562_Erlangen,0.11326408386230469,DSf,year,dry_spell_frequency,,7
09563_Fürth,0.10497760772705078,DSf,year,dry_spell_frequency,,7
09564_Nürnberg,-0.008815765380859375,DSf,year,dry_spell_frequency,,7
09565_Schwabach,0.036388397216796875,DSf,year,dry_spell_frequency,,7
09571_Ansbach,0.2824554443359375,DSf,year,dry_spell_frequency,,7
09572_Erlangen-Höchstadt,0.1334991455078125,DSf,year,dry_spell_frequency,,7
09573_Fürth,0.13988399505615234,DSf,year,dry_spell_frequency,,7
09574_Nürnberger Land,0.23300457000732422,DSf,year,dry_spell_frequency,,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.20160293579101562,DSf,year,dry_spell_frequency,,7
09576_Roth,0.07732391357421875,DSf,year,dry_spell_frequency,,7
09577_Weißenburg-Gunzenhausen,0.17350006103515625,DSf,year,dry_spell_frequency,,7
09661_Aschaffenburg,0.41944408416748047,DSf,year,dry_spell_frequency,,7
09662_Schweinfurt,0.13059043884277344,DSf,year,dry_spell_frequency,,7
09663_Würzburg,0.2397470474243164,DSf,year,dry_spell_frequency,,7
09671_Aschaffenburg,0.45004940032958984,DSf,year,dry_spell_frequency,,7
09672_Bad Kissingen,0.3456287384033203,DSf,year,dry_spell_frequency,,7
09673_Rhön-Grabfeld,0.33704280853271484,DSf,year,dry_spell_frequency,,7
09674_Haßberge,0.10523223876953125,DSf,year,dry_spell_frequency,,7
09675_Kitzingen,0.12633037567138672,DSf,year,dry_spell_frequency,,7
09676_Miltenberg,0.2967386245727539,DSf,year,dry_spell_frequency,,7
09677_Main-Spessart,0.3347663879394531,DSf,year,dry_spell_frequency,,7
09678_Schweinfurt,0.08741378784179688,DSf,year,dry_spell_frequency,,7
09679_Würzburg,0.23349285125732422,DSf,year,dry_spell_frequency,,7
09761_Augsburg,0.15586376190185547,DSf,year,dry_spell_frequency,,7
09762_Kaufbeuren,0.29204750061035156,DSf,year,dry_spell_frequency,,7
09763_Kempten (Allgäu),0.4694051742553711,DSf,year,dry_spell_frequency,,7
09764_Memmingen,0.40928173065185547,DSf,year,dry_spell_frequency,,7
09771_Aichach-Friedberg,0.08506298065185547,DSf,year,dry_spell_frequency,,7
09772_Augsburg,0.1149587631225586,DSf,year,dry_spell_frequency,,7
09773_Dillingen a.d. Donau,0.25052547454833984,DSf,year,dry_spell_frequency,,7
09774_Günzburg,0.08772087097167969,DSf,year,dry_spell_frequency,,7
09775_Neu-Ulm,0.07853317260742188,DSf,year,dry_spell_frequency,,7
09776_Lindau (Bodensee),0.39750194549560547,DSf,year,dry_spell_frequency,,7
09777_Ostallgäu,0.1880359649658203,DSf,year,dry_spell_frequency,,7
09778_Unterallgäu,0.38848161697387695,DSf,year,dry_spell_frequency,,7
09779_Donau-Ries,0.16962051391601562,DSf,year,dry_spell_frequency,,7
09780_Oberallgäu,0.371551513671875,DSf,year,dry_spell_frequency,,7
10041_Regionalverband Saarbrücken,0.7166013717651367,DSf,year,dry_spell_frequency,,7
10042_Merzig-Wadern,0.7964239120483398,DSf,year,dry_spell_frequency,,7
10043_Neunkirchen,0.6869478225708008,DSf,year,dry_spell_frequency,,7
10044_Saarlouis,0.7552385330200195,DSf,year,dry_spell_frequency,,7
10045_Saarpfalz-Kreis,0.7124490737915039,DSf,year,dry_spell_frequency,,7
