region,DSf_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-1.3026618957519531,DSf,year,dry_spell_frequency,,7
01002_Kiel,-1.567941665649414,DSf,year,dry_spell_frequency,,7
01003_Lübeck,-1.6020402908325195,DSf,year,dry_spell_frequency,,7
01004_Neumünster,-1.7705283164978027,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,-1.516493797302246,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,-1.7040338516235352,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,-1.7802228927612305,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,-1.346832275390625,DSf,year,dry_spell_frequency,,7
01057_Plön,-1.2212467193603516,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,-1.556471824645996,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,-1.390294075012207,DSf,year,dry_spell_frequency,,7
01060_Segeberg,-1.430128574371338,DSf,year,dry_spell_frequency,,7
01061_Steinburg,-1.4803800582885742,DSf,year,dry_spell_frequency,,7
01062_Stormarn,-1.4765591621398926,DSf,year,dry_spell_frequency,,7
02000_Hamburg,-1.515711784362793,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,-1.8061885833740234,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,-1.7057018280029297,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,-1.541855812072754,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,-1.503997802734375,DSf,year,dry_spell_frequency,,7
03159_Göttingen,-1.426504135131836,DSf,year,dry_spell_frequency,,7
03153_Goslar,-1.2394380569458008,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,-1.6085700988769531,DSf,year,dry_spell_frequency,,7
03155_Northeim,-1.5885944366455078,DSf,year,dry_spell_frequency,,7
03157_Peine,-1.775540828704834,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-1.7675790786743164,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,-1.732332706451416,DSf,year,dry_spell_frequency,,7
03251_Diepholz,-1.376269817352295,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,-1.6963920593261719,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,-1.6601438522338867,DSf,year,dry_spell_frequency,,7
03255_Holzminden,-1.669942855834961,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,-1.6429953575134277,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),-1.6651029586791992,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,-1.7618532180786133,DSf,year,dry_spell_frequency,,7
03351_Celle,-1.720911979675293,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,-1.3674407005310059,DSf,year,dry_spell_frequency,,7
03353_Harburg,-1.6980648040771484,DSf,year,dry_spell_frequency,,7
