region,DSf_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-1.1688451766967773,DSf,year,dry_spell_frequency,,7
01002_Kiel,-1.273360252380371,DSf,year,dry_spell_frequency,,7
01003_Lübeck,-1.7171268463134766,DSf,year,dry_spell_frequency,,7
01004_Neumünster,-1.3590707778930664,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,-1.4643259048461914,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,-1.6297855377197266,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,-1.4631128311157227,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,-1.5161504745483398,DSf,year,dry_spell_frequency,,7
01057_Plön,-1.2295846939086914,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,-1.4145355224609375,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,-1.4929676055908203,DSf,year,dry_spell_frequency,,7
01060_Segeberg,-1.5162076950073242,DSf,year,dry_spell_frequency,,7
01061_Steinburg,-1.4543819427490234,DSf,year,dry_spell_frequency,,7
01062_Stormarn,-1.5490808486938477,DSf,year,dry_spell_frequency,,7
02000_Hamburg,-1.573770523071289,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,-2.640194892883301,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,-2.5570125579833984,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,-2.3862133026123047,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,-1.9042415618896484,DSf,year,dry_spell_frequency,,7
03159_Göttingen,-2.182346820831299,DSf,year,dry_spell_frequency,,7
03153_Goslar,-1.7924718856811523,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,-2.4088754653930664,DSf,year,dry_spell_frequency,,7
03155_Northeim,-2.1572933197021484,DSf,year,dry_spell_frequency,,7
03157_Peine,-2.422055244445801,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-2.472567558288574,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,-2.165839195251465,DSf,year,dry_spell_frequency,,7
