region,DSf_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,1.5320310592651367,DSf,year,dry_spell_frequency,,7
01002_Kiel,1.9695100784301758,DSf,year,dry_spell_frequency,,7
01003_Lübeck,1.3355159759521484,DSf,year,dry_spell_frequency,,7
01004_Neumünster,1.3519525527954102,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,1.4391956329345703,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,1.2896966934204102,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,1.2931480407714844,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,1.3391227722167969,DSf,year,dry_spell_frequency,,7
01057_Plön,1.2257499694824219,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,1.5062837600708008,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,1.6505250930786133,DSf,year,dry_spell_frequency,,7
01060_Segeberg,1.3808708190917969,DSf,year,dry_spell_frequency,,7
01061_Steinburg,1.5508413314819336,DSf,year,dry_spell_frequency,,7
01062_Stormarn,1.4625606536865234,DSf,year,dry_spell_frequency,,7
02000_Hamburg,1.3725614547729492,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,1.3083715438842773,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,1.079798698425293,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,1.4152164459228516,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,1.2989873886108398,DSf,year,dry_spell_frequency,,7
03159_Göttingen,1.2399730682373047,DSf,year,dry_spell_frequency,,7
03153_Goslar,1.3819026947021484,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,1.3572702407836914,DSf,year,dry_spell_frequency,,7
03155_Northeim,1.461604118347168,DSf,year,dry_spell_frequency,,7
03157_Peine,1.2437210083007812,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,1.1775951385498047,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,1.2244453430175781,DSf,year,dry_spell_frequency,,7
03251_Diepholz,1.557342529296875,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,1.6181135177612305,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,1.5857000350952148,DSf,year,dry_spell_frequency,,7
03255_Holzminden,1.793619155883789,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,1.1259641647338867,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),1.33819580078125,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,1.5677108764648438,DSf,year,dry_spell_frequency,,7
03351_Celle,1.2926912307739258,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,1.447549819946289,DSf,year,dry_spell_frequency,,7
03353_Harburg,1.5240964889526367,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,1.9141874313354492,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,1.3554458618164062,DSf,year,dry_spell_frequency,,7
03356_Osterholz,1.6437406539916992,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),1.673029899597168,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,1.4505653381347656,DSf,year,dry_spell_frequency,,7
03359_Stade,1.3460149765014648,DSf,year,dry_spell_frequency,,7
03360_Uelzen,1.3857707977294922,DSf,year,dry_spell_frequency,,7
03361_Verden,1.5043392181396484,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,1.8224077224731445,DSf,year,dry_spell_frequency,,7
03402_Emden,1.8959474563598633,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),1.4296388626098633,DSf,year,dry_spell_frequency,,7
