region,DSf_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.00299835205078125,DSf,year,dry_spell_frequency,,7
01002_Kiel,-0.1291799545288086,DSf,year,dry_spell_frequency,,7
01003_Lübeck,-0.11127376556396484,DSf,year,dry_spell_frequency,,7
01004_Neumünster,-0.26357173919677734,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,-0.045269012451171875,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,-0.26871776580810547,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,-0.1065378189086914,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,-0.08194923400878906,DSf,year,dry_spell_frequency,,7
01057_Plön,-0.13387775421142578,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,-0.08273124694824219,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,-0.019725799560546875,DSf,year,dry_spell_frequency,,7
01060_Segeberg,-0.21189022064208984,DSf,year,dry_spell_frequency,,7
01061_Steinburg,-0.2417469024658203,DSf,year,dry_spell_frequency,,7
01062_Stormarn,-0.1566181182861328,DSf,year,dry_spell_frequency,,7
02000_Hamburg,-0.27753353118896484,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,-0.4060840606689453,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,-0.5328264236450195,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,-0.34734535217285156,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,-0.23543262481689453,DSf,year,dry_spell_frequency,,7
03159_Göttingen,-0.2830343246459961,DSf,year,dry_spell_frequency,,7
03153_Goslar,-0.27700328826904297,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,-0.4420003890991211,DSf,year,dry_spell_frequency,,7
03155_Northeim,-0.3035774230957031,DSf,year,dry_spell_frequency,,7
03157_Peine,-0.407440185546875,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,-0.54730224609375,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,-0.27285099029541016,DSf,year,dry_spell_frequency,,7
03251_Diepholz,-0.18446731567382812,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,-0.2888212203979492,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,-0.3170480728149414,DSf,year,dry_spell_frequency,,7
03255_Holzminden,-0.21190214157104492,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,-0.2241344451904297,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),-0.23459815979003906,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,-0.20038127899169922,DSf,year,dry_spell_frequency,,7
03351_Celle,-0.27710914611816406,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,-0.24479103088378906,DSf,year,dry_spell_frequency,,7
03353_Harburg,-0.2757425308227539,DSf,year,dry_spell_frequency,,7
