region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05358_Düren,0.3393211364746094,DSf,year,dry_spell_frequency,,7
05362_Rhein-Erft-Kreis,0.2659425735473633,DSf,year,dry_spell_frequency,,7
05366_Euskirchen,0.26781463623046875,DSf,year,dry_spell_frequency,,7
05370_Heinsberg,0.30463218688964844,DSf,year,dry_spell_frequency,,7
05374_Oberbergischer Kreis,0.2957344055175781,DSf,year,dry_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,0.2674894332885742,DSf,year,dry_spell_frequency,,7
05382_Rhein-Sieg-Kreis,0.21146678924560547,DSf,year,dry_spell_frequency,,7
05512_Bottrop,0.27289295196533203,DSf,year,dry_spell_frequency,,7
05513_Gelsenkirchen,0.21916961669921875,DSf,year,dry_spell_frequency,,7
05515_Münster,0.19992542266845703,DSf,year,dry_spell_frequency,,7
05554_Borken,0.2745504379272461,DSf,year,dry_spell_frequency,,7
05558_Coesfeld,0.22844219207763672,DSf,year,dry_spell_frequency,,7
05562_Recklinghausen,0.27777576446533203,DSf,year,dry_spell_frequency,,7
05566_Steinfurt,0.11525630950927734,DSf,year,dry_spell_frequency,,7
05570_Warendorf,0.12483596801757812,DSf,year,dry_spell_frequency,,7
05711_Bielefeld,0.1207122802734375,DSf,year,dry_spell_frequency,,7
05754_Gütersloh,0.11211299896240234,DSf,year,dry_spell_frequency,,7
05758_Herford,0.17693138122558594,DSf,year,dry_spell_frequency,,7
05762_Höxter,0.2115192413330078,DSf,year,dry_spell_frequency,,7
05766_Lippe,0.08132266998291016,DSf,year,dry_spell_frequency,,7
05770_Minden-Lübbecke,0.16086673736572266,DSf,year,dry_spell_frequency,,7
05774_Paderborn,0.202850341796875,DSf,year,dry_spell_frequency,,7
05911_Bochum,0.2485513687133789,DSf,year,dry_spell_frequency,,7
05913_Dortmund,0.2299823760986328,DSf,year,dry_spell_frequency,,7
05914_Hagen,0.2583141326904297,DSf,year,dry_spell_frequency,,7
05915_Hamm,0.19460201263427734,DSf,year,dry_spell_frequency,,7
05916_Herne,0.28105640411376953,DSf,year,dry_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,0.2586798667907715,DSf,year,dry_spell_frequency,,7
05958_Hochsauerlandkreis,0.29294681549072266,DSf,year,dry_spell_frequency,,7
05962_Märkischer Kreis,0.24500751495361328,DSf,year,dry_spell_frequency,,7
05966_Olpe,0.28287506103515625,DSf,year,dry_spell_frequency,,7
05970_Siegen-Wittgenstein,0.264404296875,DSf,year,dry_spell_frequency,,7
05974_Soest,0.22748470306396484,DSf,year,dry_spell_frequency,,7
05978_Unna,0.21443748474121094,DSf,year,dry_spell_frequency,,7
06411_Darmstadt,0.2638978958129883,DSf,year,dry_spell_frequency,,7
06412_Frankfurt am Main,0.2290496826171875,DSf,year,dry_spell_frequency,,7
06413_Offenbach am Main,0.08673477172851562,DSf,year,dry_spell_frequency,,7
06414_Wiesbaden,0.27958106994628906,DSf,year,dry_spell_frequency,,7
06431_Bergstraße,0.2948179244995117,DSf,year,dry_spell_frequency,,7
06432_Darmstadt-Dieburg,0.28829288482666016,DSf,year,dry_spell_frequency,,7
06433_Groß-Gerau,0.17754364013671875,DSf,year,dry_spell_frequency,,7
06434_Hochtaunuskreis,0.19632720947265625,DSf,year,dry_spell_frequency,,7
06435_Main-Kinzig-Kreis,0.22098636627197266,DSf,year,dry_spell_frequency,,7
06436_Main-Taunus-Kreis,0.2986469268798828,DSf,year,dry_spell_frequency,,7
06437_Odenwaldkreis,0.33570003509521484,DSf,year,dry_spell_frequency,,7
06438_Offenbach,0.21042823791503906,DSf,year,dry_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,0.17818832397460938,DSf,year,dry_spell_frequency,,7
06440_Wetteraukreis,0.12613773345947266,DSf,year,dry_spell_frequency,,7
06531_Gießen,0.24557209014892578,DSf,year,dry_spell_frequency,,7
06532_Lahn-Dill-Kreis,0.2185382843017578,DSf,year,dry_spell_frequency,,7
06533_Limburg-Weilburg,0.11148929595947266,DSf,year,dry_spell_frequency,,7
06534_Marburg-Biedenkopf,0.1613454818725586,DSf,year,dry_spell_frequency,,7
06535_Vogelsbergkreis,0.2129964828491211,DSf,year,dry_spell_frequency,,7
06611_Kassel,0.06558609008789062,DSf,year,dry_spell_frequency,,7
06631_Fulda,0.2733650207519531,DSf,year,dry_spell_frequency,,7
06632_Hersfeld-Rotenburg,0.09147071838378906,DSf,year,dry_spell_frequency,,7
06633_Kassel,0.17325496673583984,DSf,year,dry_spell_frequency,,7
06634_Schwalm-Eder-Kreis,0.1279582977294922,DSf,year,dry_spell_frequency,,7
06635_Waldeck-Frankenberg,0.2289285659790039,DSf,year,dry_spell_frequency,,7
06636_Werra-Meißner-Kreis,0.16132354736328125,DSf,year,dry_spell_frequency,,7
07111_Koblenz,0.20543289184570312,DSf,year,dry_spell_frequency,,7
07131_Ahrweiler,0.2907295227050781,DSf,year,dry_spell_frequency,,7
07132_Altenkirchen (Westerwald),0.21515464782714844,DSf,year,dry_spell_frequency,,7
07133_Bad Kreuznach,0.16205310821533203,DSf,year,dry_spell_frequency,,7
07134_Birkenfeld,0.3705768585205078,DSf,year,dry_spell_frequency,,7
07135_Cochem-Zell,0.3070516586303711,DSf,year,dry_spell_frequency,,7
07137_Mayen-Koblenz,0.30173778533935547,DSf,year,dry_spell_frequency,,7
07138_Neuwied,0.18982791900634766,DSf,year,dry_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,0.3313140869140625,DSf,year,dry_spell_frequency,,7
07141_Rhein-Lahn-Kreis,0.2626218795776367,DSf,year,dry_spell_frequency,,7
07143_Westerwaldkreis,0.23395824432373047,DSf,year,dry_spell_frequency,,7
07211_Trier,0.3990182876586914,DSf,year,dry_spell_frequency,,7
07231_Bernkastel-Wittlich,0.3061399459838867,DSf,year,dry_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,0.3979959487915039,DSf,year,dry_spell_frequency,,7
07233_Vulkaneifel,0.33275699615478516,DSf,year,dry_spell_frequency,,7
07235_Trier-Saarburg,0.38887882232666016,DSf,year,dry_spell_frequency,,7
07311_Frankenthal (Pfalz),0.1357898712158203,DSf,year,dry_spell_frequency,,7
07312_Kaiserslautern,0.31841373443603516,DSf,year,dry_spell_frequency,,7
07313_Landau in der Pfalz,0.28171348571777344,DSf,year,dry_spell_frequency,,7
07314_Ludwigshafen am Rhein,0.14532184600830078,DSf,year,dry_spell_frequency,,7
07315_Mainz,0.35405731201171875,DSf,year,dry_spell_frequency,,7
07316_Neustadt an der Weinstraße,0.2701234817504883,DSf,year,dry_spell_frequency,,7
07317_Pirmasens,0.3788108825683594,DSf,year,dry_spell_frequency,,7
07318_Speyer,0.1962900161743164,DSf,year,dry_spell_frequency,,7
07319_Worms,0.28015708923339844,DSf,year,dry_spell_frequency,,7
07320_Zweibrücken,0.37943077087402344,DSf,year,dry_spell_frequency,,7
07331_Alzey-Worms,0.16624164581298828,DSf,year,dry_spell_frequency,,7
07332_Bad Dürkheim,0.3042163848876953,DSf,year,dry_spell_frequency,,7
07333_Donnersbergkreis,0.2069377899169922,DSf,year,dry_spell_frequency,,7
07334_Germersheim,0.18759918212890625,DSf,year,dry_spell_frequency,,7
07335_Kaiserslautern,0.33332061767578125,DSf,year,dry_spell_frequency,,7
07336_Kusel,0.2859649658203125,DSf,year,dry_spell_frequency,,7
07337_Südliche Weinstraße,0.30271148681640625,DSf,year,dry_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,0.18608570098876953,DSf,year,dry_spell_frequency,,7
07339_Mainz-Bingen,0.14871978759765625,DSf,year,dry_spell_frequency,,7
07340_Südwestpfalz,0.32859039306640625,DSf,year,dry_spell_frequency,,7
08111_Stuttgart,0.13029098510742188,DSf,year,dry_spell_frequency,,7
08115_Böblingen,0.24566078186035156,DSf,year,dry_spell_frequency,,7
08116_Esslingen,0.20218372344970703,DSf,year,dry_spell_frequency,,7
08117_Göppingen,0.2017364501953125,DSf,year,dry_spell_frequency,,7
08118_Ludwigsburg,0.1848897933959961,DSf,year,dry_spell_frequency,,7
08119_Rems-Murr-Kreis,0.2806587219238281,DSf,year,dry_spell_frequency,,7
08121_Heilbronn,0.24649715423583984,DSf,year,dry_spell_frequency,,7
08125_Heilbronn,0.2732229232788086,DSf,year,dry_spell_frequency,,7
08126_Hohenlohekreis,0.21306133270263672,DSf,year,dry_spell_frequency,,7
08127_Schwäbisch Hall,0.2944459915161133,DSf,year,dry_spell_frequency,,7
08128_Main-Tauber-Kreis,0.09604835510253906,DSf,year,dry_spell_frequency,,7
08135_Heidenheim,0.14788246154785156,DSf,year,dry_spell_frequency,,7
08136_Ostalbkreis,0.28695201873779297,DSf,year,dry_spell_frequency,,7
08211_Baden-Baden,0.22643470764160156,DSf,year,dry_spell_frequency,,7
08212_Karlsruhe,0.20901012420654297,DSf,year,dry_spell_frequency,,7
08215_Karlsruhe,0.33139801025390625,DSf,year,dry_spell_frequency,,7
08216_Rastatt,0.27863407135009766,DSf,year,dry_spell_frequency,,7
08221_Heidelberg,0.33924102783203125,DSf,year,dry_spell_frequency,,7
