region,DSf_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.5680847,DSf,year,dry_spell_frequency,,7
01002_Kiel,0.4817883,DSf,year,dry_spell_frequency,,7
01003_Lübeck,0.22479452,DSf,year,dry_spell_frequency,,7
01004_Neumünster,0.43752974,DSf,year,dry_spell_frequency,,7
01051_Dithmarschen,0.41884068,DSf,year,dry_spell_frequency,,7
01053_Herzogtum Lauenburg,0.2623037,DSf,year,dry_spell_frequency,,7
01054_Nordfriesland,0.34254333,DSf,year,dry_spell_frequency,,7
01055_Ostholstein,0.3496579,DSf,year,dry_spell_frequency,,7
01057_Plön,0.40895912,DSf,year,dry_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.4415566,DSf,year,dry_spell_frequency,,7
01059_Schleswig-Flensburg,0.45162836,DSf,year,dry_spell_frequency,,7
01060_Segeberg,0.38741687,DSf,year,dry_spell_frequency,,7
01061_Steinburg,0.33544254,DSf,year,dry_spell_frequency,,7
01062_Stormarn,0.33220744,DSf,year,dry_spell_frequency,,7
02000_Hamburg,0.33433092,DSf,year,dry_spell_frequency,,7
03101_Braunschweig,0.23217177,DSf,year,dry_spell_frequency,,7
03102_Salzgitter,0.13598453,DSf,year,dry_spell_frequency,,7
03103_Wolfsburg,0.2652451,DSf,year,dry_spell_frequency,,7
03151_Gifhorn,0.3811301,DSf,year,dry_spell_frequency,,7
03159_Göttingen,0.50858295,DSf,year,dry_spell_frequency,,7
03153_Goslar,0.4964763,DSf,year,dry_spell_frequency,,7
03154_Helmstedt,0.2788625,DSf,year,dry_spell_frequency,,7
03155_Northeim,0.46780026,DSf,year,dry_spell_frequency,,7
03157_Peine,0.22121726,DSf,year,dry_spell_frequency,,7
03158_Wolfenbüttel,0.17682126,DSf,year,dry_spell_frequency,,7
03241_Region Hannover,0.3338509,DSf,year,dry_spell_frequency,,7
03251_Diepholz,0.5071519,DSf,year,dry_spell_frequency,,7
03252_Hameln-Pyrmont,0.4222905,DSf,year,dry_spell_frequency,,7
03254_Hildesheim,0.2770905,DSf,year,dry_spell_frequency,,7
03255_Holzminden,0.46565336,DSf,year,dry_spell_frequency,,7
01056_Pinneberg,0.31184816,DSf,year,dry_spell_frequency,,7
03256_Nienburg (Weser),0.45450413,DSf,year,dry_spell_frequency,,7
03257_Schaumburg,0.44631565,DSf,year,dry_spell_frequency,,7
03351_Celle,0.38737088,DSf,year,dry_spell_frequency,,7
03352_Cuxhaven,0.35006654,DSf,year,dry_spell_frequency,,7
03353_Harburg,0.3696741,DSf,year,dry_spell_frequency,,7
03354_Lüchow-Dannenberg,0.28275305,DSf,year,dry_spell_frequency,,7
03355_Lüneburg,0.31337944,DSf,year,dry_spell_frequency,,7
03356_Osterholz,0.45960474,DSf,year,dry_spell_frequency,,7
03357_Rotenburg (Wümme),0.40543073,DSf,year,dry_spell_frequency,,7
03358_Heidekreis,0.39015102,DSf,year,dry_spell_frequency,,7
03359_Stade,0.32086578,DSf,year,dry_spell_frequency,,7
03360_Uelzen,0.42783895,DSf,year,dry_spell_frequency,,7
03361_Verden,0.45146307,DSf,year,dry_spell_frequency,,7
03401_Delmenhorst,0.4762416,DSf,year,dry_spell_frequency,,7
03402_Emden,0.5227816,DSf,year,dry_spell_frequency,,7
03403_Oldenburg (Oldb),0.45141634,DSf,year,dry_spell_frequency,,7
03404_Osnabrück,0.46391174,DSf,year,dry_spell_frequency,,7
03405_Wilhelmshaven,0.35182843,DSf,year,dry_spell_frequency,,7
03451_Ammerland,0.50102174,DSf,year,dry_spell_frequency,,7
03452_Aurich,0.55503297,DSf,year,dry_spell_frequency,,7
03453_Cloppenburg,0.53055096,DSf,year,dry_spell_frequency,,7
03454_Emsland,0.56645036,DSf,year,dry_spell_frequency,,7
03455_Friesland,0.46090996,DSf,year,dry_spell_frequency,,7
03456_Grafschaft Bentheim,0.6769337,DSf,year,dry_spell_frequency,,7
03457_Leer,0.53022236,DSf,year,dry_spell_frequency,,7
03458_Oldenburg,0.53840625,DSf,year,dry_spell_frequency,,7
03459_Osnabrück,0.54064953,DSf,year,dry_spell_frequency,,7
03460_Vechta,0.6070592,DSf,year,dry_spell_frequency,,7
03461_Wesermarsch,0.40271908,DSf,year,dry_spell_frequency,,7
