region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
04012_03352_03461_Region_um_Bremerhaven,0.32003283500671387,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,0.2512860894203186,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.9784330725669861,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,1.0702729225158691,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.9035897254943848,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,1.1030101776123047,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.8601195812225342,HSx3,year,hot_spell_duration,days,7
05113_Essen,0.9659196138381958,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.9100572466850281,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,1.0545424222946167,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.9033908843994141,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,0.8852042555809021,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.9668936729431152,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,0.9807968139648438,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.8962253332138062,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,1.1006708145141602,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.5788534879684448,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,0.5013540387153625,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.78992760181427,HSx3,year,hot_spell_duration,days,7
05122_Solingen,0.7160077095031738,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.5872925519943237,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,0.5622732639312744,HSx3,year,hot_spell_duration,days,7
05154_Kleve,0.7865554690361023,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,0.9660749435424805,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,0.9823696613311768,HSx3,year,hot_spell_duration,days,7
05166_Viersen,0.873734712600708,HSx3,year,hot_spell_duration,days,7
05170_Wesel,0.9023222327232361,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,0.824417233467102,HSx3,year,hot_spell_duration,days,7
05314_Bonn,0.8862130641937256,HSx3,year,hot_spell_duration,days,7
05315_Köln,1.1949830055236816,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,0.966517448425293,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,1.0477354526519775,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,0.4835638999938965,HSx3,year,hot_spell_duration,days,7
05358_Düren,0.6770715117454529,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,0.9396072626113892,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,0.37936830520629883,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,0.7877821922302246,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,0.5021653175354004,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,0.7659174799919128,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,0.8240901827812195,HSx3,year,hot_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.9217875003814697,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,0.9529099464416504,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.8988559246063232,HSx3,year,hot_spell_duration,days,7
05513_Gelsenkirchen,1.0311939716339111,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,0.6291476488113403,HSx3,year,hot_spell_duration,days,7
05515_Münster,0.7743853330612183,HSx3,year,hot_spell_duration,days,7
05554_Borken,0.7034368515014648,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,0.661614716053009,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,0.889704704284668,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,0.6466860771179199,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,0.7322949767112732,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,0.6252639293670654,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,0.6964912414550781,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,0.6384825110435486,HSx3,year,hot_spell_duration,days,7
