region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09262_Passau,1.5994420051574707,HSx3,year,hot_spell_duration,days,7
09263_09278_Region_um_Straubing,1.311849594116211,HSx3,year,hot_spell_duration,days,7
09263_Straubing,1.458284854888916,HSx3,year,hot_spell_duration,days,7
09271_Deggendorf,1.4626548290252686,HSx3,year,hot_spell_duration,days,7
09272_Freyung-Grafenau,0.5337265729904175,HSx3,year,hot_spell_duration,days,7
09273_Kelheim,1.2444610595703125,HSx3,year,hot_spell_duration,days,7
09274_Landshut,1.3639624118804932,HSx3,year,hot_spell_duration,days,7
09275_Passau,1.4156439304351807,HSx3,year,hot_spell_duration,days,7
09276_Regen,0.57057785987854,HSx3,year,hot_spell_duration,days,7
09277_Rottal-Inn,1.6130883693695068,HSx3,year,hot_spell_duration,days,7
09278_Straubing-Bogen,1.2923188209533691,HSx3,year,hot_spell_duration,days,7
09279_Dingolfing-Landau,1.5150185823440552,HSx3,year,hot_spell_duration,days,7
09361_09371_Region_um_Amberg,0.9382826089859009,HSx3,year,hot_spell_duration,days,7
09361_Amberg,1.0,HSx3,year,hot_spell_duration,days,7
09362_09375_Region_um_Regensburg,1.1763887405395508,HSx3,year,hot_spell_duration,days,7
09362_Regensburg,1.2280383110046387,HSx3,year,hot_spell_duration,days,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,0.8618805408477783,HSx3,year,hot_spell_duration,days,7
09363_Weiden i.d. OPf.,0.9398477077484131,HSx3,year,hot_spell_duration,days,7
09371_Amberg-Sulzbach,0.9358704090118408,HSx3,year,hot_spell_duration,days,7
09372_Cham,0.8742549419403076,HSx3,year,hot_spell_duration,days,7
09373_Neumarkt i.d. OPf.,0.9784961938858032,HSx3,year,hot_spell_duration,days,7
09374_Neustadt a.d. Waldnaab,0.8567144274711609,HSx3,year,hot_spell_duration,days,7
09375_Regensburg,1.1789753437042236,HSx3,year,hot_spell_duration,days,7
09376_Schwandorf,0.9904288053512573,HSx3,year,hot_spell_duration,days,7
09377_Tirschenreuth,0.5699148178100586,HSx3,year,hot_spell_duration,days,7
09461_09471_Region_um_Bamberg,1.0773067474365234,HSx3,year,hot_spell_duration,days,7
09461_Bamberg,1.1393389701843262,HSx3,year,hot_spell_duration,days,7
09462_09472_Region_um_Bayreuth,0.7092797160148621,HSx3,year,hot_spell_duration,days,7
09462_Bayreuth,0.7813844084739685,HSx3,year,hot_spell_duration,days,7
09463_09473_Region_um_Coburg,0.9380223751068115,HSx3,year,hot_spell_duration,days,7
09463_Coburg,0.9971925020217896,HSx3,year,hot_spell_duration,days,7
09464_09475_Region_um_Hof,0.3498968183994293,HSx3,year,hot_spell_duration,days,7
09464_Hof,0.4124795198440552,HSx3,year,hot_spell_duration,days,7
09471_Bamberg,1.0641016960144043,HSx3,year,hot_spell_duration,days,7
09472_Bayreuth,0.7044792175292969,HSx3,year,hot_spell_duration,days,7
09473_Coburg,0.9352865219116211,HSx3,year,hot_spell_duration,days,7
09474_Forchheim,0.9564995765686035,HSx3,year,hot_spell_duration,days,7
09475_Hof,0.34802162647247314,HSx3,year,hot_spell_duration,days,7
09476_Kronach,0.4638892412185669,HSx3,year,hot_spell_duration,days,7
09477_Kulmbach,0.7289019823074341,HSx3,year,hot_spell_duration,days,7
09478_Lichtenfels,0.9535325169563293,HSx3,year,hot_spell_duration,days,7
09479_Wunsiedel i. Fichtelgebirge,0.3782067894935608,HSx3,year,hot_spell_duration,days,7
09561_09571_Region_um_Ansbach,1.0304234027862549,HSx3,year,hot_spell_duration,days,7
09561_Ansbach,0.9322609901428223,HSx3,year,hot_spell_duration,days,7
09562_09572_09564_09563_Region_um_Erlangen,1.241776466369629,HSx3,year,hot_spell_duration,days,7
09562_Erlangen,1.141910195350647,HSx3,year,hot_spell_duration,days,7
09563_09573_09562_09564_Region_um_Fürth,1.190796136856079,HSx3,year,hot_spell_duration,days,7
09563_Fürth,1.2131221294403076,HSx3,year,hot_spell_duration,days,7
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,1.0611371994018555,HSx3,year,hot_spell_duration,days,7
09564_Nürnberg,1.2937703132629395,HSx3,year,hot_spell_duration,days,7
09565_09576_09564_Region_um_Schwabach,1.1040632724761963,HSx3,year,hot_spell_duration,days,7
09565_Schwabach,1.2938404083251953,HSx3,year,hot_spell_duration,days,7
09571_Ansbach,1.02725088596344,HSx3,year,hot_spell_duration,days,7
09572_Erlangen-Höchstadt,1.2172287702560425,HSx3,year,hot_spell_duration,days,7
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,1.0274653434753418,HSx3,year,hot_spell_duration,days,7
09573_Fürth,1.073548674583435,HSx3,year,hot_spell_duration,days,7
09574_Nürnberger Land,1.0215564966201782,HSx3,year,hot_spell_duration,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,1.0748109817504883,HSx3,year,hot_spell_duration,days,7
09576_Roth,1.0221714973449707,HSx3,year,hot_spell_duration,days,7
09577_Weißenburg-Gunzenhausen,1.0093947649002075,HSx3,year,hot_spell_duration,days,7
09661_09671_09676_Region_um_Aschaffenburg,1.0943822860717773,HSx3,year,hot_spell_duration,days,7
09661_Aschaffenburg,1.3337931632995605,HSx3,year,hot_spell_duration,days,7
09662_09678_Region_um_Schweinfurt,1.1418888568878174,HSx3,year,hot_spell_duration,days,7
09662_Schweinfurt,1.1499873399734497,HSx3,year,hot_spell_duration,days,7
09663_09679_Region_um_Würzburg,1.167628288269043,HSx3,year,hot_spell_duration,days,7
09663_Würzburg,1.2019240856170654,HSx3,year,hot_spell_duration,days,7
09671_Aschaffenburg,1.1350562572479248,HSx3,year,hot_spell_duration,days,7
09672_Bad Kissingen,0.9303774833679199,HSx3,year,hot_spell_duration,days,7
09673_Rhön-Grabfeld,0.7958283424377441,HSx3,year,hot_spell_duration,days,7
09674_Haßberge,1.0517574548721313,HSx3,year,hot_spell_duration,days,7
09675_Kitzingen,1.0949950218200684,HSx3,year,hot_spell_duration,days,7
09676_Miltenberg,1.0454246997833252,HSx3,year,hot_spell_duration,days,7
09677_Main-Spessart,1.114396572113037,HSx3,year,hot_spell_duration,days,7
09678_Schweinfurt,1.1415400505065918,HSx3,year,hot_spell_duration,days,7
09679_Würzburg,1.164136528968811,HSx3,year,hot_spell_duration,days,7
09761_09772_09771_Region_um_Augsburg,1.1791821718215942,HSx3,year,hot_spell_duration,days,7
09761_Augsburg,1.1958467960357666,HSx3,year,hot_spell_duration,days,7
09762_09777_Region_um_Kaufbeuren,0.3496425151824951,HSx3,year,hot_spell_duration,days,7
09762_Kaufbeuren,0.5814627408981323,HSx3,year,hot_spell_duration,days,7
09763_09780_Region_um_Kempten_(Allgäu),0.20245575904846191,HSx3,year,hot_spell_duration,days,7
09763_Kempten (Allgäu),0.46718132495880127,HSx3,year,hot_spell_duration,days,7
09764_09778_08436_Region_um_Memmingen,0.7565122842788696,HSx3,year,hot_spell_duration,days,7
09764_Memmingen,0.745286762714386,HSx3,year,hot_spell_duration,days,7
09771_Aichach-Friedberg,1.1855173110961914,HSx3,year,hot_spell_duration,days,7
09772_Augsburg,1.1206719875335693,HSx3,year,hot_spell_duration,days,7
09773_Dillingen a.d. Donau,1.2477946281433105,HSx3,year,hot_spell_duration,days,7
09774_Günzburg,1.1474659442901611,HSx3,year,hot_spell_duration,days,7
09775_Neu-Ulm,1.1148927211761475,HSx3,year,hot_spell_duration,days,7
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),0.6152662038803101,HSx3,year,hot_spell_duration,days,7
09776_Lindau (Bodensee),0.7389770746231079,HSx3,year,hot_spell_duration,days,7
09777_Ostallgäu,0.3482864499092102,HSx3,year,hot_spell_duration,days,7
09778_Unterallgäu,0.7882840037345886,HSx3,year,hot_spell_duration,days,7
09779_Donau-Ries,1.130208134651184,HSx3,year,hot_spell_duration,days,7
09780_Oberallgäu,0.18590334057807922,HSx3,year,hot_spell_duration,days,7
10041_Regionalverband Saarbrücken,1.166016697883606,HSx3,year,hot_spell_duration,days,7
10042_Merzig-Wadern,0.9480672478675842,HSx3,year,hot_spell_duration,days,7
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,1.132123589515686,HSx3,year,hot_spell_duration,days,7
10043_Neunkirchen,1.1111953258514404,HSx3,year,hot_spell_duration,days,7
10044_Saarlouis,1.1070295572280884,HSx3,year,hot_spell_duration,days,7
10045_Saarpfalz-Kreis,1.1406636238098145,HSx3,year,hot_spell_duration,days,7
10046_St. Wendel,0.8235616087913513,HSx3,year,hot_spell_duration,days,7
11000_Berlin,0.9235165119171143,HSx3,year,hot_spell_duration,days,7
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,0.7866203784942627,HSx3,year,hot_spell_duration,days,7
12051_Brandenburg an der Havel,0.7750051021575928,HSx3,year,hot_spell_duration,days,7
12052_12071_Region_um_Cottbus,0.9635190367698669,HSx3,year,hot_spell_duration,days,7
12052_Cottbus,1.0,HSx3,year,hot_spell_duration,days,7
12053_12067_12064_Region_um_Frankfurt_(Oder),0.896604061126709,HSx3,year,hot_spell_duration,days,7
12053_Frankfurt (Oder),0.9207475185394287,HSx3,year,hot_spell_duration,days,7
12054_12063_12069_11000_12051_Region_um_Potsdam,0.8313663005828857,HSx3,year,hot_spell_duration,days,7
12054_Potsdam,0.7451348304748535,HSx3,year,hot_spell_duration,days,7
12060_Barnim,0.7777612209320068,HSx3,year,hot_spell_duration,days,7
12061_Dahme-Spreewald,0.9370770454406738,HSx3,year,hot_spell_duration,days,7
12062_Elbe-Elster,0.8900945782661438,HSx3,year,hot_spell_duration,days,7
12063_Havelland,0.8338754773139954,HSx3,year,hot_spell_duration,days,7
12064_Märkisch-Oderland,0.8222450017929077,HSx3,year,hot_spell_duration,days,7
12065_Oberhavel,0.847893476486206,HSx3,year,hot_spell_duration,days,7
12066_Oberspreewald-Lausitz,0.9511213302612305,HSx3,year,hot_spell_duration,days,7
12067_Oder-Spree,0.9180830717086792,HSx3,year,hot_spell_duration,days,7
12068_Ostprignitz-Ruppin,0.7441253662109375,HSx3,year,hot_spell_duration,days,7
12069_Potsdam-Mittelmark,0.7866527438163757,HSx3,year,hot_spell_duration,days,7
12070_Prignitz,0.6373839378356934,HSx3,year,hot_spell_duration,days,7
12071_Spree-Neiße,0.959795355796814,HSx3,year,hot_spell_duration,days,7
12072_Teltow-Fläming,0.9511456489562988,HSx3,year,hot_spell_duration,days,7
12073_Uckermark,0.7057462930679321,HSx3,year,hot_spell_duration,days,7
13003_13072_Region_um_Rostock,0.45653581619262695,HSx3,year,hot_spell_duration,days,7
13003_Rostock,0.3376396894454956,HSx3,year,hot_spell_duration,days,7
13004_13076_13074_Region_um_Schwerin,0.4875265955924988,HSx3,year,hot_spell_duration,days,7
13004_Schwerin,0.5113515853881836,HSx3,year,hot_spell_duration,days,7
13071_Mecklenburgische Seenplatte,0.5461454391479492,HSx3,year,hot_spell_duration,days,7
13072_Rostock,0.46083566546440125,HSx3,year,hot_spell_duration,days,7
13073_Vorpommern-Rügen,0.31242814660072327,HSx3,year,hot_spell_duration,days,7
13074_Nordwestmecklenburg,0.37727099657058716,HSx3,year,hot_spell_duration,days,7
13075_Vorpommern-Greifswald,0.530438244342804,HSx3,year,hot_spell_duration,days,7
13076_Ludwigslust-Parchim,0.5374878644943237,HSx3,year,hot_spell_duration,days,7
14511_14524_14521_14522_Region_um_Chemnitz,0.5378658175468445,HSx3,year,hot_spell_duration,days,7
14511_Chemnitz,0.6278436183929443,HSx3,year,hot_spell_duration,days,7
14521_Erzgebirgskreis,0.26441121101379395,HSx3,year,hot_spell_duration,days,7
14522_Mittelsachsen,0.6498081684112549,HSx3,year,hot_spell_duration,days,7
14523_Vogtlandkreis,0.4047738313674927,HSx3,year,hot_spell_duration,days,7
14524_Zwickau,0.6886692047119141,HSx3,year,hot_spell_duration,days,7
14612_14627_14625_14628_Region_um_Dresden,0.8999848365783691,HSx3,year,hot_spell_duration,days,7
14612_Dresden,1.0063958168029785,HSx3,year,hot_spell_duration,days,7
14625_Bautzen,0.9529843330383301,HSx3,year,hot_spell_duration,days,7
14626_Görlitz,0.9512233734130859,HSx3,year,hot_spell_duration,days,7
14627_Meißen,0.9838359355926514,HSx3,year,hot_spell_duration,days,7
14628_Sächsische Schweiz-Osterzgebirge,0.685107409954071,HSx3,year,hot_spell_duration,days,7
14713_14729_14730_Region_um_Leipzig,0.8689244389533997,HSx3,year,hot_spell_duration,days,7
14713_Leipzig,1.06431245803833,HSx3,year,hot_spell_duration,days,7
14729_Leipzig,0.9731607437133789,HSx3,year,hot_spell_duration,days,7
14730_Nordsachsen,0.9180021286010742,HSx3,year,hot_spell_duration,days,7
15001_15091_15082_Region_um_Dessau-Rolau,0.7267307639122009,HSx3,year,hot_spell_duration,days,7
15001_Dessau-Roßlau,0.6986168622970581,HSx3,year,hot_spell_duration,days,7
15002_15088_Region_um_Halle_(Saale),1.0396733283996582,HSx3,year,hot_spell_duration,days,7
15002_Halle (Saale),0.9896082878112793,HSx3,year,hot_spell_duration,days,7
15003_15083_15089_15086_Region_um_Magdeburg,0.8342965841293335,HSx3,year,hot_spell_duration,days,7
15003_Magdeburg,0.8756011724472046,HSx3,year,hot_spell_duration,days,7
15081_Altmarkkreis Salzwedel,0.7678259611129761,HSx3,year,hot_spell_duration,days,7
15082_Anhalt-Bitterfeld,0.8217878341674805,HSx3,year,hot_spell_duration,days,7
15083_Börde,0.7872542142868042,HSx3,year,hot_spell_duration,days,7
15084_Burgenlandkreis,0.8971226215362549,HSx3,year,hot_spell_duration,days,7
15085_Harz,0.5101151466369629,HSx3,year,hot_spell_duration,days,7
15086_Jerichower Land,0.7832711338996887,HSx3,year,hot_spell_duration,days,7
15087_Mansfeld-Südharz,0.7317295074462891,HSx3,year,hot_spell_duration,days,7
15088_Saalekreis,1.039405345916748,HSx3,year,hot_spell_duration,days,7
15089_Salzlandkreis,0.818203866481781,HSx3,year,hot_spell_duration,days,7
15090_Stendal,0.754730224609375,HSx3,year,hot_spell_duration,days,7
15091_Wittenberg,0.7970483303070068,HSx3,year,hot_spell_duration,days,7
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,0.6988314390182495,HSx3,year,hot_spell_duration,days,7
16051_Erfurt,0.8052752017974854,HSx3,year,hot_spell_duration,days,7
16052_16076_15084_16074_Region_um_Gera,0.8821049332618713,HSx3,year,hot_spell_duration,days,7
16052_Gera,0.8461235761642456,HSx3,year,hot_spell_duration,days,7
16053_16074_16071_16055_Region_um_Jena,0.807119607925415,HSx3,year,hot_spell_duration,days,7
16053_Jena,0.8091228008270264,HSx3,year,hot_spell_duration,days,7
16054_16066_16069_16070_Region_um_Suhl,0.49197259545326233,HSx3,year,hot_spell_duration,days,7
16054_Suhl,0.36565732955932617,HSx3,year,hot_spell_duration,days,7
16055_16071_Region_um_Weimar,0.7807607650756836,HSx3,year,hot_spell_duration,days,7
16055_Weimar,0.7878439426422119,HSx3,year,hot_spell_duration,days,7
16056_16063_06636_Region_um_Eisenach,0.5593912601470947,HSx3,year,hot_spell_duration,days,7
16056_Eisenach,0.5603137612342834,HSx3,year,hot_spell_duration,days,7
16061_Eichsfeld,0.5119737982749939,HSx3,year,hot_spell_duration,days,7
16062_Nordhausen,0.5542454719543457,HSx3,year,hot_spell_duration,days,7
16063_Wartburgkreis,0.5688812136650085,HSx3,year,hot_spell_duration,days,7
16064_Unstrut-Hainich-Kreis,0.6541444063186646,HSx3,year,hot_spell_duration,days,7
16065_Kyffhäuserkreis,0.6814326643943787,HSx3,year,hot_spell_duration,days,7
16066_Schmalkalden-Meiningen,0.5117098093032837,HSx3,year,hot_spell_duration,days,7
16067_Gotha,0.5760085582733154,HSx3,year,hot_spell_duration,days,7
16068_Sömmerda,0.8452847003936768,HSx3,year,hot_spell_duration,days,7
16069_Hildburghausen,0.5955846309661865,HSx3,year,hot_spell_duration,days,7
16070_Ilm-Kreis,0.3878672122955322,HSx3,year,hot_spell_duration,days,7
16071_Weimarer Land,0.7799484729766846,HSx3,year,hot_spell_duration,days,7
16072_Sonneberg,0.3968713879585266,HSx3,year,hot_spell_duration,days,7
16073_Saalfeld-Rudolstadt,0.5772176384925842,HSx3,year,hot_spell_duration,days,7
16074_Saale-Holzland-Kreis,0.8426089286804199,HSx3,year,hot_spell_duration,days,7
16075_Saale-Orla-Kreis,0.46467992663383484,HSx3,year,hot_spell_duration,days,7
16076_Greiz,0.7583990097045898,HSx3,year,hot_spell_duration,days,7
16077_Altenburger Land,0.9325534105300903,HSx3,year,hot_spell_duration,days,7
