region,HSx3_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05112_Duisburg,4.48236,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,4.142551,HSx3,year,hot_spell_duration,days,7
05113_Essen,4.2398124,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,4.35585,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,4.4859796,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,4.497855,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,4.4204097,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,4.385204,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,4.40797,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,4.217067,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,4.4589534,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,3.8764453,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,3.5652368,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,4.210352,HSx3,year,hot_spell_duration,days,7
05122_Solingen,4.1844463,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,3.8215609,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,3.7563732,HSx3,year,hot_spell_duration,days,7
05154_Kleve,4.0032496,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,4.3841414,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,4.6718707,HSx3,year,hot_spell_duration,days,7
05166_Viersen,4.4147577,HSx3,year,hot_spell_duration,days,7
05170_Wesel,4.1051974,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,4.579674,HSx3,year,hot_spell_duration,days,7
05314_Bonn,4.8158355,HSx3,year,hot_spell_duration,days,7
05315_Köln,5.184618,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,4.6337337,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,4.8156915,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,3.3658037,HSx3,year,hot_spell_duration,days,7
05358_Düren,4.058707,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,4.7755036,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,3.3138764,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,4.4341927,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,3.670274,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,4.334316,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,4.5500865,HSx3,year,hot_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,4.1616497,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,4.3470745,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,4.1969156,HSx3,year,hot_spell_duration,days,7
05513_Gelsenkirchen,4.370731,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,3.7059784,HSx3,year,hot_spell_duration,days,7
05515_Münster,3.857337,HSx3,year,hot_spell_duration,days,7
05554_Borken,3.6422725,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,3.820037,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,4.1348295,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,3.479914,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,3.8818004,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,3.5070539,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,3.638456,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,3.7752774,HSx3,year,hot_spell_duration,days,7
05758_Herford,3.4478652,HSx3,year,hot_spell_duration,days,7
05762_Höxter,3.4430227,HSx3,year,hot_spell_duration,days,7
05766_Lippe,3.293306,HSx3,year,hot_spell_duration,days,7
05770_Minden-Lübbecke,3.46234,HSx3,year,hot_spell_duration,days,7
05774_Paderborn,3.3530812,HSx3,year,hot_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,4.0467243,HSx3,year,hot_spell_duration,days,7
05911_Bochum,4.1574903,HSx3,year,hot_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,3.9541256,HSx3,year,hot_spell_duration,days,7
05913_Dortmund,4.0822067,HSx3,year,hot_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,3.5261364,HSx3,year,hot_spell_duration,days,7
05914_Hagen,3.3710923,HSx3,year,hot_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,3.7676685,HSx3,year,hot_spell_duration,days,7
05915_Hamm,4.0157723,HSx3,year,hot_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,4.1739526,HSx3,year,hot_spell_duration,days,7
05916_Herne,4.383467,HSx3,year,hot_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,3.587672,HSx3,year,hot_spell_duration,days,7
05958_Hochsauerlandkreis,2.7276058,HSx3,year,hot_spell_duration,days,7
05962_Märkischer Kreis,3.1506164,HSx3,year,hot_spell_duration,days,7
05966_Olpe,3.162313,HSx3,year,hot_spell_duration,days,7
05970_Siegen-Wittgenstein,3.2526789,HSx3,year,hot_spell_duration,days,7
05974_Soest,3.4783387,HSx3,year,hot_spell_duration,days,7
05978_Unna,3.988733,HSx3,year,hot_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,6.482937,HSx3,year,hot_spell_duration,days,7
06411_Darmstadt,6.700197,HSx3,year,hot_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,5.732839,HSx3,year,hot_spell_duration,days,7
06412_Frankfurt am Main,6.575503,HSx3,year,hot_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,5.6845546,HSx3,year,hot_spell_duration,days,7
06413_Offenbach am Main,6.7268744,HSx3,year,hot_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,5.980084,HSx3,year,hot_spell_duration,days,7
06414_Wiesbaden,6.0382786,HSx3,year,hot_spell_duration,days,7
06431_Bergstraße,6.5310545,HSx3,year,hot_spell_duration,days,7
06432_Darmstadt-Dieburg,6.3162994,HSx3,year,hot_spell_duration,days,7
06433_Groß-Gerau,7.083218,HSx3,year,hot_spell_duration,days,7
06434_Hochtaunuskreis,5.0697684,HSx3,year,hot_spell_duration,days,7
06435_Main-Kinzig-Kreis,5.2342815,HSx3,year,hot_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,5.7645783,HSx3,year,hot_spell_duration,days,7
06436_Main-Taunus-Kreis,6.1105347,HSx3,year,hot_spell_duration,days,7
06437_Odenwaldkreis,5.4158645,HSx3,year,hot_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,5.961862,HSx3,year,hot_spell_duration,days,7
06438_Offenbach,6.7265315,HSx3,year,hot_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,5.0424795,HSx3,year,hot_spell_duration,days,7
06440_Wetteraukreis,5.4846706,HSx3,year,hot_spell_duration,days,7
06531_Gießen,5.0171013,HSx3,year,hot_spell_duration,days,7
06532_Lahn-Dill-Kreis,4.337942,HSx3,year,hot_spell_duration,days,7
06533_Limburg-Weilburg,4.794958,HSx3,year,hot_spell_duration,days,7
06534_Marburg-Biedenkopf,4.3120866,HSx3,year,hot_spell_duration,days,7
06535_Vogelsbergkreis,4.107314,HSx3,year,hot_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,3.5648248,HSx3,year,hot_spell_duration,days,7
06611_Kassel,3.7569737,HSx3,year,hot_spell_duration,days,7
06631_Fulda,3.90428,HSx3,year,hot_spell_duration,days,7
06632_Hersfeld-Rotenburg,4.059943,HSx3,year,hot_spell_duration,days,7
06633_Kassel,3.6803343,HSx3,year,hot_spell_duration,days,7
06634_Schwalm-Eder-Kreis,3.9699237,HSx3,year,hot_spell_duration,days,7
06635_Waldeck-Frankenberg,3.4731185,HSx3,year,hot_spell_duration,days,7
06636_Werra-Meißner-Kreis,3.758021,HSx3,year,hot_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,4.459243,HSx3,year,hot_spell_duration,days,7
07111_Koblenz,4.9906263,HSx3,year,hot_spell_duration,days,7
07131_Ahrweiler,3.7350376,HSx3,year,hot_spell_duration,days,7
07132_Altenkirchen (Westerwald),3.8767514,HSx3,year,hot_spell_duration,days,7
07133_Bad Kreuznach,5.4856033,HSx3,year,hot_spell_duration,days,7
07134_Birkenfeld,4.5249844,HSx3,year,hot_spell_duration,days,7
07135_Cochem-Zell,4.4960017,HSx3,year,hot_spell_duration,days,7
07137_Mayen-Koblenz,4.5108867,HSx3,year,hot_spell_duration,days,7
07138_Neuwied,4.528019,HSx3,year,hot_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,4.4051876,HSx3,year,hot_spell_duration,days,7
07141_Rhein-Lahn-Kreis,4.776582,HSx3,year,hot_spell_duration,days,7
07143_Westerwaldkreis,4.1058073,HSx3,year,hot_spell_duration,days,7
07211_07235_Region_um_Trier,5.041673,HSx3,year,hot_spell_duration,days,7
07211_Trier,5.218045,HSx3,year,hot_spell_duration,days,7
07231_Bernkastel-Wittlich,4.6420536,HSx3,year,hot_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,4.0971513,HSx3,year,hot_spell_duration,days,7
07233_Vulkaneifel,3.4488692,HSx3,year,hot_spell_duration,days,7
07235_Trier-Saarburg,5.021743,HSx3,year,hot_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),7.896793,HSx3,year,hot_spell_duration,days,7
07311_Frankenthal (Pfalz),7.7952967,HSx3,year,hot_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,6.034845,HSx3,year,hot_spell_duration,days,7
07312_Kaiserslautern,5.682696,HSx3,year,hot_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,6.8979073,HSx3,year,hot_spell_duration,days,7
07313_Landau in der Pfalz,6.8073416,HSx3,year,hot_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,7.8886795,HSx3,year,hot_spell_duration,days,7
07314_Ludwigshafen am Rhein,7.8658414,HSx3,year,hot_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,6.5229893,HSx3,year,hot_spell_duration,days,7
07315_Mainz,6.5685143,HSx3,year,hot_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,6.6937814,HSx3,year,hot_spell_duration,days,7
07316_Neustadt an der Weinstraße,6.7648206,HSx3,year,hot_spell_duration,days,7
07317_07340_Region_um_Pirmasens,6.1366935,HSx3,year,hot_spell_duration,days,7
07317_Pirmasens,6.0890493,HSx3,year,hot_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,7.357774,HSx3,year,hot_spell_duration,days,7
07318_Speyer,8.014839,HSx3,year,hot_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,6.804416,HSx3,year,hot_spell_duration,days,7
07319_Worms,7.2585993,HSx3,year,hot_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,6.146551,HSx3,year,hot_spell_duration,days,7
07320_Zweibrücken,6.1572847,HSx3,year,hot_spell_duration,days,7
