region,HSx3_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.028363145887851715,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,-0.10000000149011612,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-0.04760995879769325,HSx3,year,hot_spell_duration,days,7
01002_Kiel,-0.036295294761657715,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.0810910165309906,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,-0.23008841276168823,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.07172736525535583,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,-0.07887935638427734,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,-0.14910203218460083,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,-0.14419960975646973,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,-0.0655524879693985,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,-0.07347770035266876,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,-0.05039522051811218,HSx3,year,hot_spell_duration,days,7
01057_Plön,-0.03708721697330475,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,-0.054309215396642685,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,-0.03170347586274147,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,-0.1541646122932434,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,-0.06055974215269089,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,-0.14151924848556519,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,0.1703101396560669,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.2034003734588623,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,-0.14619356393814087,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.0304909348487854,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,0.030997753143310547,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,-0.29738056659698486,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,-0.3793680667877197,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,-0.32837146520614624,HSx3,year,hot_spell_duration,days,7
03153_Goslar,-0.031287647783756256,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,-0.19970542192459106,HSx3,year,hot_spell_duration,days,7
03155_Northeim,0.049668461084365845,HSx3,year,hot_spell_duration,days,7
03157_Peine,-0.053450822830200195,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,-0.08486902713775635,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,0.016369178891181946,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,0.1345636248588562,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,0.1601153016090393,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,0.07834616303443909,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,0.14567506313323975,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,0.022769391536712646,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),0.0894177258014679,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,0.18598081171512604,HSx3,year,hot_spell_duration,days,7
03351_Celle,-0.1239054799079895,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,-0.06611014902591705,HSx3,year,hot_spell_duration,days,7
03353_Harburg,0.0049779415130615234,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,-0.49360597133636475,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,-0.262678861618042,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,0.014124006032943726,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),0.1081724762916565,HSx3,year,hot_spell_duration,days,7
