region,HSx3_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.91013414,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,0.90616125,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,1.1701765,HSx3,year,hot_spell_duration,days,7
01002_Kiel,1.1543101,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.5169634,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,1.5122896,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.3063614,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,1.5624464,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,1.1479042,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,1.9990582,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,0.76212037,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,0.8542929,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,1.8064026,HSx3,year,hot_spell_duration,days,7
01057_Plön,1.0417489,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,1.2350322,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,0.91023844,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,1.6347271,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,1.5240878,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,1.8632259,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,2.0609124,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,2.6089408,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,2.6691878,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,2.3496928,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,2.5558126,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,2.6127467,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,2.6305523,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,2.623161,HSx3,year,hot_spell_duration,days,7
03153_Goslar,1.7832162,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,2.5829358,HSx3,year,hot_spell_duration,days,7
03155_Northeim,2.4163828,HSx3,year,hot_spell_duration,days,7
03157_Peine,2.6657338,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,2.5551128,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,2.3483322,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,2.6304297,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,2.249542,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,2.3439596,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,2.4486854,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,2.263493,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),2.4522462,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,2.4054625,HSx3,year,hot_spell_duration,days,7
03351_Celle,2.532225,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,1.4522412,HSx3,year,hot_spell_duration,days,7
03353_Harburg,2.0249984,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,2.5375862,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,2.2713747,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,1.9107282,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),1.9435664,HSx3,year,hot_spell_duration,days,7
03358_Heidekreis,2.241827,HSx3,year,hot_spell_duration,days,7
03359_Stade,1.71025,HSx3,year,hot_spell_duration,days,7
03360_Uelzen,2.3244603,HSx3,year,hot_spell_duration,days,7
03361_Verden,2.1845293,HSx3,year,hot_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,2.0137086,HSx3,year,hot_spell_duration,days,7
03401_Delmenhorst,2.0074008,HSx3,year,hot_spell_duration,days,7
03402_03452_03457_Region_um_Emden,1.3071293,HSx3,year,hot_spell_duration,days,7
03402_Emden,1.1059688,HSx3,year,hot_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),1.7384938,HSx3,year,hot_spell_duration,days,7
03403_Oldenburg (Oldb),1.7938582,HSx3,year,hot_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,2.3555317,HSx3,year,hot_spell_duration,days,7
03404_Osnabrück,2.3195422,HSx3,year,hot_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,1.1245141,HSx3,year,hot_spell_duration,days,7
03405_Wilhelmshaven,0.7668941,HSx3,year,hot_spell_duration,days,7
03451_Ammerland,1.6896378,HSx3,year,hot_spell_duration,days,7
03452_Aurich,1.1147269,HSx3,year,hot_spell_duration,days,7
03453_Cloppenburg,1.9339364,HSx3,year,hot_spell_duration,days,7
03454_Emsland,2.0151403,HSx3,year,hot_spell_duration,days,7
03455_Friesland,1.1875137,HSx3,year,hot_spell_duration,days,7
03456_Grafschaft Bentheim,2.1896605,HSx3,year,hot_spell_duration,days,7
03457_Leer,1.5639758,HSx3,year,hot_spell_duration,days,7
03458_Oldenburg,1.9489285,HSx3,year,hot_spell_duration,days,7
03459_Osnabrück,2.293246,HSx3,year,hot_spell_duration,days,7
03460_Vechta,2.187074,HSx3,year,hot_spell_duration,days,7
03461_Wesermarsch,1.5097617,HSx3,year,hot_spell_duration,days,7
03462_Wittmund,1.1110157,HSx3,year,hot_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,1.85689,HSx3,year,hot_spell_duration,days,7
04011_Bremen,2.0615406,HSx3,year,hot_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,1.4683106,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,1.4519207,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,3.2439163,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,3.342636,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,3.070068,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,3.2428493,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,2.9109974,HSx3,year,hot_spell_duration,days,7
05113_Essen,2.9868574,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,3.1045809,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,3.2165222,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,3.1464698,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,3.076082,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,3.1092985,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,3.1369092,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,3.0152183,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,3.172708,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,2.639346,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,2.3768988,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,2.9239151,HSx3,year,hot_spell_duration,days,7
05122_Solingen,2.9323277,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,2.6033037,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,2.5485556,HSx3,year,hot_spell_duration,days,7
05154_Kleve,2.8538663,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,3.0765755,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,3.3264544,HSx3,year,hot_spell_duration,days,7
05166_Viersen,3.1011345,HSx3,year,hot_spell_duration,days,7
05170_Wesel,2.9389002,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,3.1585588,HSx3,year,hot_spell_duration,days,7
05314_Bonn,3.3526216,HSx3,year,hot_spell_duration,days,7
05315_Köln,3.683189,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,3.256436,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,3.3812106,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,2.1568193,HSx3,year,hot_spell_duration,days,7
05358_Düren,2.728496,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,3.3382783,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,2.0911255,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,3.0419874,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,2.465688,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,3.014827,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,3.134246,HSx3,year,hot_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,2.9661276,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,3.0989375,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,2.973169,HSx3,year,hot_spell_duration,days,7
05513_Gelsenkirchen,3.1184728,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,2.5897894,HSx3,year,hot_spell_duration,days,7
05515_Münster,2.7032166,HSx3,year,hot_spell_duration,days,7
05554_Borken,2.5460646,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,2.6710122,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,2.9386685,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,2.4311917,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,2.7104406,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,2.4421628,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,2.5493245,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,2.6431563,HSx3,year,hot_spell_duration,days,7
05758_Herford,2.413834,HSx3,year,hot_spell_duration,days,7
