region,HSx3_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,4.8567399978637695,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,5.331705570220947,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,5.226195335388184,HSx3,year,hot_spell_duration,days,7
01002_Kiel,5.465140342712402,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,5.8679351806640625,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,5.236109733581543,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,5.616358757019043,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,6.234375953674316,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,4.6534295082092285,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,7.111988544464111,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,3.599794626235962,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,4.342881202697754,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,6.887683868408203,HSx3,year,hot_spell_duration,days,7
01057_Plön,4.789491176605225,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,5.430352687835693,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,4.844283580780029,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,6.564094066619873,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,6.129851818084717,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,6.7772932052612305,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,7.332340717315674,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,8.47665786743164,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,8.537981986999512,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,8.028236389160156,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,8.594499588012695,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,8.399540901184082,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,8.628692626953125,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,8.308126449584961,HSx3,year,hot_spell_duration,days,7
03153_Goslar,6.902411937713623,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,8.542067527770996,HSx3,year,hot_spell_duration,days,7
03155_Northeim,8.122147560119629,HSx3,year,hot_spell_duration,days,7
03157_Peine,8.636788368225098,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,8.566267013549805,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,8.103898048400879,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,8.25870418548584,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,7.572604179382324,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,7.970536708831787,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,8.146450996398926,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,7.886171817779541,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),7.958259105682373,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,8.135186195373535,HSx3,year,hot_spell_duration,days,7
03351_Celle,7.931917190551758,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,5.847434997558594,HSx3,year,hot_spell_duration,days,7
03353_Harburg,7.326040267944336,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,8.45695686340332,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,7.83640193939209,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,6.743172645568848,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),7.080362319946289,HSx3,year,hot_spell_duration,days,7
03358_Heidekreis,7.5901947021484375,HSx3,year,hot_spell_duration,days,7
03359_Stade,6.417240142822266,HSx3,year,hot_spell_duration,days,7
03360_Uelzen,7.748955726623535,HSx3,year,hot_spell_duration,days,7
03361_Verden,7.46119499206543,HSx3,year,hot_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,6.819403171539307,HSx3,year,hot_spell_duration,days,7
03401_Delmenhorst,7.0108747482299805,HSx3,year,hot_spell_duration,days,7
03402_03452_03457_Region_um_Emden,5.292045593261719,HSx3,year,hot_spell_duration,days,7
03402_Emden,4.273561954498291,HSx3,year,hot_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),6.316429615020752,HSx3,year,hot_spell_duration,days,7
03403_Oldenburg (Oldb),6.339601993560791,HSx3,year,hot_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,7.9420976638793945,HSx3,year,hot_spell_duration,days,7
03404_Osnabrück,7.7603960037231445,HSx3,year,hot_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,4.6669745445251465,HSx3,year,hot_spell_duration,days,7
03405_Wilhelmshaven,3.4866881370544434,HSx3,year,hot_spell_duration,days,7
03451_Ammerland,6.458733558654785,HSx3,year,hot_spell_duration,days,7
03452_Aurich,4.699888706207275,HSx3,year,hot_spell_duration,days,7
03453_Cloppenburg,6.8264288902282715,HSx3,year,hot_spell_duration,days,7
03454_Emsland,7.134679794311523,HSx3,year,hot_spell_duration,days,7
03455_Friesland,4.874897003173828,HSx3,year,hot_spell_duration,days,7
03456_Grafschaft Bentheim,7.058935165405273,HSx3,year,hot_spell_duration,days,7
03457_Leer,6.1244025230407715,HSx3,year,hot_spell_duration,days,7
03458_Oldenburg,6.764499664306641,HSx3,year,hot_spell_duration,days,7
03459_Osnabrück,7.796647071838379,HSx3,year,hot_spell_duration,days,7
03460_Vechta,7.318588733673096,HSx3,year,hot_spell_duration,days,7
03461_Wesermarsch,5.976465225219727,HSx3,year,hot_spell_duration,days,7
03462_Wittmund,4.721065044403076,HSx3,year,hot_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,6.416756629943848,HSx3,year,hot_spell_duration,days,7
04011_Bremen,6.9727864265441895,HSx3,year,hot_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,5.880967140197754,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,5.742144584655762,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,10.274137496948242,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,10.285173416137695,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,9.657822608947754,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,9.94532299041748,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,9.233612060546875,HSx3,year,hot_spell_duration,days,7
05113_Essen,9.358497619628906,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,9.813868522644043,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,10.087860107421875,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,10.237905502319336,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,10.188194274902344,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,9.714658737182617,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,9.743062973022461,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,9.460770606994629,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,9.436501502990723,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,8.371417999267578,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,7.742945671081543,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,9.2454833984375,HSx3,year,hot_spell_duration,days,7
05122_Solingen,9.038887023925781,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,8.373662948608398,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,8.225456237792969,HSx3,year,hot_spell_duration,days,7
05154_Kleve,8.837848663330078,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,9.806943893432617,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,10.739582061767578,HSx3,year,hot_spell_duration,days,7
05166_Viersen,9.599862098693848,HSx3,year,hot_spell_duration,days,7
05170_Wesel,9.355359077453613,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,10.560829162597656,HSx3,year,hot_spell_duration,days,7
05314_Bonn,11.140180587768555,HSx3,year,hot_spell_duration,days,7
05315_Köln,11.73508358001709,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,10.296967506408691,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,10.548728942871094,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,7.791299343109131,HSx3,year,hot_spell_duration,days,7
05358_Düren,9.747724533081055,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,11.23004150390625,HSx3,year,hot_spell_duration,days,7
