region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
04012_Bremerhaven,3.3383071422576904,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,5.248384475708008,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,5.515834808349609,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,5.360292911529541,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,5.597401142120361,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,4.861130714416504,HSx3,year,hot_spell_duration,days,7
05113_Essen,4.859460830688477,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,5.331027984619141,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,5.3845295906066895,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,4.873160362243652,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,4.7161946296691895,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,5.1510725021362305,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,5.452795028686523,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,5.406633377075195,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,5.687437534332275,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,4.001707553863525,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,3.568667411804199,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,4.624197959899902,HSx3,year,hot_spell_duration,days,7
05122_Solingen,4.820573806762695,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,3.840318441390991,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,3.865858554840088,HSx3,year,hot_spell_duration,days,7
05154_Kleve,5.434412002563477,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,4.892416477203369,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,5.3329596519470215,HSx3,year,hot_spell_duration,days,7
05166_Viersen,5.084169864654541,HSx3,year,hot_spell_duration,days,7
05170_Wesel,5.438237190246582,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,4.160776615142822,HSx3,year,hot_spell_duration,days,7
05314_Bonn,4.695948123931885,HSx3,year,hot_spell_duration,days,7
05315_Köln,5.73063850402832,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,5.076247215270996,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,5.502099514007568,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,2.9973013401031494,HSx3,year,hot_spell_duration,days,7
05358_Düren,3.4887802600860596,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,5.226766586303711,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,2.911144495010376,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,4.366571426391602,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,3.6103363037109375,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,4.821713447570801,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,4.152679443359375,HSx3,year,hot_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,5.439742088317871,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,5.504821300506592,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,5.258551597595215,HSx3,year,hot_spell_duration,days,7
05513_Gelsenkirchen,5.714918613433838,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,5.058988571166992,HSx3,year,hot_spell_duration,days,7
05515_Münster,5.214061737060547,HSx3,year,hot_spell_duration,days,7
05554_Borken,5.299290180206299,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,5.601146221160889,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,5.6083197593688965,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,4.828434944152832,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,4.880358695983887,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,4.363450050354004,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,5.017212390899658,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,4.958057880401611,HSx3,year,hot_spell_duration,days,7
05758_Herford,4.222783088684082,HSx3,year,hot_spell_duration,days,7
05762_Höxter,3.592322587966919,HSx3,year,hot_spell_duration,days,7
05766_Lippe,3.817570686340332,HSx3,year,hot_spell_duration,days,7
05770_Minden-Lübbecke,4.401899814605713,HSx3,year,hot_spell_duration,days,7
05774_Paderborn,3.2274765968322754,HSx3,year,hot_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,4.656981468200684,HSx3,year,hot_spell_duration,days,7
05911_Bochum,4.389713287353516,HSx3,year,hot_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,4.387312889099121,HSx3,year,hot_spell_duration,days,7
05913_Dortmund,4.743013858795166,HSx3,year,hot_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,3.3201780319213867,HSx3,year,hot_spell_duration,days,7
05914_Hagen,2.86639142036438,HSx3,year,hot_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,4.382208824157715,HSx3,year,hot_spell_duration,days,7
05915_Hamm,4.571303367614746,HSx3,year,hot_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,5.313144683837891,HSx3,year,hot_spell_duration,days,7
05916_Herne,5.8440728187561035,HSx3,year,hot_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,3.2891592979431152,HSx3,year,hot_spell_duration,days,7
05958_Hochsauerlandkreis,2.8917489051818848,HSx3,year,hot_spell_duration,days,7
