region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09273_Kelheim,5.602727890014648,HSx3,year,hot_spell_duration,days,7
09274_Landshut,5.994649887084961,HSx3,year,hot_spell_duration,days,7
09275_Passau,5.72224235534668,HSx3,year,hot_spell_duration,days,7
09276_Regen,3.9802281856536865,HSx3,year,hot_spell_duration,days,7
09277_Rottal-Inn,6.26442813873291,HSx3,year,hot_spell_duration,days,7
09278_Straubing-Bogen,5.790788650512695,HSx3,year,hot_spell_duration,days,7
09279_Dingolfing-Landau,6.17046594619751,HSx3,year,hot_spell_duration,days,7
09361_09371_Region_um_Amberg,4.368733882904053,HSx3,year,hot_spell_duration,days,7
09361_Amberg,4.734708309173584,HSx3,year,hot_spell_duration,days,7
09362_09375_Region_um_Regensburg,5.604308128356934,HSx3,year,hot_spell_duration,days,7
09362_Regensburg,5.996303558349609,HSx3,year,hot_spell_duration,days,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,4.158250331878662,HSx3,year,hot_spell_duration,days,7
09363_Weiden i.d. OPf.,4.032238960266113,HSx3,year,hot_spell_duration,days,7
09371_Amberg-Sulzbach,4.3534626960754395,HSx3,year,hot_spell_duration,days,7
09372_Cham,4.386883735656738,HSx3,year,hot_spell_duration,days,7
09373_Neumarkt i.d. OPf.,4.456485748291016,HSx3,year,hot_spell_duration,days,7
09374_Neustadt a.d. Waldnaab,4.165933132171631,HSx3,year,hot_spell_duration,days,7
09375_Regensburg,5.579659461975098,HSx3,year,hot_spell_duration,days,7
09376_Schwandorf,4.532596588134766,HSx3,year,hot_spell_duration,days,7
09377_Tirschenreuth,3.8397064208984375,HSx3,year,hot_spell_duration,days,7
09461_09471_Region_um_Bamberg,5.035279273986816,HSx3,year,hot_spell_duration,days,7
09461_Bamberg,5.081742763519287,HSx3,year,hot_spell_duration,days,7
09462_09472_Region_um_Bayreuth,4.1096296310424805,HSx3,year,hot_spell_duration,days,7
09462_Bayreuth,4.424846649169922,HSx3,year,hot_spell_duration,days,7
09463_09473_Region_um_Coburg,5.004730224609375,HSx3,year,hot_spell_duration,days,7
09463_Coburg,5.241393089294434,HSx3,year,hot_spell_duration,days,7
09464_09475_Region_um_Hof,3.348670482635498,HSx3,year,hot_spell_duration,days,7
09464_Hof,3.2935526371002197,HSx3,year,hot_spell_duration,days,7
09471_Bamberg,5.032987594604492,HSx3,year,hot_spell_duration,days,7
09472_Bayreuth,4.092189788818359,HSx3,year,hot_spell_duration,days,7
09473_Coburg,4.987262725830078,HSx3,year,hot_spell_duration,days,7
09474_Forchheim,4.775763511657715,HSx3,year,hot_spell_duration,days,7
09475_Hof,3.352203845977783,HSx3,year,hot_spell_duration,days,7
09476_Kronach,3.7973382472991943,HSx3,year,hot_spell_duration,days,7
09477_Kulmbach,3.9307212829589844,HSx3,year,hot_spell_duration,days,7
09478_Lichtenfels,4.721646308898926,HSx3,year,hot_spell_duration,days,7
09479_Wunsiedel i. Fichtelgebirge,3.7646608352661133,HSx3,year,hot_spell_duration,days,7
09561_09571_Region_um_Ansbach,4.404052734375,HSx3,year,hot_spell_duration,days,7
09561_Ansbach,4.308131217956543,HSx3,year,hot_spell_duration,days,7
09562_09572_09564_09563_Region_um_Erlangen,4.953585624694824,HSx3,year,hot_spell_duration,days,7
09562_Erlangen,5.086074352264404,HSx3,year,hot_spell_duration,days,7
09563_09573_09562_09564_Region_um_Fürth,4.964197635650635,HSx3,year,hot_spell_duration,days,7
09563_Fürth,5.077546119689941,HSx3,year,hot_spell_duration,days,7
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,4.6114068031311035,HSx3,year,hot_spell_duration,days,7
09564_Nürnberg,5.113185882568359,HSx3,year,hot_spell_duration,days,7
09565_09576_09564_Region_um_Schwabach,4.644023895263672,HSx3,year,hot_spell_duration,days,7
09565_Schwabach,4.995145320892334,HSx3,year,hot_spell_duration,days,7
09571_Ansbach,4.409253120422363,HSx3,year,hot_spell_duration,days,7
09572_Erlangen-Höchstadt,4.998351097106934,HSx3,year,hot_spell_duration,days,7
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,4.550337791442871,HSx3,year,hot_spell_duration,days,7
09573_Fürth,4.925005912780762,HSx3,year,hot_spell_duration,days,7
09574_Nürnberger Land,4.427781581878662,HSx3,year,hot_spell_duration,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,4.810126304626465,HSx3,year,hot_spell_duration,days,7
09576_Roth,4.692966461181641,HSx3,year,hot_spell_duration,days,7
09577_Weißenburg-Gunzenhausen,4.709522247314453,HSx3,year,hot_spell_duration,days,7
09661_09671_09676_Region_um_Aschaffenburg,4.855830192565918,HSx3,year,hot_spell_duration,days,7
09661_Aschaffenburg,5.361166954040527,HSx3,year,hot_spell_duration,days,7
09662_09678_Region_um_Schweinfurt,5.740320205688477,HSx3,year,hot_spell_duration,days,7
09662_Schweinfurt,5.788012504577637,HSx3,year,hot_spell_duration,days,7
09663_09679_Region_um_Würzburg,5.239710330963135,HSx3,year,hot_spell_duration,days,7
09663_Würzburg,5.4561076164245605,HSx3,year,hot_spell_duration,days,7
09671_Aschaffenburg,5.271271705627441,HSx3,year,hot_spell_duration,days,7
09672_Bad Kissingen,5.159024715423584,HSx3,year,hot_spell_duration,days,7
09673_Rhön-Grabfeld,4.746385097503662,HSx3,year,hot_spell_duration,days,7
09674_Haßberge,5.296191692352295,HSx3,year,hot_spell_duration,days,7
09675_Kitzingen,5.300198078155518,HSx3,year,hot_spell_duration,days,7
09676_Miltenberg,4.412325382232666,HSx3,year,hot_spell_duration,days,7
09677_Main-Spessart,4.919585704803467,HSx3,year,hot_spell_duration,days,7
09678_Schweinfurt,5.738267421722412,HSx3,year,hot_spell_duration,days,7
09679_Würzburg,5.217679500579834,HSx3,year,hot_spell_duration,days,7
09761_09772_09771_Region_um_Augsburg,5.283065319061279,HSx3,year,hot_spell_duration,days,7
09761_Augsburg,5.415318012237549,HSx3,year,hot_spell_duration,days,7
09762_09777_Region_um_Kaufbeuren,2.065596580505371,HSx3,year,hot_spell_duration,days,7
09762_Kaufbeuren,2.8369898796081543,HSx3,year,hot_spell_duration,days,7
09763_09780_Region_um_Kempten_(Allgäu),1.2379703521728516,HSx3,year,hot_spell_duration,days,7
09763_Kempten (Allgäu),2.0318384170532227,HSx3,year,hot_spell_duration,days,7
09764_09778_08436_Region_um_Memmingen,3.3854517936706543,HSx3,year,hot_spell_duration,days,7
09764_Memmingen,3.603466033935547,HSx3,year,hot_spell_duration,days,7
09771_Aichach-Friedberg,5.466209411621094,HSx3,year,hot_spell_duration,days,7
09772_Augsburg,5.132925033569336,HSx3,year,hot_spell_duration,days,7
09773_Dillingen a.d. Donau,5.44766902923584,HSx3,year,hot_spell_duration,days,7
09774_Günzburg,5.327810764312744,HSx3,year,hot_spell_duration,days,7
09775_Neu-Ulm,4.940569877624512,HSx3,year,hot_spell_duration,days,7
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),2.5947365760803223,HSx3,year,hot_spell_duration,days,7
09776_Lindau (Bodensee),2.86051082611084,HSx3,year,hot_spell_duration,days,7
09777_Ostallgäu,2.0496442317962646,HSx3,year,hot_spell_duration,days,7
09778_Unterallgäu,3.5033650398254395,HSx3,year,hot_spell_duration,days,7
09779_Donau-Ries,5.073448657989502,HSx3,year,hot_spell_duration,days,7
09780_Oberallgäu,1.2031397819519043,HSx3,year,hot_spell_duration,days,7
10041_Regionalverband Saarbrücken,4.945988655090332,HSx3,year,hot_spell_duration,days,7
10042_Merzig-Wadern,4.776181697845459,HSx3,year,hot_spell_duration,days,7
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,4.891676902770996,HSx3,year,hot_spell_duration,days,7
10043_Neunkirchen,5.102811813354492,HSx3,year,hot_spell_duration,days,7
10044_Saarlouis,5.155217170715332,HSx3,year,hot_spell_duration,days,7
10045_Saarpfalz-Kreis,4.620546340942383,HSx3,year,hot_spell_duration,days,7
10046_St. Wendel,4.7553300857543945,HSx3,year,hot_spell_duration,days,7
11000_Berlin,5.026590347290039,HSx3,year,hot_spell_duration,days,7
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,4.654526710510254,HSx3,year,hot_spell_duration,days,7
12051_Brandenburg an der Havel,4.691959381103516,HSx3,year,hot_spell_duration,days,7
12052_12071_Region_um_Cottbus,4.831744194030762,HSx3,year,hot_spell_duration,days,7
12052_Cottbus,5.107953071594238,HSx3,year,hot_spell_duration,days,7
12053_12067_12064_Region_um_Frankfurt_(Oder),4.620530128479004,HSx3,year,hot_spell_duration,days,7
12053_Frankfurt (Oder),5.158456802368164,HSx3,year,hot_spell_duration,days,7
12054_12063_12069_11000_12051_Region_um_Potsdam,4.593677997589111,HSx3,year,hot_spell_duration,days,7
12054_Potsdam,4.619388580322266,HSx3,year,hot_spell_duration,days,7
12060_Barnim,4.105294227600098,HSx3,year,hot_spell_duration,days,7
12061_Dahme-Spreewald,5.135729789733887,HSx3,year,hot_spell_duration,days,7
12062_Elbe-Elster,5.064356327056885,HSx3,year,hot_spell_duration,days,7
12063_Havelland,4.857470989227295,HSx3,year,hot_spell_duration,days,7
12064_Märkisch-Oderland,4.417351245880127,HSx3,year,hot_spell_duration,days,7
12065_Oberhavel,4.199458122253418,HSx3,year,hot_spell_duration,days,7
12066_Oberspreewald-Lausitz,5.159733772277832,HSx3,year,hot_spell_duration,days,7
12067_Oder-Spree,4.9308881759643555,HSx3,year,hot_spell_duration,days,7
12068_Ostprignitz-Ruppin,4.074594974517822,HSx3,year,hot_spell_duration,days,7
12069_Potsdam-Mittelmark,4.515111923217773,HSx3,year,hot_spell_duration,days,7
12070_Prignitz,4.077630043029785,HSx3,year,hot_spell_duration,days,7
12071_Spree-Neiße,4.803549766540527,HSx3,year,hot_spell_duration,days,7
12072_Teltow-Fläming,4.909900665283203,HSx3,year,hot_spell_duration,days,7
12073_Uckermark,3.4876790046691895,HSx3,year,hot_spell_duration,days,7
13003_13072_Region_um_Rostock,2.9819369316101074,HSx3,year,hot_spell_duration,days,7
13003_Rostock,2.809817314147949,HSx3,year,hot_spell_duration,days,7
13004_13076_13074_Region_um_Schwerin,3.462308645248413,HSx3,year,hot_spell_duration,days,7
13004_Schwerin,4.005127429962158,HSx3,year,hot_spell_duration,days,7
13071_Mecklenburgische Seenplatte,3.091320037841797,HSx3,year,hot_spell_duration,days,7
13072_Rostock,2.9964821338653564,HSx3,year,hot_spell_duration,days,7
13073_Vorpommern-Rügen,2.237588405609131,HSx3,year,hot_spell_duration,days,7
13074_Nordwestmecklenburg,3.12601637840271,HSx3,year,hot_spell_duration,days,7
13075_Vorpommern-Greifswald,2.409093141555786,HSx3,year,hot_spell_duration,days,7
13076_Ludwigslust-Parchim,3.661024570465088,HSx3,year,hot_spell_duration,days,7
14511_14524_14521_14522_Region_um_Chemnitz,3.1963250637054443,HSx3,year,hot_spell_duration,days,7
14511_Chemnitz,3.2626774311065674,HSx3,year,hot_spell_duration,days,7
14521_Erzgebirgskreis,2.581441879272461,HSx3,year,hot_spell_duration,days,7
14522_Mittelsachsen,3.746760845184326,HSx3,year,hot_spell_duration,days,7
14523_Vogtlandkreis,3.193406343460083,HSx3,year,hot_spell_duration,days,7
14524_Zwickau,3.463120937347412,HSx3,year,hot_spell_duration,days,7
14612_14627_14625_14628_Region_um_Dresden,4.065106391906738,HSx3,year,hot_spell_duration,days,7
14612_Dresden,4.439770698547363,HSx3,year,hot_spell_duration,days,7
14625_Bautzen,4.269008636474609,HSx3,year,hot_spell_duration,days,7
14626_Görlitz,4.239198684692383,HSx3,year,hot_spell_duration,days,7
14627_Meißen,4.470134735107422,HSx3,year,hot_spell_duration,days,7
14628_Sächsische Schweiz-Osterzgebirge,3.909217119216919,HSx3,year,hot_spell_duration,days,7
14713_14729_14730_Region_um_Leipzig,4.447155952453613,HSx3,year,hot_spell_duration,days,7
14713_Leipzig,4.45542573928833,HSx3,year,hot_spell_duration,days,7
14729_Leipzig,4.153805732727051,HSx3,year,hot_spell_duration,days,7
14730_Nordsachsen,4.682382106781006,HSx3,year,hot_spell_duration,days,7
15001_15091_15082_Region_um_Dessau-Rolau,4.837203502655029,HSx3,year,hot_spell_duration,days,7
15001_Dessau-Roßlau,5.04342794418335,HSx3,year,hot_spell_duration,days,7
15002_15088_Region_um_Halle_(Saale),4.71467399597168,HSx3,year,hot_spell_duration,days,7
15002_Halle (Saale),4.932731628417969,HSx3,year,hot_spell_duration,days,7
15003_15083_15089_15086_Region_um_Magdeburg,5.059497356414795,HSx3,year,hot_spell_duration,days,7
15003_Magdeburg,5.294415473937988,HSx3,year,hot_spell_duration,days,7
15081_Altmarkkreis Salzwedel,5.189979553222656,HSx3,year,hot_spell_duration,days,7
15082_Anhalt-Bitterfeld,4.980219841003418,HSx3,year,hot_spell_duration,days,7
15083_Börde,5.138603210449219,HSx3,year,hot_spell_duration,days,7
15084_Burgenlandkreis,4.007152080535889,HSx3,year,hot_spell_duration,days,7
15085_Harz,3.404088020324707,HSx3,year,hot_spell_duration,days,7
15086_Jerichower Land,5.132575988769531,HSx3,year,hot_spell_duration,days,7
15087_Mansfeld-Südharz,4.247174263000488,HSx3,year,hot_spell_duration,days,7
15088_Saalekreis,4.6932878494262695,HSx3,year,hot_spell_duration,days,7
15089_Salzlandkreis,4.817643165588379,HSx3,year,hot_spell_duration,days,7
15090_Stendal,5.273303985595703,HSx3,year,hot_spell_duration,days,7
15091_Wittenberg,5.117650032043457,HSx3,year,hot_spell_duration,days,7
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,3.458284378051758,HSx3,year,hot_spell_duration,days,7
16051_Erfurt,4.120818138122559,HSx3,year,hot_spell_duration,days,7
16052_16076_15084_16074_Region_um_Gera,3.6381168365478516,HSx3,year,hot_spell_duration,days,7
16052_Gera,3.5198378562927246,HSx3,year,hot_spell_duration,days,7
16053_16074_16071_16055_Region_um_Jena,3.7313952445983887,HSx3,year,hot_spell_duration,days,7
16053_Jena,3.6380624771118164,HSx3,year,hot_spell_duration,days,7
16054_16066_16069_16070_Region_um_Suhl,3.720338821411133,HSx3,year,hot_spell_duration,days,7
16054_Suhl,3.763857126235962,HSx3,year,hot_spell_duration,days,7
16055_16071_Region_um_Weimar,3.8827919960021973,HSx3,year,hot_spell_duration,days,7
16055_Weimar,3.9084725379943848,HSx3,year,hot_spell_duration,days,7
16056_16063_06636_Region_um_Eisenach,4.050772190093994,HSx3,year,hot_spell_duration,days,7
16056_Eisenach,4.1698527336120605,HSx3,year,hot_spell_duration,days,7
16061_Eichsfeld,3.496798515319824,HSx3,year,hot_spell_duration,days,7
16062_Nordhausen,3.9111251831054688,HSx3,year,hot_spell_duration,days,7
16063_Wartburgkreis,3.8610997200012207,HSx3,year,hot_spell_duration,days,7
16064_Unstrut-Hainich-Kreis,3.911684989929199,HSx3,year,hot_spell_duration,days,7
16065_Kyffhäuserkreis,4.751120567321777,HSx3,year,hot_spell_duration,days,7
16066_Schmalkalden-Meiningen,3.976696729660034,HSx3,year,hot_spell_duration,days,7
16067_Gotha,3.184291124343872,HSx3,year,hot_spell_duration,days,7
16068_Sömmerda,4.409646987915039,HSx3,year,hot_spell_duration,days,7
16069_Hildburghausen,4.255216121673584,HSx3,year,hot_spell_duration,days,7
16070_Ilm-Kreis,2.978672504425049,HSx3,year,hot_spell_duration,days,7
16071_Weimarer Land,3.8798484802246094,HSx3,year,hot_spell_duration,days,7
16072_Sonneberg,3.8010382652282715,HSx3,year,hot_spell_duration,days,7
16073_Saalfeld-Rudolstadt,2.9792494773864746,HSx3,year,hot_spell_duration,days,7
16074_Saale-Holzland-Kreis,3.5870790481567383,HSx3,year,hot_spell_duration,days,7
16075_Saale-Orla-Kreis,3.1016013622283936,HSx3,year,hot_spell_duration,days,7
16076_Greiz,3.571370840072632,HSx3,year,hot_spell_duration,days,7
16077_Altenburger Land,4.000086307525635,HSx3,year,hot_spell_duration,days,7
