region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.43288034,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,0.42645025,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,0.591841,HSx3,year,hot_spell_duration,days,7
01002_Kiel,0.58081836,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.8189469,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,0.81946987,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.6759405,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,0.81587374,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,0.5831575,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,1.0929326,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,0.38662812,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,0.4367973,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,1.0042862,HSx3,year,hot_spell_duration,days,7
01057_Plön,0.5257109,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.6253958,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,0.433049,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,0.879818,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,0.8163593,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,1.0238973,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,1.1447666,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.4130151,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,1.4508052,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.2566386,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,1.3708847,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,1.4164404,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,1.4169215,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,1.4276061,HSx3,year,hot_spell_duration,days,7
03153_Goslar,0.91756535,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,1.3902311,HSx3,year,hot_spell_duration,days,7
03155_Northeim,1.3183999,HSx3,year,hot_spell_duration,days,7
03157_Peine,1.4544576,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,1.3742841,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,1.260933,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,1.4185201,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,1.2079926,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,1.2621344,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,1.3165455,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,1.2216603,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),1.3361213,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,1.311271,HSx3,year,hot_spell_duration,days,7
03351_Celle,1.3950378,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,0.7462725,HSx3,year,hot_spell_duration,days,7
03353_Harburg,1.1117814,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,1.3600276,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,1.211771,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,1.042645,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),1.0518676,HSx3,year,hot_spell_duration,days,7
03358_Heidekreis,1.228815,HSx3,year,hot_spell_duration,days,7
03359_Stade,0.9261237,HSx3,year,hot_spell_duration,days,7
03360_Uelzen,1.2619724,HSx3,year,hot_spell_duration,days,7
03361_Verden,1.1757163,HSx3,year,hot_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.0811815,HSx3,year,hot_spell_duration,days,7
03401_Delmenhorst,1.0915313,HSx3,year,hot_spell_duration,days,7
03402_03452_03457_Region_um_Emden,0.6320941,HSx3,year,hot_spell_duration,days,7
03402_Emden,0.51760334,HSx3,year,hot_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.9221061,HSx3,year,hot_spell_duration,days,7
03403_Oldenburg (Oldb),0.95978767,HSx3,year,hot_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,1.25983,HSx3,year,hot_spell_duration,days,7
03404_Osnabrück,1.224389,HSx3,year,hot_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,0.5362918,HSx3,year,hot_spell_duration,days,7
03405_Wilhelmshaven,0.35737097,HSx3,year,hot_spell_duration,days,7
03451_Ammerland,0.87449,HSx3,year,hot_spell_duration,days,7
03452_Aurich,0.5273305,HSx3,year,hot_spell_duration,days,7
03453_Cloppenburg,1.0220864,HSx3,year,hot_spell_duration,days,7
03454_Emsland,1.0771008,HSx3,year,hot_spell_duration,days,7
03455_Friesland,0.567811,HSx3,year,hot_spell_duration,days,7
03456_Grafschaft Bentheim,1.1887292,HSx3,year,hot_spell_duration,days,7
03457_Leer,0.77246714,HSx3,year,hot_spell_duration,days,7
03458_Oldenburg,1.068538,HSx3,year,hot_spell_duration,days,7
03459_Osnabrück,1.2269299,HSx3,year,hot_spell_duration,days,7
03460_Vechta,1.1747162,HSx3,year,hot_spell_duration,days,7
03461_Wesermarsch,0.7749497,HSx3,year,hot_spell_duration,days,7
03462_Wittmund,0.52886534,HSx3,year,hot_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.9848987,HSx3,year,hot_spell_duration,days,7
04011_Bremen,1.1223198,HSx3,year,hot_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,0.7540692,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,0.7371815,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,1.7364755,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,1.8004291,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,1.6400084,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,1.7281593,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,1.5492067,HSx3,year,hot_spell_duration,days,7
05113_Essen,1.5759397,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,1.6510181,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,1.7154834,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,1.6598983,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,1.615942,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,1.6604099,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,1.6862594,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,1.6040063,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,1.7143018,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,1.3709416,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,1.2352448,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,1.5461974,HSx3,year,hot_spell_duration,days,7
05122_Solingen,1.5541723,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,1.3604249,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,1.3397311,HSx3,year,hot_spell_duration,days,7
05154_Kleve,1.5299608,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,1.648386,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,1.7785213,HSx3,year,hot_spell_duration,days,7
05166_Viersen,1.635077,HSx3,year,hot_spell_duration,days,7
05170_Wesel,1.5638243,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,1.6504169,HSx3,year,hot_spell_duration,days,7
05314_Bonn,1.7486254,HSx3,year,hot_spell_duration,days,7
