region,HSx3_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
04012_Bremerhaven,4.319653034210205,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,7.7521867752075195,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,7.704089164733887,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,7.405735015869141,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,7.503758907318115,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,7.132741451263428,HSx3,year,hot_spell_duration,days,7
05113_Essen,7.232679843902588,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,7.51197624206543,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,7.725152969360352,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,7.814211845397949,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,7.702812194824219,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,7.432415008544922,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,7.580512046813965,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,7.303225517272949,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,7.136582374572754,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,6.789571285247803,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,6.158598899841309,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,7.232127666473389,HSx3,year,hot_spell_duration,days,7
05122_Solingen,7.1233367919921875,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,6.711442470550537,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,6.543636798858643,HSx3,year,hot_spell_duration,days,7
05154_Kleve,7.195390701293945,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,7.55443811416626,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,8.044048309326172,HSx3,year,hot_spell_duration,days,7
05166_Viersen,7.663600921630859,HSx3,year,hot_spell_duration,days,7
05170_Wesel,7.288288116455078,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,7.935272216796875,HSx3,year,hot_spell_duration,days,7
05314_Bonn,8.465614318847656,HSx3,year,hot_spell_duration,days,7
05315_Köln,8.882728576660156,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,7.941296577453613,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,8.238824844360352,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,6.346820831298828,HSx3,year,hot_spell_duration,days,7
05358_Düren,7.555230617523193,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,8.383660316467285,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,6.307867050170898,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,7.954652786254883,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,6.557728290557861,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,7.395509719848633,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,7.888362884521484,HSx3,year,hot_spell_duration,days,7
