region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09174_Dachau,-0.09862470626831055,HSx3,year,hot_spell_duration,days,7
09175_Ebersberg,-0.10180999338626862,HSx3,year,hot_spell_duration,days,7
09176_Eichstätt,0.06577373296022415,HSx3,year,hot_spell_duration,days,7
09177_Erding,0.04443359375,HSx3,year,hot_spell_duration,days,7
09178_Freising,0.08998662233352661,HSx3,year,hot_spell_duration,days,7
09179_Fürstenfeldbruck,-0.1839839518070221,HSx3,year,hot_spell_duration,days,7
09180_Garmisch-Partenkirchen,-0.1286846101284027,HSx3,year,hot_spell_duration,days,7
09181_Landsberg am Lech,-0.15111494064331055,HSx3,year,hot_spell_duration,days,7
09182_Miesbach,-0.2750890254974365,HSx3,year,hot_spell_duration,days,7
09183_Mühldorf a. Inn,-0.041403189301490784,HSx3,year,hot_spell_duration,days,7
09184_München,0.022068679332733154,HSx3,year,hot_spell_duration,days,7
09185_Neuburg-Schrobenhausen,0.12883615493774414,HSx3,year,hot_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,0.04613947868347168,HSx3,year,hot_spell_duration,days,7
09187_Rosenheim,-0.08247840404510498,HSx3,year,hot_spell_duration,days,7
09188_Starnberg,-0.14735957980155945,HSx3,year,hot_spell_duration,days,7
09189_Traunstein,-0.06219564378261566,HSx3,year,hot_spell_duration,days,7
09190_Weilheim-Schongau,-0.1035950779914856,HSx3,year,hot_spell_duration,days,7
09261_09274_Region_um_Landshut,0.06663323938846588,HSx3,year,hot_spell_duration,days,7
09261_Landshut,-0.005401581525802612,HSx3,year,hot_spell_duration,days,7
09262_09275_Region_um_Passau,-0.030907556414604187,HSx3,year,hot_spell_duration,days,7
09262_Passau,-0.11675183475017548,HSx3,year,hot_spell_duration,days,7
09263_09278_Region_um_Straubing,-0.20085811614990234,HSx3,year,hot_spell_duration,days,7
09263_Straubing,-0.08197498321533203,HSx3,year,hot_spell_duration,days,7
09271_Deggendorf,-0.03233349323272705,HSx3,year,hot_spell_duration,days,7
09272_Freyung-Grafenau,-0.348758339881897,HSx3,year,hot_spell_duration,days,7
09273_Kelheim,-0.23453879356384277,HSx3,year,hot_spell_duration,days,7
09274_Landshut,0.06254797428846359,HSx3,year,hot_spell_duration,days,7
09275_Passau,-0.026928111910820007,HSx3,year,hot_spell_duration,days,7
09276_Regen,-0.16091901063919067,HSx3,year,hot_spell_duration,days,7
09277_Rottal-Inn,-0.014608651399612427,HSx3,year,hot_spell_duration,days,7
09278_Straubing-Bogen,-0.2078843116760254,HSx3,year,hot_spell_duration,days,7
09279_Dingolfing-Landau,-0.013518452644348145,HSx3,year,hot_spell_duration,days,7
09361_09371_Region_um_Amberg,-1.0451350212097168,HSx3,year,hot_spell_duration,days,7
09361_Amberg,-1.1478490829467773,HSx3,year,hot_spell_duration,days,7
09362_09375_Region_um_Regensburg,-0.30718111991882324,HSx3,year,hot_spell_duration,days,7
09362_Regensburg,-0.2797067165374756,HSx3,year,hot_spell_duration,days,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,-1.1690618991851807,HSx3,year,hot_spell_duration,days,7
09363_Weiden i.d. OPf.,-1.2450032234191895,HSx3,year,hot_spell_duration,days,7
09371_Amberg-Sulzbach,-1.0408484935760498,HSx3,year,hot_spell_duration,days,7
09372_Cham,-0.5876522064208984,HSx3,year,hot_spell_duration,days,7
09373_Neumarkt i.d. OPf.,-0.16803240776062012,HSx3,year,hot_spell_duration,days,7
09374_Neustadt a.d. Waldnaab,-1.1651968955993652,HSx3,year,hot_spell_duration,days,7
09375_Regensburg,-0.30890870094299316,HSx3,year,hot_spell_duration,days,7
09376_Schwandorf,-0.7640068531036377,HSx3,year,hot_spell_duration,days,7
09377_Tirschenreuth,-1.0073195695877075,HSx3,year,hot_spell_duration,days,7
09461_09471_Region_um_Bamberg,-0.6429259777069092,HSx3,year,hot_spell_duration,days,7
09461_Bamberg,-0.8255693912506104,HSx3,year,hot_spell_duration,days,7
09462_09472_Region_um_Bayreuth,-0.7610799074172974,HSx3,year,hot_spell_duration,days,7
09462_Bayreuth,-0.7851690053939819,HSx3,year,hot_spell_duration,days,7
09463_09473_Region_um_Coburg,-0.7736611366271973,HSx3,year,hot_spell_duration,days,7
09463_Coburg,-0.9056148529052734,HSx3,year,hot_spell_duration,days,7
09464_09475_Region_um_Hof,-0.4915604591369629,HSx3,year,hot_spell_duration,days,7
09464_Hof,-0.6728228330612183,HSx3,year,hot_spell_duration,days,7
09471_Bamberg,-0.6339137554168701,HSx3,year,hot_spell_duration,days,7
09472_Bayreuth,-0.7597475051879883,HSx3,year,hot_spell_duration,days,7
09473_Coburg,-0.7639222145080566,HSx3,year,hot_spell_duration,days,7
09474_Forchheim,-0.7620635032653809,HSx3,year,hot_spell_duration,days,7
09475_Hof,-0.4799400568008423,HSx3,year,hot_spell_duration,days,7
09476_Kronach,-0.4255845546722412,HSx3,year,hot_spell_duration,days,7
09477_Kulmbach,-0.7473418712615967,HSx3,year,hot_spell_duration,days,7
09478_Lichtenfels,-0.6100928783416748,HSx3,year,hot_spell_duration,days,7
09479_Wunsiedel i. Fichtelgebirge,-0.6545132398605347,HSx3,year,hot_spell_duration,days,7
09561_09571_Region_um_Ansbach,0.08514997363090515,HSx3,year,hot_spell_duration,days,7
09561_Ansbach,0.06590113043785095,HSx3,year,hot_spell_duration,days,7
09562_09572_09564_09563_Region_um_Erlangen,-0.06762456893920898,HSx3,year,hot_spell_duration,days,7
09562_Erlangen,-0.4261441230773926,HSx3,year,hot_spell_duration,days,7
09563_09573_09562_09564_Region_um_Fürth,0.022989749908447266,HSx3,year,hot_spell_duration,days,7
09563_Fürth,0.13333334028720856,HSx3,year,hot_spell_duration,days,7
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,-0.17610979080200195,HSx3,year,hot_spell_duration,days,7
09564_Nürnberg,0.13333334028720856,HSx3,year,hot_spell_duration,days,7
09565_09576_09564_Region_um_Schwabach,-0.0900425910949707,HSx3,year,hot_spell_duration,days,7
09565_Schwabach,0.13333334028720856,HSx3,year,hot_spell_duration,days,7
09571_Ansbach,0.084344781935215,HSx3,year,hot_spell_duration,days,7
09572_Erlangen-Höchstadt,-0.11539840698242188,HSx3,year,hot_spell_duration,days,7
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,0.06974220275878906,HSx3,year,hot_spell_duration,days,7
09573_Fürth,0.02921581268310547,HSx3,year,hot_spell_duration,days,7
09574_Nürnberger Land,-0.4223775863647461,HSx3,year,hot_spell_duration,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.1002407968044281,HSx3,year,hot_spell_duration,days,7
09576_Roth,-0.14993619918823242,HSx3,year,hot_spell_duration,days,7
09577_Weißenburg-Gunzenhausen,0.03482446074485779,HSx3,year,hot_spell_duration,days,7
09661_09671_09676_Region_um_Aschaffenburg,0.06965576112270355,HSx3,year,hot_spell_duration,days,7
09661_Aschaffenburg,-0.15113210678100586,HSx3,year,hot_spell_duration,days,7
09662_09678_Region_um_Schweinfurt,0.0912705808877945,HSx3,year,hot_spell_duration,days,7
09662_Schweinfurt,0.10000000149011612,HSx3,year,hot_spell_duration,days,7
09663_09679_Region_um_Würzburg,0.10000000149011612,HSx3,year,hot_spell_duration,days,7
09663_Würzburg,0.10000000149011612,HSx3,year,hot_spell_duration,days,7
09671_Aschaffenburg,0.023578092455863953,HSx3,year,hot_spell_duration,days,7
09672_Bad Kissingen,-0.07184505462646484,HSx3,year,hot_spell_duration,days,7
09673_Rhön-Grabfeld,-0.43538808822631836,HSx3,year,hot_spell_duration,days,7
09674_Haßberge,-0.6145420074462891,HSx3,year,hot_spell_duration,days,7
09675_Kitzingen,0.10000000149011612,HSx3,year,hot_spell_duration,days,7
09676_Miltenberg,0.09132955968379974,HSx3,year,hot_spell_duration,days,7
09677_Main-Spessart,0.07352990657091141,HSx3,year,hot_spell_duration,days,7
09678_Schweinfurt,0.09089462459087372,HSx3,year,hot_spell_duration,days,7
09679_Würzburg,0.10000000149011612,HSx3,year,hot_spell_duration,days,7
09761_09772_09771_Region_um_Augsburg,0.03318297863006592,HSx3,year,hot_spell_duration,days,7
09761_Augsburg,0.025391414761543274,HSx3,year,hot_spell_duration,days,7
09762_09777_Region_um_Kaufbeuren,-0.27528834342956543,HSx3,year,hot_spell_duration,days,7
09762_Kaufbeuren,-0.13408119976520538,HSx3,year,hot_spell_duration,days,7
09763_09780_Region_um_Kempten_(Allgäu),-0.22835344076156616,HSx3,year,hot_spell_duration,days,7
09763_Kempten (Allgäu),-0.28972044587135315,HSx3,year,hot_spell_duration,days,7
09764_09778_08436_Region_um_Memmingen,-0.03331759572029114,HSx3,year,hot_spell_duration,days,7
09764_Memmingen,-0.1666666716337204,HSx3,year,hot_spell_duration,days,7
09771_Aichach-Friedberg,0.06382317841053009,HSx3,year,hot_spell_duration,days,7
09772_Augsburg,0.012231171131134033,HSx3,year,hot_spell_duration,days,7
09773_Dillingen a.d. Donau,0.12285995483398438,HSx3,year,hot_spell_duration,days,7
09774_Günzburg,0.09439229965209961,HSx3,year,hot_spell_duration,days,7
09775_Neu-Ulm,0.04650703817605972,HSx3,year,hot_spell_duration,days,7
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),-0.12400054931640625,HSx3,year,hot_spell_duration,days,7
09776_Lindau (Bodensee),-0.09313047677278519,HSx3,year,hot_spell_duration,days,7
09777_Ostallgäu,-0.28245607018470764,HSx3,year,hot_spell_duration,days,7
09778_Unterallgäu,-0.0967826321721077,HSx3,year,hot_spell_duration,days,7
09779_Donau-Ries,0.07115795463323593,HSx3,year,hot_spell_duration,days,7
09780_Oberallgäu,-0.22566097974777222,HSx3,year,hot_spell_duration,days,7
10041_Regionalverband Saarbrücken,-0.21316134929656982,HSx3,year,hot_spell_duration,days,7
10042_Merzig-Wadern,-0.1518678069114685,HSx3,year,hot_spell_duration,days,7
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,-0.23697948455810547,HSx3,year,hot_spell_duration,days,7
10043_Neunkirchen,-0.37175095081329346,HSx3,year,hot_spell_duration,days,7
10044_Saarlouis,-0.2387171983718872,HSx3,year,hot_spell_duration,days,7
10045_Saarpfalz-Kreis,-0.23058092594146729,HSx3,year,hot_spell_duration,days,7
10046_St. Wendel,-0.12802332639694214,HSx3,year,hot_spell_duration,days,7
11000_Berlin,-2.154542922973633,HSx3,year,hot_spell_duration,days,7
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,-1.8232911825180054,HSx3,year,hot_spell_duration,days,7
12051_Brandenburg an der Havel,-1.845765233039856,HSx3,year,hot_spell_duration,days,7
12052_12071_Region_um_Cottbus,-2.734659194946289,HSx3,year,hot_spell_duration,days,7
12052_Cottbus,-2.8102612495422363,HSx3,year,hot_spell_duration,days,7
12053_12067_12064_Region_um_Frankfurt_(Oder),-2.4619317054748535,HSx3,year,hot_spell_duration,days,7
12053_Frankfurt (Oder),-2.5418143272399902,HSx3,year,hot_spell_duration,days,7
12054_12063_12069_11000_12051_Region_um_Potsdam,-1.888916254043579,HSx3,year,hot_spell_duration,days,7
12054_Potsdam,-2.2216086387634277,HSx3,year,hot_spell_duration,days,7
12060_Barnim,-2.0388827323913574,HSx3,year,hot_spell_duration,days,7
12061_Dahme-Spreewald,-2.3847899436950684,HSx3,year,hot_spell_duration,days,7
12062_Elbe-Elster,-1.7418930530548096,HSx3,year,hot_spell_duration,days,7
12063_Havelland,-1.8620504140853882,HSx3,year,hot_spell_duration,days,7
12064_Märkisch-Oderland,-2.3829073905944824,HSx3,year,hot_spell_duration,days,7
12065_Oberhavel,-1.7845804691314697,HSx3,year,hot_spell_duration,days,7
12066_Oberspreewald-Lausitz,-2.1824123859405518,HSx3,year,hot_spell_duration,days,7
12067_Oder-Spree,-2.531831741333008,HSx3,year,hot_spell_duration,days,7
12068_Ostprignitz-Ruppin,-1.5947974920272827,HSx3,year,hot_spell_duration,days,7
12069_Potsdam-Mittelmark,-1.7952440977096558,HSx3,year,hot_spell_duration,days,7
12070_Prignitz,-1.0231890678405762,HSx3,year,hot_spell_duration,days,7
12071_Spree-Neiße,-2.7269418239593506,HSx3,year,hot_spell_duration,days,7
12072_Teltow-Fläming,-2.058069944381714,HSx3,year,hot_spell_duration,days,7
12073_Uckermark,-1.7646093368530273,HSx3,year,hot_spell_duration,days,7
13003_13072_Region_um_Rostock,-0.3546963930130005,HSx3,year,hot_spell_duration,days,7
13003_Rostock,-0.41681987047195435,HSx3,year,hot_spell_duration,days,7
13004_13076_13074_Region_um_Schwerin,-0.4134892225265503,HSx3,year,hot_spell_duration,days,7
13004_Schwerin,-0.4617122411727905,HSx3,year,hot_spell_duration,days,7
13071_Mecklenburgische Seenplatte,-0.8058441281318665,HSx3,year,hot_spell_duration,days,7
13072_Rostock,-0.3514794111251831,HSx3,year,hot_spell_duration,days,7
13073_Vorpommern-Rügen,-0.22787758708000183,HSx3,year,hot_spell_duration,days,7
13074_Nordwestmecklenburg,-0.2510749101638794,HSx3,year,hot_spell_duration,days,7
13075_Vorpommern-Greifswald,-0.8715568780899048,HSx3,year,hot_spell_duration,days,7
13076_Ludwigslust-Parchim,-0.553591251373291,HSx3,year,hot_spell_duration,days,7
14511_14524_14521_14522_Region_um_Chemnitz,-0.8572450876235962,HSx3,year,hot_spell_duration,days,7
14511_Chemnitz,-0.755618691444397,HSx3,year,hot_spell_duration,days,7
14521_Erzgebirgskreis,-0.5084704160690308,HSx3,year,hot_spell_duration,days,7
14522_Mittelsachsen,-1.0644153356552124,HSx3,year,hot_spell_duration,days,7
14523_Vogtlandkreis,-0.6823573112487793,HSx3,year,hot_spell_duration,days,7
14524_Zwickau,-1.097758412361145,HSx3,year,hot_spell_duration,days,7
14612_14627_14625_14628_Region_um_Dresden,-0.8389556407928467,HSx3,year,hot_spell_duration,days,7
14612_Dresden,-1.0194790363311768,HSx3,year,hot_spell_duration,days,7
14625_Bautzen,-1.0559117794036865,HSx3,year,hot_spell_duration,days,7
14626_Görlitz,-1.4484140872955322,HSx3,year,hot_spell_duration,days,7
14627_Meißen,-0.9498720169067383,HSx3,year,hot_spell_duration,days,7
14628_Sächsische Schweiz-Osterzgebirge,-0.881676197052002,HSx3,year,hot_spell_duration,days,7
14713_14729_14730_Region_um_Leipzig,-0.8208506107330322,HSx3,year,hot_spell_duration,days,7
14713_Leipzig,-0.7224338054656982,HSx3,year,hot_spell_duration,days,7
14729_Leipzig,-1.0799970626831055,HSx3,year,hot_spell_duration,days,7
14730_Nordsachsen,-0.9308767318725586,HSx3,year,hot_spell_duration,days,7
15001_15091_15082_Region_um_Dessau-Rolau,-1.3117256164550781,HSx3,year,hot_spell_duration,days,7
15001_Dessau-Roßlau,-1.227992296218872,HSx3,year,hot_spell_duration,days,7
15002_15088_Region_um_Halle_(Saale),-0.6304023861885071,HSx3,year,hot_spell_duration,days,7
15002_Halle (Saale),-0.6324893236160278,HSx3,year,hot_spell_duration,days,7
15003_15083_15089_15086_Region_um_Magdeburg,-1.1295948028564453,HSx3,year,hot_spell_duration,days,7
15003_Magdeburg,-1.2006169557571411,HSx3,year,hot_spell_duration,days,7
15081_Altmarkkreis Salzwedel,-0.9568547010421753,HSx3,year,hot_spell_duration,days,7
15082_Anhalt-Bitterfeld,-1.1486093997955322,HSx3,year,hot_spell_duration,days,7
15083_Börde,-0.9095656871795654,HSx3,year,hot_spell_duration,days,7
15084_Burgenlandkreis,-0.965524435043335,HSx3,year,hot_spell_duration,days,7
15085_Harz,-0.29340362548828125,HSx3,year,hot_spell_duration,days,7
15086_Jerichower Land,-1.5154937505722046,HSx3,year,hot_spell_duration,days,7
15087_Mansfeld-Südharz,-0.6366310119628906,HSx3,year,hot_spell_duration,days,7
15088_Saalekreis,-0.6301977038383484,HSx3,year,hot_spell_duration,days,7
15089_Salzlandkreis,-1.0576894283294678,HSx3,year,hot_spell_duration,days,7
15090_Stendal,-1.6031498908996582,HSx3,year,hot_spell_duration,days,7
15091_Wittenberg,-1.4439774751663208,HSx3,year,hot_spell_duration,days,7
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,-0.9804768562316895,HSx3,year,hot_spell_duration,days,7
16051_Erfurt,-1.135749101638794,HSx3,year,hot_spell_duration,days,7
16052_16076_15084_16074_Region_um_Gera,-1.3614485263824463,HSx3,year,hot_spell_duration,days,7
16052_Gera,-1.8622405529022217,HSx3,year,hot_spell_duration,days,7
16053_16074_16071_16055_Region_um_Jena,-1.5756924152374268,HSx3,year,hot_spell_duration,days,7
16053_Jena,-1.5346295833587646,HSx3,year,hot_spell_duration,days,7
16054_16066_16069_16070_Region_um_Suhl,-0.5339188575744629,HSx3,year,hot_spell_duration,days,7
16054_Suhl,-0.20862752199172974,HSx3,year,hot_spell_duration,days,7
16055_16071_Region_um_Weimar,-1.39802885055542,HSx3,year,hot_spell_duration,days,7
16055_Weimar,-1.4783906936645508,HSx3,year,hot_spell_duration,days,7
16056_16063_06636_Region_um_Eisenach,-0.707555890083313,HSx3,year,hot_spell_duration,days,7
16056_Eisenach,-0.9266699552536011,HSx3,year,hot_spell_duration,days,7
16061_Eichsfeld,-0.24209678173065186,HSx3,year,hot_spell_duration,days,7
16062_Nordhausen,-0.5109152793884277,HSx3,year,hot_spell_duration,days,7
16063_Wartburgkreis,-0.858001708984375,HSx3,year,hot_spell_duration,days,7
16064_Unstrut-Hainich-Kreis,-0.7129626274108887,HSx3,year,hot_spell_duration,days,7
16065_Kyffhäuserkreis,-0.781766414642334,HSx3,year,hot_spell_duration,days,7
16066_Schmalkalden-Meiningen,-0.48603665828704834,HSx3,year,hot_spell_duration,days,7
16067_Gotha,-0.9196285009384155,HSx3,year,hot_spell_duration,days,7
16068_Sömmerda,-0.8014264106750488,HSx3,year,hot_spell_duration,days,7
16069_Hildburghausen,-0.49306511878967285,HSx3,year,hot_spell_duration,days,7
16070_Ilm-Kreis,-0.7159497737884521,HSx3,year,hot_spell_duration,days,7
16071_Weimarer Land,-1.388819932937622,HSx3,year,hot_spell_duration,days,7
16072_Sonneberg,-0.25395846366882324,HSx3,year,hot_spell_duration,days,7
16073_Saalfeld-Rudolstadt,-0.8190689086914062,HSx3,year,hot_spell_duration,days,7
16074_Saale-Holzland-Kreis,-1.775343656539917,HSx3,year,hot_spell_duration,days,7
16075_Saale-Orla-Kreis,-0.9707819223403931,HSx3,year,hot_spell_duration,days,7
16076_Greiz,-1.523001790046692,HSx3,year,hot_spell_duration,days,7
16077_Altenburger Land,-1.536463975906372,HSx3,year,hot_spell_duration,days,7
