region,HSx3_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.9142639636993408,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,0.8504471778869629,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,1.3493698835372925,HSx3,year,hot_spell_duration,days,7
01002_Kiel,1.131706953048706,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.8184927701950073,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,1.851330280303955,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.5042771100997925,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,1.944249153137207,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,1.3591806888580322,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,2.6191177368164062,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,0.8910322785377502,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,0.9281936883926392,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,2.2884020805358887,HSx3,year,hot_spell_duration,days,7
01057_Plön,1.2216832637786865,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,1.4128369092941284,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,0.9180724620819092,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,2.0169081687927246,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,2.040156364440918,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,2.3640170097351074,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,2.5730409622192383,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,3.192974090576172,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,3.227168083190918,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,2.9636855125427246,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,3.142489433288574,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,3.152339220046997,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,3.1889986991882324,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,3.138975143432617,HSx3,year,hot_spell_duration,days,7
03153_Goslar,2.3004727363586426,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,3.153243064880371,HSx3,year,hot_spell_duration,days,7
03155_Northeim,3.1607985496520996,HSx3,year,hot_spell_duration,days,7
03157_Peine,3.3071696758270264,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,3.0364344120025635,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,3.0822629928588867,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,3.293771266937256,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,2.7951059341430664,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,2.942898750305176,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,3.1511337757110596,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,2.8952925205230713,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),3.1014065742492676,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,3.066664695739746,HSx3,year,hot_spell_duration,days,7
03351_Celle,3.1132774353027344,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,1.7934491634368896,HSx3,year,hot_spell_duration,days,7
03353_Harburg,2.5763354301452637,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,3.2090792655944824,HSx3,year,hot_spell_duration,days,7
