region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,2.7756707668304443,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,3.0326974391937256,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,3.1797776222229004,HSx3,year,hot_spell_duration,days,7
01002_Kiel,2.8427035808563232,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,3.355895519256592,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,3.375425338745117,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,3.340291738510132,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,3.901477098464966,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,3.7294204235076904,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,4.233564853668213,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,2.6657750606536865,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,1.9593815803527832,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,4.436954498291016,HSx3,year,hot_spell_duration,days,7
01057_Plön,2.891681432723999,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,3.3421220779418945,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,2.7689294815063477,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,3.711662769317627,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,4.092118263244629,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,4.047033309936523,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,4.444228649139404,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,4.477921009063721,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,4.897486686706543,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,3.730882406234741,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,4.123682975769043,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,4.74589729309082,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,4.409567832946777,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,4.946073532104492,HSx3,year,hot_spell_duration,days,7
03153_Goslar,2.8880670070648193,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,4.382660865783691,HSx3,year,hot_spell_duration,days,7
03155_Northeim,3.8715262413024902,HSx3,year,hot_spell_duration,days,7
03157_Peine,4.531607627868652,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,4.121190071105957,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,3.772327423095703,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,4.13311767578125,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,3.937779188156128,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,3.7014083862304688,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,3.9984254837036133,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,3.6331770420074463,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),4.153192043304443,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,4.002384662628174,HSx3,year,hot_spell_duration,days,7
03351_Celle,4.167396545410156,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,4.030594825744629,HSx3,year,hot_spell_duration,days,7
03353_Harburg,4.2244343757629395,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,4.486616134643555,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,4.0871734619140625,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,4.008893966674805,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),3.9609148502349854,HSx3,year,hot_spell_duration,days,7
03358_Heidekreis,3.999253988265991,HSx3,year,hot_spell_duration,days,7
03359_Stade,4.127810478210449,HSx3,year,hot_spell_duration,days,7
03360_Uelzen,4.0868821144104,HSx3,year,hot_spell_duration,days,7
03361_Verden,3.921468496322632,HSx3,year,hot_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,3.9813008308410645,HSx3,year,hot_spell_duration,days,7
03401_Delmenhorst,3.744255542755127,HSx3,year,hot_spell_duration,days,7
03402_03452_03457_Region_um_Emden,3.8876705169677734,HSx3,year,hot_spell_duration,days,7
03402_Emden,3.4426426887512207,HSx3,year,hot_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),4.080416202545166,HSx3,year,hot_spell_duration,days,7
03403_Oldenburg (Oldb),4.206437110900879,HSx3,year,hot_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,4.696865081787109,HSx3,year,hot_spell_duration,days,7
03404_Osnabrück,4.389912128448486,HSx3,year,hot_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,3.207982063293457,HSx3,year,hot_spell_duration,days,7
03405_Wilhelmshaven,2.5043325424194336,HSx3,year,hot_spell_duration,days,7
03451_Ammerland,4.203400611877441,HSx3,year,hot_spell_duration,days,7
03452_Aurich,3.6993937492370605,HSx3,year,hot_spell_duration,days,7
03453_Cloppenburg,4.346503734588623,HSx3,year,hot_spell_duration,days,7
03454_Emsland,4.774005889892578,HSx3,year,hot_spell_duration,days,7
03455_Friesland,3.331939935684204,HSx3,year,hot_spell_duration,days,7
03456_Grafschaft Bentheim,5.357640266418457,HSx3,year,hot_spell_duration,days,7
03457_Leer,4.165021896362305,HSx3,year,hot_spell_duration,days,7
03458_Oldenburg,4.037548065185547,HSx3,year,hot_spell_duration,days,7
03459_Osnabrück,4.544882774353027,HSx3,year,hot_spell_duration,days,7
03460_Vechta,4.310553550720215,HSx3,year,hot_spell_duration,days,7
03461_Wesermarsch,4.010619163513184,HSx3,year,hot_spell_duration,days,7
03462_Wittmund,3.4816529750823975,HSx3,year,hot_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,3.9874744415283203,HSx3,year,hot_spell_duration,days,7
04011_Bremen,4.044034004211426,HSx3,year,hot_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,4.033148765563965,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,4.369045257568359,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,6.085578918457031,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,6.40079927444458,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,6.016005992889404,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,6.129539966583252,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,5.185285568237305,HSx3,year,hot_spell_duration,days,7
05113_Essen,4.995599746704102,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,6.2572126388549805,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,6.247690677642822,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,6.202927589416504,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,6.071656227111816,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,5.558401107788086,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,5.849267959594727,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,5.966168403625488,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,6.00275993347168,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,4.609899997711182,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,4.27136754989624,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,5.197754383087158,HSx3,year,hot_spell_duration,days,7
05122_Solingen,5.253215789794922,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,4.375007629394531,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,4.354818344116211,HSx3,year,hot_spell_duration,days,7
05154_Kleve,6.32159948348999,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,5.3667497634887695,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,6.46183967590332,HSx3,year,hot_spell_duration,days,7
05166_Viersen,6.3008832931518555,HSx3,year,hot_spell_duration,days,7
05170_Wesel,6.151291847229004,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,5.147476673126221,HSx3,year,hot_spell_duration,days,7
05314_Bonn,6.269306182861328,HSx3,year,hot_spell_duration,days,7
05315_Köln,6.831593036651611,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,5.875296592712402,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,5.7162981033325195,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,3.52013897895813,HSx3,year,hot_spell_duration,days,7
05358_Düren,4.576733589172363,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,6.083070755004883,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,3.629565715789795,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,5.915594100952148,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,4.185258388519287,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,5.503415107727051,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,5.006929874420166,HSx3,year,hot_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,5.904455184936523,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,5.750144004821777,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,5.4956817626953125,HSx3,year,hot_spell_duration,days,7
05513_Gelsenkirchen,5.3621320724487305,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,5.107200622558594,HSx3,year,hot_spell_duration,days,7
05515_Münster,4.96779727935791,HSx3,year,hot_spell_duration,days,7
05554_Borken,5.922369003295898,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,5.745893478393555,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,5.898326396942139,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,4.896326065063477,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,4.889326095581055,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,4.386208534240723,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,4.714888572692871,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,5.013879299163818,HSx3,year,hot_spell_duration,days,7
05758_Herford,4.224352836608887,HSx3,year,hot_spell_duration,days,7
05762_Höxter,3.689957857131958,HSx3,year,hot_spell_duration,days,7
05766_Lippe,3.890226364135742,HSx3,year,hot_spell_duration,days,7
05770_Minden-Lübbecke,4.312119483947754,HSx3,year,hot_spell_duration,days,7
05774_Paderborn,3.4523277282714844,HSx3,year,hot_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,4.914724349975586,HSx3,year,hot_spell_duration,days,7
05911_Bochum,4.3337483406066895,HSx3,year,hot_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,4.64470100402832,HSx3,year,hot_spell_duration,days,7
05913_Dortmund,4.201323509216309,HSx3,year,hot_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,3.5804150104522705,HSx3,year,hot_spell_duration,days,7
