region,HSx3_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.0239122211933136,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,0.09900160133838654,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,0.0727333053946495,HSx3,year,hot_spell_duration,days,7
01002_Kiel,0.05878635495901108,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.343211829662323,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,0.4114374816417694,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.15453551709651947,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,0.22523659467697144,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,-0.03640614449977875,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,0.4349288046360016,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,-0.02586546167731285,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,0.06707671284675598,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,0.09795796871185303,HSx3,year,hot_spell_duration,days,7
01057_Plön,0.06296533346176147,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.07837848365306854,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,0.02194289118051529,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,0.28583431243896484,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,0.07579876482486725,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,0.3160679042339325,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,0.41975730657577515,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.0464568138122559,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,1.1965553760528564,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.9918184280395508,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,1.2141191959381104,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,0.9202359318733215,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,0.9138613939285278,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,0.9382299780845642,HSx3,year,hot_spell_duration,days,7
03153_Goslar,0.2284066528081894,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,0.8802090287208557,HSx3,year,hot_spell_duration,days,7
03155_Northeim,0.7306842803955078,HSx3,year,hot_spell_duration,days,7
03157_Peine,1.2483543157577515,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,1.0903632640838623,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,0.5248503684997559,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,1.0920863151550293,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,0.485259085893631,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,0.6529266834259033,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,0.9590997099876404,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,0.4340621829032898,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),0.6767249703407288,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,0.8719038963317871,HSx3,year,hot_spell_duration,days,7
03351_Celle,0.711898684501648,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,0.05820675194263458,HSx3,year,hot_spell_duration,days,7
03353_Harburg,0.43976157903671265,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,0.8104524612426758,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,0.5255657434463501,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,0.31182047724723816,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),0.33553123474121094,HSx3,year,hot_spell_duration,days,7
03358_Heidekreis,0.5953912734985352,HSx3,year,hot_spell_duration,days,7
03359_Stade,0.14663079380989075,HSx3,year,hot_spell_duration,days,7
03360_Uelzen,0.6395742297172546,HSx3,year,hot_spell_duration,days,7
03361_Verden,0.32051658630371094,HSx3,year,hot_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.4120284914970398,HSx3,year,hot_spell_duration,days,7
03401_Delmenhorst,0.4333333373069763,HSx3,year,hot_spell_duration,days,7
03402_03452_03457_Region_um_Emden,0.19318675994873047,HSx3,year,hot_spell_duration,days,7
03402_Emden,0.08008593320846558,HSx3,year,hot_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.3833392560482025,HSx3,year,hot_spell_duration,days,7
03403_Oldenburg (Oldb),0.5609749555587769,HSx3,year,hot_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,0.9981340169906616,HSx3,year,hot_spell_duration,days,7
03404_Osnabrück,0.8999999761581421,HSx3,year,hot_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,0.1022971123456955,HSx3,year,hot_spell_duration,days,7
03405_Wilhelmshaven,0.004473462700843811,HSx3,year,hot_spell_duration,days,7
03451_Ammerland,0.4733748435974121,HSx3,year,hot_spell_duration,days,7
03452_Aurich,0.052744001150131226,HSx3,year,hot_spell_duration,days,7
03453_Cloppenburg,0.6242031455039978,HSx3,year,hot_spell_duration,days,7
03454_Emsland,0.6582348346710205,HSx3,year,hot_spell_duration,days,7
03455_Friesland,0.1195300966501236,HSx3,year,hot_spell_duration,days,7
03456_Grafschaft Bentheim,0.6272773742675781,HSx3,year,hot_spell_duration,days,7
03457_Leer,0.37713438272476196,HSx3,year,hot_spell_duration,days,7
03458_Oldenburg,0.43444061279296875,HSx3,year,hot_spell_duration,days,7
03459_Osnabrück,0.8938248753547668,HSx3,year,hot_spell_duration,days,7
03460_Vechta,0.6318789124488831,HSx3,year,hot_spell_duration,days,7
03461_Wesermarsch,0.21767613291740417,HSx3,year,hot_spell_duration,days,7
03462_Wittmund,0.03686489164829254,HSx3,year,hot_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.2762836813926697,HSx3,year,hot_spell_duration,days,7
04011_Bremen,0.3831186592578888,HSx3,year,hot_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,0.1007004976272583,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,-0.028212502598762512,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,1.659865140914917,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,1.7318871021270752,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,1.3926987648010254,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,1.4632258415222168,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,1.3961213827133179,HSx3,year,hot_spell_duration,days,7
05113_Essen,1.6213250160217285,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,1.4118225574493408,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,1.3583263158798218,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,1.5407166481018066,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,1.502369999885559,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,1.5452803373336792,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,1.6029701232910156,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,1.3449022769927979,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,1.4427406787872314,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.6837650537490845,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,0.49961698055267334,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,1.4032907485961914,HSx3,year,hot_spell_duration,days,7
05122_Solingen,1.2773799896240234,HSx3,year,hot_spell_duration,days,7
