region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
04012_03352_03461_Region_um_Bremerhaven,0.3844027519226074,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,0.39574286341667175,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,1.3219759464263916,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,1.4602577686309814,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,1.160834789276123,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,1.3071720600128174,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,1.0439589023590088,HSx3,year,hot_spell_duration,days,7
05113_Essen,1.1040297746658325,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,1.172795295715332,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,1.2644309997558594,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,1.2364811897277832,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,1.1266045570373535,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,1.2115497589111328,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,1.2276744842529297,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,1.1524715423583984,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,1.2616183757781982,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.911231279373169,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,0.8651001453399658,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,1.025266170501709,HSx3,year,hot_spell_duration,days,7
05122_Solingen,1.110263705253601,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.9231549501419067,HSx3,year,hot_spell_duration,days,7
05124_Wuppertal,0.9490872621536255,HSx3,year,hot_spell_duration,days,7
05154_Kleve,1.0332083702087402,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,1.2095561027526855,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,1.3266358375549316,HSx3,year,hot_spell_duration,days,7
05166_Viersen,1.174970269203186,HSx3,year,hot_spell_duration,days,7
05170_Wesel,1.0259053707122803,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,1.2646819353103638,HSx3,year,hot_spell_duration,days,7
05314_Bonn,1.238311529159546,HSx3,year,hot_spell_duration,days,7
05315_Köln,1.5022215843200684,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,1.2098478078842163,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,1.468609094619751,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,0.7343257665634155,HSx3,year,hot_spell_duration,days,7
05358_Düren,1.0222201347351074,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,1.268186330795288,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,0.678743839263916,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,1.1605050563812256,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,0.9339528679847717,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,1.1057844161987305,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,1.2679855823516846,HSx3,year,hot_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,1.0971074104309082,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,1.2265746593475342,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,1.1067380905151367,HSx3,year,hot_spell_duration,days,7
