region,ci_name,ci_frequency,standard_name,units,mid_month,HSx3_year_2C_rcp85_ensemble-robustness
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,HSx3,year,hot_spell_duration,days,7,1
05117_Mülheim an der Ruhr,HSx3,year,hot_spell_duration,days,7,1
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,HSx3,year,hot_spell_duration,days,7,2
05119_Oberhausen,HSx3,year,hot_spell_duration,days,7,1
05120_05124_05122_05378_05374_Region_um_Remscheid,HSx3,year,hot_spell_duration,days,7,2
05120_Remscheid,HSx3,year,hot_spell_duration,days,7,1
05122_05158_05124_05378_05120_Region_um_Solingen,HSx3,year,hot_spell_duration,days,7,2
05122_Solingen,HSx3,year,hot_spell_duration,days,7,2
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,HSx3,year,hot_spell_duration,days,7,2
05124_Wuppertal,HSx3,year,hot_spell_duration,days,7,1
05154_Kleve,HSx3,year,hot_spell_duration,days,7,1
05158_Mettmann,HSx3,year,hot_spell_duration,days,7,1
05162_Rhein-Kreis Neuss,HSx3,year,hot_spell_duration,days,7,1
05166_Viersen,HSx3,year,hot_spell_duration,days,7,1
05170_Wesel,HSx3,year,hot_spell_duration,days,7,1
05314_05382_Region_um_Bonn,HSx3,year,hot_spell_duration,days,7,2
05314_Bonn,HSx3,year,hot_spell_duration,days,7,1
05315_Köln,HSx3,year,hot_spell_duration,days,7,2
05316_05315_05378_05158_Region_um_Leverkusen,HSx3,year,hot_spell_duration,days,7,2
05316_Leverkusen,HSx3,year,hot_spell_duration,days,7,2
05334_Städteregion Aachen,HSx3,year,hot_spell_duration,days,7,1
05358_Düren,HSx3,year,hot_spell_duration,days,7,2
05362_Rhein-Erft-Kreis,HSx3,year,hot_spell_duration,days,7,2
05366_Euskirchen,HSx3,year,hot_spell_duration,days,7,2
05370_Heinsberg,HSx3,year,hot_spell_duration,days,7,1
05374_Oberbergischer Kreis,HSx3,year,hot_spell_duration,days,7,1
05378_Rheinisch-Bergischer Kreis,HSx3,year,hot_spell_duration,days,7,2
05382_Rhein-Sieg-Kreis,HSx3,year,hot_spell_duration,days,7,2
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,HSx3,year,hot_spell_duration,days,7,1
05512_Bottrop,HSx3,year,hot_spell_duration,days,7,1
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,HSx3,year,hot_spell_duration,days,7,1
05513_Gelsenkirchen,HSx3,year,hot_spell_duration,days,7,1
05515_05566_05558_05570_Region_um_Münster,HSx3,year,hot_spell_duration,days,7,1
05515_Münster,HSx3,year,hot_spell_duration,days,7,1
05554_Borken,HSx3,year,hot_spell_duration,days,7,1
05558_Coesfeld,HSx3,year,hot_spell_duration,days,7,1
05562_Recklinghausen,HSx3,year,hot_spell_duration,days,7,1
05566_Steinfurt,HSx3,year,hot_spell_duration,days,7,1
05570_Warendorf,HSx3,year,hot_spell_duration,days,7,1
05711_05754_05758_05766_Region_um_Bielefeld,HSx3,year,hot_spell_duration,days,7,1
05711_Bielefeld,HSx3,year,hot_spell_duration,days,7,1
05754_Gütersloh,HSx3,year,hot_spell_duration,days,7,1
05758_Herford,HSx3,year,hot_spell_duration,days,7,1
05762_Höxter,HSx3,year,hot_spell_duration,days,7,1
05766_Lippe,HSx3,year,hot_spell_duration,days,7,1
05770_Minden-Lübbecke,HSx3,year,hot_spell_duration,days,7,1
05774_Paderborn,HSx3,year,hot_spell_duration,days,7,1
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,HSx3,year,hot_spell_duration,days,7,1
05911_Bochum,HSx3,year,hot_spell_duration,days,7,2
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,HSx3,year,hot_spell_duration,days,7,2
05913_Dortmund,HSx3,year,hot_spell_duration,days,7,1
05914_05954_05913_05978_05962_Region_um_Hagen,HSx3,year,hot_spell_duration,days,7,2
05914_Hagen,HSx3,year,hot_spell_duration,days,7,1
05915_05978_05974_05570_05558_Region_um_Hamm,HSx3,year,hot_spell_duration,days,7,1
05915_Hamm,HSx3,year,hot_spell_duration,days,7,1
05916_05513_05562_05911_Region_um_Herne,HSx3,year,hot_spell_duration,days,7,2
05916_Herne,HSx3,year,hot_spell_duration,days,7,1
05954_Ennepe-Ruhr-Kreis,HSx3,year,hot_spell_duration,days,7,1
05958_Hochsauerlandkreis,HSx3,year,hot_spell_duration,days,7,1
05962_Märkischer Kreis,HSx3,year,hot_spell_duration,days,7,1
05966_Olpe,HSx3,year,hot_spell_duration,days,7,1
