region,ci_name,ci_frequency,standard_name,units,mid_month,HSx3_year_2C_rcp85_ensemble-robustness
09577_Weißenburg-Gunzenhausen,HSx3,year,hot_spell_duration,days,7,2
09661_09671_09676_Region_um_Aschaffenburg,HSx3,year,hot_spell_duration,days,7,2
09661_Aschaffenburg,HSx3,year,hot_spell_duration,days,7,2
09662_09678_Region_um_Schweinfurt,HSx3,year,hot_spell_duration,days,7,2
09662_Schweinfurt,HSx3,year,hot_spell_duration,days,7,1
09663_09679_Region_um_Würzburg,HSx3,year,hot_spell_duration,days,7,2
09663_Würzburg,HSx3,year,hot_spell_duration,days,7,2
09671_Aschaffenburg,HSx3,year,hot_spell_duration,days,7,2
09672_Bad Kissingen,HSx3,year,hot_spell_duration,days,7,2
09673_Rhön-Grabfeld,HSx3,year,hot_spell_duration,days,7,2
09674_Haßberge,HSx3,year,hot_spell_duration,days,7,2
09675_Kitzingen,HSx3,year,hot_spell_duration,days,7,2
09676_Miltenberg,HSx3,year,hot_spell_duration,days,7,2
09677_Main-Spessart,HSx3,year,hot_spell_duration,days,7,2
09678_Schweinfurt,HSx3,year,hot_spell_duration,days,7,2
09679_Würzburg,HSx3,year,hot_spell_duration,days,7,2
09761_09772_09771_Region_um_Augsburg,HSx3,year,hot_spell_duration,days,7,2
09761_Augsburg,HSx3,year,hot_spell_duration,days,7,2
09762_09777_Region_um_Kaufbeuren,HSx3,year,hot_spell_duration,days,7,2
09762_Kaufbeuren,HSx3,year,hot_spell_duration,days,7,2
09763_09780_Region_um_Kempten_(Allgäu),HSx3,year,hot_spell_duration,days,7,2
09763_Kempten (Allgäu),HSx3,year,hot_spell_duration,days,7,2
09764_09778_08436_Region_um_Memmingen,HSx3,year,hot_spell_duration,days,7,2
09764_Memmingen,HSx3,year,hot_spell_duration,days,7,2
09771_Aichach-Friedberg,HSx3,year,hot_spell_duration,days,7,2
09772_Augsburg,HSx3,year,hot_spell_duration,days,7,2
09773_Dillingen a.d. Donau,HSx3,year,hot_spell_duration,days,7,2
09774_Günzburg,HSx3,year,hot_spell_duration,days,7,2
09775_Neu-Ulm,HSx3,year,hot_spell_duration,days,7,2
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),HSx3,year,hot_spell_duration,days,7,2
09776_Lindau (Bodensee),HSx3,year,hot_spell_duration,days,7,2
09777_Ostallgäu,HSx3,year,hot_spell_duration,days,7,2
09778_Unterallgäu,HSx3,year,hot_spell_duration,days,7,2
09779_Donau-Ries,HSx3,year,hot_spell_duration,days,7,2
09780_Oberallgäu,HSx3,year,hot_spell_duration,days,7,2
10041_Regionalverband Saarbrücken,HSx3,year,hot_spell_duration,days,7,2
10042_Merzig-Wadern,HSx3,year,hot_spell_duration,days,7,2
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,HSx3,year,hot_spell_duration,days,7,2
10043_Neunkirchen,HSx3,year,hot_spell_duration,days,7,2
10044_Saarlouis,HSx3,year,hot_spell_duration,days,7,1
10045_Saarpfalz-Kreis,HSx3,year,hot_spell_duration,days,7,2
10046_St. Wendel,HSx3,year,hot_spell_duration,days,7,2
11000_Berlin,HSx3,year,hot_spell_duration,days,7,1
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,HSx3,year,hot_spell_duration,days,7,2
12051_Brandenburg an der Havel,HSx3,year,hot_spell_duration,days,7,1
12052_12071_Region_um_Cottbus,HSx3,year,hot_spell_duration,days,7,2
12052_Cottbus,HSx3,year,hot_spell_duration,days,7,2
12053_12067_12064_Region_um_Frankfurt_(Oder),HSx3,year,hot_spell_duration,days,7,2
12053_Frankfurt (Oder),HSx3,year,hot_spell_duration,days,7,2
12054_12063_12069_11000_12051_Region_um_Potsdam,HSx3,year,hot_spell_duration,days,7,2
12054_Potsdam,HSx3,year,hot_spell_duration,days,7,1
12060_Barnim,HSx3,year,hot_spell_duration,days,7,2
12061_Dahme-Spreewald,HSx3,year,hot_spell_duration,days,7,1
12062_Elbe-Elster,HSx3,year,hot_spell_duration,days,7,2
12063_Havelland,HSx3,year,hot_spell_duration,days,7,1
12064_Märkisch-Oderland,HSx3,year,hot_spell_duration,days,7,1
12065_Oberhavel,HSx3,year,hot_spell_duration,days,7,2
12066_Oberspreewald-Lausitz,HSx3,year,hot_spell_duration,days,7,2
12067_Oder-Spree,HSx3,year,hot_spell_duration,days,7,2
12068_Ostprignitz-Ruppin,HSx3,year,hot_spell_duration,days,7,1
12069_Potsdam-Mittelmark,HSx3,year,hot_spell_duration,days,7,2
12070_Prignitz,HSx3,year,hot_spell_duration,days,7,1
12071_Spree-Neiße,HSx3,year,hot_spell_duration,days,7,2
12072_Teltow-Fläming,HSx3,year,hot_spell_duration,days,7,1
12073_Uckermark,HSx3,year,hot_spell_duration,days,7,1
13003_13072_Region_um_Rostock,HSx3,year,hot_spell_duration,days,7,1
13003_Rostock,HSx3,year,hot_spell_duration,days,7,1
13004_13076_13074_Region_um_Schwerin,HSx3,year,hot_spell_duration,days,7,1
13004_Schwerin,HSx3,year,hot_spell_duration,days,7,1
13071_Mecklenburgische Seenplatte,HSx3,year,hot_spell_duration,days,7,1
13072_Rostock,HSx3,year,hot_spell_duration,days,7,1
13073_Vorpommern-Rügen,HSx3,year,hot_spell_duration,days,7,1
13074_Nordwestmecklenburg,HSx3,year,hot_spell_duration,days,7,1
13075_Vorpommern-Greifswald,HSx3,year,hot_spell_duration,days,7,2
13076_Ludwigslust-Parchim,HSx3,year,hot_spell_duration,days,7,1
14511_14524_14521_14522_Region_um_Chemnitz,HSx3,year,hot_spell_duration,days,7,2
14511_Chemnitz,HSx3,year,hot_spell_duration,days,7,1
14521_Erzgebirgskreis,HSx3,year,hot_spell_duration,days,7,2
14522_Mittelsachsen,HSx3,year,hot_spell_duration,days,7,2
14523_Vogtlandkreis,HSx3,year,hot_spell_duration,days,7,2
14524_Zwickau,HSx3,year,hot_spell_duration,days,7,1
14612_14627_14625_14628_Region_um_Dresden,HSx3,year,hot_spell_duration,days,7,2
14612_Dresden,HSx3,year,hot_spell_duration,days,7,2
14625_Bautzen,HSx3,year,hot_spell_duration,days,7,2
14626_Görlitz,HSx3,year,hot_spell_duration,days,7,2
14627_Meißen,HSx3,year,hot_spell_duration,days,7,2
14628_Sächsische Schweiz-Osterzgebirge,HSx3,year,hot_spell_duration,days,7,2
14713_14729_14730_Region_um_Leipzig,HSx3,year,hot_spell_duration,days,7,2
14713_Leipzig,HSx3,year,hot_spell_duration,days,7,1
14729_Leipzig,HSx3,year,hot_spell_duration,days,7,1
14730_Nordsachsen,HSx3,year,hot_spell_duration,days,7,1
15001_15091_15082_Region_um_Dessau-Rolau,HSx3,year,hot_spell_duration,days,7,1
15001_Dessau-Roßlau,HSx3,year,hot_spell_duration,days,7,1
15002_15088_Region_um_Halle_(Saale),HSx3,year,hot_spell_duration,days,7,1
15002_Halle (Saale),HSx3,year,hot_spell_duration,days,7,1
15003_15083_15089_15086_Region_um_Magdeburg,HSx3,year,hot_spell_duration,days,7,1
15003_Magdeburg,HSx3,year,hot_spell_duration,days,7,1
15081_Altmarkkreis Salzwedel,HSx3,year,hot_spell_duration,days,7,1
15082_Anhalt-Bitterfeld,HSx3,year,hot_spell_duration,days,7,1
15083_Börde,HSx3,year,hot_spell_duration,days,7,1
15084_Burgenlandkreis,HSx3,year,hot_spell_duration,days,7,1
15085_Harz,HSx3,year,hot_spell_duration,days,7,1
15086_Jerichower Land,HSx3,year,hot_spell_duration,days,7,1
15087_Mansfeld-Südharz,HSx3,year,hot_spell_duration,days,7,1
15088_Saalekreis,HSx3,year,hot_spell_duration,days,7,1
15089_Salzlandkreis,HSx3,year,hot_spell_duration,days,7,1
15090_Stendal,HSx3,year,hot_spell_duration,days,7,1
15091_Wittenberg,HSx3,year,hot_spell_duration,days,7,1
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,HSx3,year,hot_spell_duration,days,7,2
16051_Erfurt,HSx3,year,hot_spell_duration,days,7,1
16052_16076_15084_16074_Region_um_Gera,HSx3,year,hot_spell_duration,days,7,2
16052_Gera,HSx3,year,hot_spell_duration,days,7,1
16053_16074_16071_16055_Region_um_Jena,HSx3,year,hot_spell_duration,days,7,2
16053_Jena,HSx3,year,hot_spell_duration,days,7,2
16054_16066_16069_16070_Region_um_Suhl,HSx3,year,hot_spell_duration,days,7,2
16054_Suhl,HSx3,year,hot_spell_duration,days,7,2
16055_16071_Region_um_Weimar,HSx3,year,hot_spell_duration,days,7,2
16055_Weimar,HSx3,year,hot_spell_duration,days,7,2
16056_16063_06636_Region_um_Eisenach,HSx3,year,hot_spell_duration,days,7,1
16056_Eisenach,HSx3,year,hot_spell_duration,days,7,1
16061_Eichsfeld,HSx3,year,hot_spell_duration,days,7,1
16062_Nordhausen,HSx3,year,hot_spell_duration,days,7,1
16063_Wartburgkreis,HSx3,year,hot_spell_duration,days,7,1
16064_Unstrut-Hainich-Kreis,HSx3,year,hot_spell_duration,days,7,2
16065_Kyffhäuserkreis,HSx3,year,hot_spell_duration,days,7,1
16066_Schmalkalden-Meiningen,HSx3,year,hot_spell_duration,days,7,2
16067_Gotha,HSx3,year,hot_spell_duration,days,7,1
16068_Sömmerda,HSx3,year,hot_spell_duration,days,7,1
16069_Hildburghausen,HSx3,year,hot_spell_duration,days,7,2
16070_Ilm-Kreis,HSx3,year,hot_spell_duration,days,7,1
16071_Weimarer Land,HSx3,year,hot_spell_duration,days,7,2
16072_Sonneberg,HSx3,year,hot_spell_duration,days,7,2
16073_Saalfeld-Rudolstadt,HSx3,year,hot_spell_duration,days,7,2
16074_Saale-Holzland-Kreis,HSx3,year,hot_spell_duration,days,7,2
16075_Saale-Orla-Kreis,HSx3,year,hot_spell_duration,days,7,2
16076_Greiz,HSx3,year,hot_spell_duration,days,7,2
16077_Altenburger Land,HSx3,year,hot_spell_duration,days,7,2
