region,HSx3_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.4989966154098511,HSx3,year,hot_spell_duration,days,7
01001_Flensburg,0.46698465943336487,HSx3,year,hot_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,0.7342509627342224,HSx3,year,hot_spell_duration,days,7
01002_Kiel,0.6682080030441284,HSx3,year,hot_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.1308106184005737,HSx3,year,hot_spell_duration,days,7
01003_Lübeck,1.243682861328125,HSx3,year,hot_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.9128888845443726,HSx3,year,hot_spell_duration,days,7
01004_Neumünster,1.1595206260681152,HSx3,year,hot_spell_duration,days,7
01051_Dithmarschen,0.9183403253555298,HSx3,year,hot_spell_duration,days,7
01053_Herzogtum Lauenburg,1.7248525619506836,HSx3,year,hot_spell_duration,days,7
01054_Nordfriesland,0.46399903297424316,HSx3,year,hot_spell_duration,days,7
01055_Ostholstein,0.49891772866249084,HSx3,year,hot_spell_duration,days,7
01056_Pinneberg,1.4269757270812988,HSx3,year,hot_spell_duration,days,7
01057_Plön,0.6566978096961975,HSx3,year,hot_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.8030649423599243,HSx3,year,hot_spell_duration,days,7
01059_Schleswig-Flensburg,0.4947142004966736,HSx3,year,hot_spell_duration,days,7
01060_Segeberg,1.348517894744873,HSx3,year,hot_spell_duration,days,7
01061_Steinburg,1.1310467720031738,HSx3,year,hot_spell_duration,days,7
01062_Stormarn,1.6240205764770508,HSx3,year,hot_spell_duration,days,7
02000_Hamburg,1.914832592010498,HSx3,year,hot_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.9918394088745117,HSx3,year,hot_spell_duration,days,7
03101_Braunschweig,2.1790215969085693,HSx3,year,hot_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.970973014831543,HSx3,year,hot_spell_duration,days,7
03102_Salzgitter,2.0589776039123535,HSx3,year,hot_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,2.018977165222168,HSx3,year,hot_spell_duration,days,7
03103_Wolfsburg,2.1094229221343994,HSx3,year,hot_spell_duration,days,7
03151_Gifhorn,2.0878419876098633,HSx3,year,hot_spell_duration,days,7
03153_Goslar,1.2870841026306152,HSx3,year,hot_spell_duration,days,7
03154_Helmstedt,1.8167343139648438,HSx3,year,hot_spell_duration,days,7
03155_Northeim,1.9519827365875244,HSx3,year,hot_spell_duration,days,7
03157_Peine,2.0199341773986816,HSx3,year,hot_spell_duration,days,7
03158_Wolfenbüttel,1.968867540359497,HSx3,year,hot_spell_duration,days,7
03159_Göttingen,1.8449618816375732,HSx3,year,hot_spell_duration,days,7
03241_Region Hannover,2.1850128173828125,HSx3,year,hot_spell_duration,days,7
03251_Diepholz,1.788320779800415,HSx3,year,hot_spell_duration,days,7
03252_Hameln-Pyrmont,1.8621824979782104,HSx3,year,hot_spell_duration,days,7
03254_Hildesheim,2.0117948055267334,HSx3,year,hot_spell_duration,days,7
03255_Holzminden,1.8497231006622314,HSx3,year,hot_spell_duration,days,7
03256_Nienburg (Weser),2.0683987140655518,HSx3,year,hot_spell_duration,days,7
03257_Schaumburg,1.9039306640625,HSx3,year,hot_spell_duration,days,7
03351_Celle,2.175112247467041,HSx3,year,hot_spell_duration,days,7
03352_Cuxhaven,1.087765097618103,HSx3,year,hot_spell_duration,days,7
03353_Harburg,1.8706812858581543,HSx3,year,hot_spell_duration,days,7
03354_Lüchow-Dannenberg,2.099838972091675,HSx3,year,hot_spell_duration,days,7
03355_Lüneburg,2.033301830291748,HSx3,year,hot_spell_duration,days,7
03356_Osterholz,1.4917595386505127,HSx3,year,hot_spell_duration,days,7
03357_Rotenburg (Wümme),1.667473554611206,HSx3,year,hot_spell_duration,days,7
03358_Heidekreis,1.8635711669921875,HSx3,year,hot_spell_duration,days,7
03359_Stade,1.307947039604187,HSx3,year,hot_spell_duration,days,7
03360_Uelzen,1.9800688028335571,HSx3,year,hot_spell_duration,days,7
03361_Verden,1.709247350692749,HSx3,year,hot_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.5727344751358032,HSx3,year,hot_spell_duration,days,7
