region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.28419429063796997,HSx3,year,hot_spell_duration,days,7
04011_Bremen,-0.4759732782840729,HSx3,year,hot_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,-0.2791334092617035,HSx3,year,hot_spell_duration,days,7
04012_Bremerhaven,-0.2906399965286255,HSx3,year,hot_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,-0.34461164474487305,HSx3,year,hot_spell_duration,days,7
05111_Düsseldorf,-0.26708197593688965,HSx3,year,hot_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-0.24310719966888428,HSx3,year,hot_spell_duration,days,7
05112_Duisburg,-0.19369924068450928,HSx3,year,hot_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,-0.2168564796447754,HSx3,year,hot_spell_duration,days,7
05113_Essen,-0.42761164903640747,HSx3,year,hot_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,-0.32768714427948,HSx3,year,hot_spell_duration,days,7
05114_Krefeld,-0.3912527561187744,HSx3,year,hot_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,-0.42772620916366577,HSx3,year,hot_spell_duration,days,7
05116_Mönchengladbach,-0.47693222761154175,HSx3,year,hot_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,-0.288942813873291,HSx3,year,hot_spell_duration,days,7
05117_Mülheim an der Ruhr,-0.5841330289840698,HSx3,year,hot_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,-0.2538738250732422,HSx3,year,hot_spell_duration,days,7
05119_Oberhausen,-0.25795841217041016,HSx3,year,hot_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,-0.2781703472137451,HSx3,year,hot_spell_duration,days,7
05120_Remscheid,-0.21288490295410156,HSx3,year,hot_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,-0.3449735641479492,HSx3,year,hot_spell_duration,days,7
05122_Solingen,-0.2776055932044983,HSx3,year,hot_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-0.21225619316101074,HSx3,year,hot_spell_duration,days,7
