region,ci_name,ci_frequency,standard_name,units,mid_month,SU30_year_1.5C_rcp85_ensemble-robustness
01001_Flensburg,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01002_Kiel,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01003_Lübeck,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01004_Neumünster,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01051_Dithmarschen,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01053_Herzogtum Lauenburg,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01054_Nordfriesland,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01055_Ostholstein,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01057_Plön,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01058_Rendsburg-Eckernförde,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01059_Schleswig-Flensburg,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01060_Segeberg,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01061_Steinburg,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
01062_Stormarn,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
02000_Hamburg,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03101_Braunschweig,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03102_Salzgitter,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03103_Wolfsburg,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03151_Gifhorn,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03159_Göttingen,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03153_Goslar,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03154_Helmstedt,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03155_Northeim,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03157_Peine,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03158_Wolfenbüttel,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03241_Region Hannover,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03251_Diepholz,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03252_Hameln-Pyrmont,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
03254_Hildesheim,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,1
03255_Holzminden,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
01056_Pinneberg,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
