region,SU30_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.23237919807434082,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,-0.3520027697086334,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,-0.11776211857795715,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,-0.1959734559059143,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,-0.11354434490203857,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,-0.17998170852661133,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,-0.10806110501289368,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,-0.0017865896224975586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,-0.04057838022708893,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,-0.2139449119567871,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,-0.1571974903345108,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,-0.03077554702758789,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,-0.14442205429077148,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,-0.015921592712402344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,0.10419011116027832,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,-0.17548012733459473,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,-0.1770787239074707,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,-0.27609944343566895,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,-0.5344688892364502,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,-0.33360350131988525,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,-0.31156718730926514,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,-0.34701037406921387,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,-0.32279646396636963,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,-0.2140253782272339,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,-0.21795117855072021,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,0.017476439476013184,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,-0.08891904354095459,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,-0.2763676643371582,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,-0.12592744827270508,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,-0.35681068897247314,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,-0.0715799331665039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),-0.012705087661743164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,0.06133103370666504,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,-0.30807602405548096,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,-0.16686654090881348,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,-0.046267569065093994,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,-1.2608582973480225,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,-0.44304490089416504,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,-0.1846001148223877,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),-0.05217945575714111,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,0.10789692401885986,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,-0.20000839233398438,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,-0.4468851089477539,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,-0.009352326393127441,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,-0.056459665298461914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,-0.07342112064361572,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),-0.20654523372650146,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,0.02009528875350952,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
