region,SU30_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,4.116408,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,5.468274,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,7.457842,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,7.1434655,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,5.2147384,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,9.293379,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,3.4167385,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,4.440688,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,5.1080723,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,5.658712,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,4.158659,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,7.6075864,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,7.0115376,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,8.616702,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,9.512542,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,13.023864,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,12.403461,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,12.589046,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,12.425494,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,11.223698,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,8.401043,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,12.485389,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,11.598525,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,12.878618,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,12.430052,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,12.477616,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,10.871849,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,11.052722,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,11.722856,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,10.7513485,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,8.391791,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),11.781792,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,11.33265,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,11.879472,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,7.049677,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,9.5680895,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,12.068581,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,10.658592,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,9.285259,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),9.36404,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,10.656747,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,8.122087,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,10.97983,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,10.498985,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,9.896457,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,5.2405925,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),8.846505,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,11.101688,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,3.8249779,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,8.3351,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,5.2825346,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,9.578767,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,9.953601,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,5.7897587,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,10.752448,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,7.68126,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,9.573398,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,11.121398,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,10.721096,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,7.3992634,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,5.302087,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,9.935929,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,7.0116444,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,16.609306,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,16.082794,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,14.559258,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,16.00265,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,15.430898,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,15.3608465,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,15.719799,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,11.108891,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,14.053425,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,11.983739,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,13.884946,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,15.035272,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,16.60183,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,15.490363,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,14.343998,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,16.614645,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,18.228786,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,16.850014,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,10.604183,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,13.630421,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,16.833555,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,10.1788645,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,15.366652,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,11.449402,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,14.608061,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,15.381863,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,15.23102,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,15.3269005,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,13.234416,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
