region,SU30_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05111_Düsseldorf,4.8634796142578125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,4.229603290557861,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,3.9782190322875977,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,4.457498550415039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,4.475018501281738,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,4.349162578582764,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,3.906757354736328,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,1.9052834510803223,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,3.5019733905792236,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,2.584857225418091,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,3.682607650756836,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,4.198005199432373,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,5.113268852233887,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,4.467093467712402,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,3.7842628955841064,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,5.002465724945068,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,5.528621673583984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,4.891132831573486,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,2.395047903060913,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,3.8025879859924316,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,4.970541477203369,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,1.7416001558303833,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,4.576116561889648,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,1.5102720260620117,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,3.8387629985809326,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,4.27325963973999,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,3.859853744506836,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,3.9583568572998047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,3.19175124168396,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,2.9298884868621826,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,3.1921703815460205,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05562_Recklinghausen,3.753927707672119,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05566_Steinfurt,2.6296324729919434,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,3.8209095001220703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,2.787099838256836,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,3.409140110015869,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,3.0138587951660156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,1.9241583347320557,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,2.0094404220581055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,3.523848295211792,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,2.270218849182129,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,3.8565382957458496,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,3.909416913986206,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,1.9458528757095337,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,4.331670761108398,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_Herne,3.9352872371673584,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,2.4129176139831543,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,0.753398060798645,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,1.219810128211975,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,0.8973582983016968,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,0.8014726638793945,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,2.8609871864318848,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,4.144291877746582,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,6.44951057434082,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,6.412298202514648,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,6.753061771392822,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,4.7402801513671875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,5.161493301391602,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,5.465112686157227,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,7.747710227966309,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,2.4629640579223633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,3.534987449645996,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,4.677802085876465,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,2.7429561614990234,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,6.545812129974365,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,2.3189334869384766,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,4.3330278396606445,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,3.464034080505371,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,2.105958938598633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,3.170712471008301,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,2.3874313831329346,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,1.8164831399917603,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,1.9158968925476074,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,1.615216612815857,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,2.074645757675171,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,1.952181339263916,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,2.172206163406372,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,1.3786319494247437,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,1.8657127618789673,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,4.285874366760254,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,2.06552791595459,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),1.9043368101119995,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,3.3712990283966064,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,1.3868354558944702,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,2.3105149269104004,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,3.058880090713501,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,3.2531228065490723,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,1.7027485370635986,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,2.9068455696105957,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,1.8644587993621826,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,3.4116294384002686,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,2.4114253520965576,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,1.4811651706695557,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07233_Vulkaneifel,0.9248879551887512,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,2.522116184234619,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),8.307942390441895,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,3.2786102294921875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,5.1917805671691895,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,8.366998672485352,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_Mainz,5.925358772277832,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,5.696519374847412,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_Pirmasens,3.104466676712036,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,8.917201042175293,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,7.30680513381958,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,3.817923069000244,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,5.583598613739014,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,4.709316730499268,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,3.435842514038086,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,8.764291763305664,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,3.263441562652588,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,3.0350399017333984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,5.383325576782227,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,8.474358558654785,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,5.269202709197998,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,3.296626091003418,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,6.1514177322387695,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08115_Böblingen,4.389308929443359,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08116_Esslingen,5.589498043060303,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,3.4755020141601562,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,7.079282760620117,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,5.351219654083252,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,7.563986778259277,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,6.63095760345459,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08126_Hohenlohekreis,4.463990211486816,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,3.323277473449707,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08128_Main-Tauber-Kreis,3.7899227142333984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,2.8473455905914307,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,3.061661720275879,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_Baden-Baden,4.880598068237305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_Karlsruhe,8.702330589294434,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08215_Karlsruhe,7.868276119232178,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08216_Rastatt,5.639298915863037,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_Heidelberg,5.099535942077637,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_Mannheim,8.33558177947998,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08225_Neckar-Odenwald-Kreis,3.3395462036132812,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08226_Rhein-Neckar-Kreis,6.0620503425598145,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_Pforzheim,4.513729572296143,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08235_Calw,2.0044376850128174,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08236_Enzkreis,5.351567268371582,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08237_Freudenstadt,1.6679284572601318,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08311_Freiburg im Breisgau,5.568587303161621,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08315_Breisgau-Hochschwarzwald,3.6129369735717773,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08316_Emmendingen,5.7090277671813965,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08317_Ortenaukreis,6.01978063583374,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08325_Rottweil,2.211332321166992,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08326_Schwarzwald-Baar-Kreis,1.019862413406372,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08327_Tuttlingen,1.3039857149124146,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08335_Konstanz,5.517757892608643,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08336_Lörrach,4.7559027671813965,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08337_Waldshut,3.195323944091797,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08415_Reutlingen,1.885913610458374,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08416_Tübingen,5.154028415679932,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08417_Zollernalbkreis,1.916595220565796,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08421_Ulm,3.5478177070617676,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08425_Alb-Donau-Kreis,2.655280828475952,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08426_Biberach,3.250882148742676,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08435_Bodenseekreis,1.0755575895309448,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08436_Ravensburg,2.526638984680176,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08437_Sigmaringen,2.3839211463928223,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09161_Ingolstadt,5.084909915924072,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09162_München,4.112163543701172,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09163_Rosenheim,3.0139620304107666,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09171_Altötting,3.49637770652771,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09172_Berchtesgadener Land,1.3502798080444336,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09173_Bad Tölz-Wolfratshausen,1.433119297027588,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09174_Dachau,4.556787014007568,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09175_Ebersberg,3.2728309631347656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09176_Eichstätt,3.7546467781066895,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09177_Erding,4.367743492126465,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09178_Freising,4.459664821624756,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09179_Fürstenfeldbruck,3.9296560287475586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
