region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,5.0012712478637695,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,5.285742282867432,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,8.46533203125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,7.778366565704346,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,7.711674690246582,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,10.437702178955078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,5.103902816772461,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,4.397073745727539,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,5.9355573654174805,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,6.7455854415893555,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,5.33221435546875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,8.303382873535156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,9.003713607788086,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,9.566896438598633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,9.940765380859375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,10.557697296142578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,9.391843795776367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,10.183013916015625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,11.353029251098633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,8.269495964050293,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,6.33010196685791,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,9.965152740478516,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,8.60256290435791,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,10.388753890991211,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,9.469050407409668,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,10.373117446899414,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,10.806342124938965,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,8.355997085571289,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,8.59627914428711,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,8.210116386413574,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,9.529132843017578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),10.885007858276367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,9.005838394165039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,11.106396675109863,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,9.166251182556152,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,9.909482955932617,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,11.839112281799316,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,10.686086654663086,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,10.372014045715332,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),10.199000358581543,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,10.401344299316406,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,9.577876091003418,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,10.610248565673828,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,10.194772720336914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,10.166352272033691,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,7.224353790283203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),10.111433982849121,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,10.30704116821289,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,5.983465194702148,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,10.082111358642578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,7.787797451019287,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,10.279735565185547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,10.285200119018555,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,7.948494911193848,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,10.632200241088867,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,9.548666954040527,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,9.973644256591797,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,10.439228057861328,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,11.065095901489258,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,9.365846633911133,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
