region,SU30_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,1.2196376,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,1.742924,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,2.4030752,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,2.3163424,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,1.6623199,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,3.0101943,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,1.0895914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,1.3788134,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,1.597656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,1.8144282,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,1.2921706,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,2.4358885,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,2.232192,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,2.78892,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,3.1403084,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,4.196888,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,3.9224877,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,4.0969276,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,4.038296,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,3.3837502,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,2.448342,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,4.020692,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,3.5724366,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,4.1532774,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,3.951372,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,4.0000243,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,3.43004,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,3.4006782,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,3.6766725,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,3.2631087,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,2.7154536,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),3.7518644,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,3.5540774,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,3.8503423,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,2.2319715,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,3.0821905,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
