region,SU30_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,2.7927727699279785,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,4.203300952911377,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,6.157618522644043,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,5.502683162689209,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,4.006916046142578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,7.392332553863525,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,2.6990838050842285,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,3.1029887199401855,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,3.9603285789489746,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,4.499476432800293,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,3.145951271057129,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,6.030281066894531,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,5.571124076843262,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,6.85578727722168,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,7.713752746582031,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,9.907148361206055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,9.509322166442871,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,9.47929573059082,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,9.40985107421875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,8.9036226272583,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,6.669032573699951,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,9.75185775756836,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,9.280519485473633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,9.744174003601074,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,9.584007263183594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,9.688693046569824,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,8.467447280883789,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,8.891273498535156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,9.104698181152344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,8.738260269165039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,6.981663703918457,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),9.466105461120605,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,9.263422012329102,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,8.733508110046387,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,5.821685791015625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,7.895607948303223,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,9.688034057617188,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,8.78390121459961,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,7.325654983520508,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),7.290665626525879,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,8.64680004119873,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,6.631604194641113,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
