region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
04012_Bremerhaven,0.8341967463493347,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,2.7291460037231445,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,2.5858755111694336,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,2.094529628753662,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,2.3419060707092285,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,2.3722057342529297,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,2.2325377464294434,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,2.898373603820801,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,1.3279519081115723,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,2.2544288635253906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,1.6688408851623535,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,2.3326947689056396,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,2.379173755645752,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,2.759185791015625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,2.437347888946533,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,2.142350673675537,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,2.3785581588745117,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,3.2167749404907227,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,2.88336181640625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,1.4486268758773804,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,2.0141875743865967,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,2.6665093898773193,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,1.0639749765396118,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,2.461122989654541,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,1.4724798202514648,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,2.2780802249908447,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,2.222893714904785,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,2.7060465812683105,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,2.5901660919189453,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,1.8922443389892578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,1.9621531963348389,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,1.967585563659668,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05562_Recklinghausen,2.248535633087158,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
