region,SU30_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,1.3730260133743286,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,2.3652632236480713,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,3.576234817504883,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,3.3822176456451416,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,2.3665404319763184,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,4.43035888671875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,1.4011590480804443,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,1.8299410343170166,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,2.2168033123016357,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,2.5491013526916504,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,1.6916449069976807,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,3.500171661376953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,3.3931236267089844,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,3.935366153717041,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,4.827263355255127,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,5.821261405944824,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,5.6329193115234375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,5.687914848327637,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,5.825684547424316,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,4.7500481605529785,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,3.508631944656372,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,5.832239151000977,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,5.096371650695801,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,5.826603412628174,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,5.591128349304199,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,5.733511447906494,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
