region,SU30_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05112_Duisburg,24.85547637939453,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,23.768699645996094,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,25.53936767578125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,24.970117568969727,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,24.42235565185547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,24.17279052734375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,19.854909896850586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,23.030227661132812,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,21.185510635375977,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,23.8874454498291,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,24.523929595947266,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,26.758583068847656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,24.62325096130371,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,23.895614624023438,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,27.249393463134766,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,27.961589813232422,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,25.849824905395508,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,19.37653350830078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,24.00454330444336,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,27.52753257751465,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,19.296424865722656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,24.838436126708984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,20.792707443237305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,24.275556564331055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,26.237987518310547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,24.397390365600586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,24.39065170288086,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,23.89005470275879,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,21.861576080322266,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,23.154205322265625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
