region,SU30_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.06733226776123047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.20676136016845703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,0.10179853439331055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.14197471737861633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.09766143560409546,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,-0.23698198795318604,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.029568567872047424,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.21437779068946838,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.199991375207901,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.11084169149398804,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.0139445960521698,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,0.1957082748413086,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.12053316831588745,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,0.12060999870300293,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,0.14108729362487793,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,-0.3725346326828003,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,-0.2074286937713623,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,-0.6683087348937988,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,-0.8911358118057251,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,0.11188066005706787,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,-0.029766082763671875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,-0.6305981874465942,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,0.15014898777008057,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,-0.2717163562774658,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,-0.3975740671157837,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,-0.05218768119812012,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,0.12381565570831299,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,0.22748863697052002,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,0.09016585350036621,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,0.16061782836914062,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,0.2721289396286011,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),0.13176476955413818,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,0.2317274808883667,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,-0.5934330821037292,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,0.13924646377563477,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,-0.12735748291015625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,-1.5597643852233887,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,-0.781929612159729,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,0.06934595108032227,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),0.10504651069641113,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,-0.14997625350952148,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,0.29730308055877686,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,-0.8939261436462402,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,-0.003484964370727539,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,0.08912885189056396,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,0.17701879143714905,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),0.09391295909881592,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,0.37647753953933716,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.09687653183937073,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,0.3612525463104248,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,0.13527467846870422,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,0.1765080690383911,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,0.27594661712646484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,0.18032705783843994,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,0.20965683460235596,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,0.41878509521484375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,-0.04141378402709961,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,0.3410816192626953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,0.10184657573699951,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,-0.026241302490234375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,0.17653527855873108,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,0.11506831645965576,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,0.04147505760192871,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,0.519078254699707,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,0.648537278175354,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,0.6756930351257324,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,0.6599974632263184,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,0.6036677360534668,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,0.5056568384170532,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,1.0617682933807373,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,0.17775166034698486,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
