region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.885918,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,1.296147,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,1.7669616,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,1.7465916,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,1.2695565,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,2.2253578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.8419953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,1.0116911,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,1.1939678,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,1.3713076,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.9749845,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,1.8136669,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,1.6912752,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,2.0623724,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,2.3622663,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,3.191023,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,2.9813006,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,3.0948527,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,3.070023,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,2.4811735,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,1.7847366,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,3.0294,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,2.6440794,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,3.1758306,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,2.9841964,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,3.0598578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,2.6566093,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,2.5542805,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,2.7775142,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,2.4354553,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,2.0375788,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),2.8987246,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,2.6938565,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,2.93781,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,1.7253561,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,2.3208294,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,2.9583578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,2.595124,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,2.2936096,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),2.2860699,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,2.6233218,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,1.9581928,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,2.6671243,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,2.5939357,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,2.3974535,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,1.2862839,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
