region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
04011_Bremen,-0.5488280057907104,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,-0.941535234451294,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,0.2268378734588623,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,0.16638994216918945,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,-0.1545555591583252,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,0.23587536811828613,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,-0.01034533977508545,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,0.1190347671508789,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,0.15109539031982422,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,0.04616039991378784,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,0.14660699665546417,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,0.07593642175197601,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,-0.22883033752441406,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,0.24627280235290527,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,0.21679377555847168,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,-0.02889859676361084,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,-0.07911205291748047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,0.18390774726867676,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,0.2995278835296631,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,0.13747572898864746,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,0.09369707852602005,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
