region,SU30_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,2.5555067,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,3.5576577,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,4.921493,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,4.74374,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,3.462684,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,6.1515713,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,2.2312589,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,2.8138337,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,3.2677658,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,3.7173803,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,2.6677122,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,5.0061097,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,4.6461916,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,5.7054076,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,6.3427987,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,8.532538,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,8.024049,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,8.282929,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,8.193602,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,6.9367194,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,5.098672,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,8.122196,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,7.2600975,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,8.410942,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,8.039138,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,8.140194,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,7.030741,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,6.994092,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,7.4931173,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,6.719869,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,5.5748644,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),7.6602435,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,7.255714,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,7.7994514,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,4.6303787,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,6.2856913,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,8.003316,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,7.034963,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,6.0658693,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),6.1513715,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,6.977168,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,5.3520207,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,7.219872,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,6.8761644,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,6.417495,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
