region,SU30_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.46666669845581055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.8377384543418884,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,1.514775276184082,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,1.3693829774856567,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.8558638095855713,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,1.865962028503418,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.5580345392227173,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.7183591723442078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.8323361873626709,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.9203768372535706,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.5425986051559448,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,1.4521321058273315,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,1.244382381439209,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,1.7269930839538574,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,1.9162275791168213,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,2.5607876777648926,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,2.325929641723633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,2.613551616668701,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,2.623278856277466,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,2.0784239768981934,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,1.385991096496582,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,2.6357336044311523,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,2.3114492893218994,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,2.540383815765381,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,2.468316078186035,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,2.461967945098877,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,1.9738996028900146,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,2.037095069885254,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,2.110942840576172,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,2.0351014137268066,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,1.6497857570648193,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),2.0137410163879395,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,2.1513512134552,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
